,sentence,with_sentence,without_sentence,difference
0,"Hard by a great forest dwelt a poor wood-cutter with his wife and his
two children.",2.8689509012612953,2.8530695045808234,-0.015881396680471838
1,The boy was called Hansel and the girl Gretel.,2.9187229834232236,2.949600080306155,0.030877096882931276
2,"He had
little to bite and to break, and once when great dearth fell on the
land, he could no longer procure even daily bread.",2.8010605591075155,2.8797695767821416,0.07870901767462612
3,"Now when he thought
over this by night in his bed, and tossed about in his anxiety, he
groaned and said to his wife: ‘What is to become of us?",2.72426796375017,2.839321959252451,0.11505399550228068
4,"How are we
to feed our poor children, when we no longer have anything even for
ourselves?’ ‘I’ll tell you what, husband,’ answered the woman, ‘early
tomorrow morning we will take the children out into the forest to where
it is the thickest; there we will light a fire for them, and give each
of them one more piece of bread, and then we will go to our work and
leave them alone.",2.366410314029988,2.6941118779643514,0.32770156393436345
5,"They will not find the way home again, and we shall be
rid of them.’ ‘No, wife,’ said the man, ‘I will not do that; how can I
bear to leave my children alone in the forest?--the wild animals would
soon come and tear them to pieces.’ ‘O, you fool!’ said she, ‘then we
must all four die of hunger, you may as well plane the planks for our
coffins,’ and she left him no peace until he consented.",2.2055246299020714,2.5518020842727878,0.34627745437071633
6,"‘But I feel very
sorry for the poor children, all the same,’ said the man.",2.7269964552619093,2.776439395901278,0.049442940639368604
7,"The two children had also not been able to sleep for hunger, and had
heard what their stepmother had said to their father.",2.692816942791606,2.7436961329260536,0.050879190134447416
8,"Gretel wept
bitter tears, and said to Hansel: ‘Now all is over with us.’ ‘Be quiet,
Gretel,’ said Hansel, ‘do not distress yourself, I will soon find a way
to help us.’ And when the old folks had fallen asleep, he got up, put
on his little coat, opened the door below, and crept outside.",2.4359475574577565,2.604897154415175,0.16894959695741862
9,"The moon
shone brightly, and the white pebbles which lay in front of the house
glittered like real silver pennies.",2.6333969465648854,2.6789634180432964,0.045566471478410975
10,"Hansel stooped and stuffed the
little pocket of his coat with as many as he could get in.",2.6714535928282763,2.707644682905673,0.03619109007739674
11,"Then he went
back and said to Gretel: ‘Be comforted, dear little sister, and sleep in
peace, God will not forsake us,’ and he lay down again in his bed.",2.5770588104289907,2.678665035546071,0.1016062251170804
