,label,sentence
0,1,"Za devetimi gorami in devetimi vodami je živel kralj, ki je imel devet hčera."
1,1,"Vse so bile lepe, a najmlajša je bila najlepša."
2,1,"Bila je tako lepa, da je bilo še sonce, ki je že marsikaj videlo, vselej očarano, kadar se je postavila pred sončne žarke."
3,1,"V bližini gradu, kjer je živela, je bil prostran in temačen gozd, sredi katerega je stal mogočen hrast, ki je delal senco majhnemu vodnjaku."
4,1,"Kadar je bilo vroče, se je lepa princesa rada hladila v senci mogočnega hrasta."
5,1,Dolgčas je ponavadi preganjala s svojo zlato kroglico; najraje jo je metala v zrak in potem skušala ponovno ujeti.
6,1,"Nekega dne pa se je zgodilo, da zlata kroglica, ki jo je zalučala v zrak, ni pristala v njenih rokah, temveč v vodnjaku, ki je bil tako globok, da če bi pogledal iz njegovega dna navzgor, bi sredi belega dne videl nebo polno zvezd."
7,1,"Princesa je lahko le nemočno opazovala, kako njena igrača izginja v globini."
8,1,"Pričela je jokati, saj je imela zlato kroglico, ki ji v vsem kraljestvu ni bilo enake, že od malih nog, sedaj pa jo je za vedno izgubila v globokem vodnjaku."
9,1,"Nenadoma pa je jokanje prekinil glas, ki je rekel: ""Čemu bridke solze, kraljeva hči?"
10,1,"Vodnjak je vendar že dovolj poln."""
11,1,"Princesa je pogledala naokrog, da bi videla, od kod prihaja glas, in zagledala žabona, ki je nad gladino držal svojo debelo sluzasto glavo."
12,1,"""Fuj,"" je rekla."
13,1,"""Ti mali, sluzasti čofotač!"
14,1,"Si ti pravkar spregovoril?"""
15,1,"""Jaz in nihče drug,"" je odgovoril žabon."
16,1,"""Kako čudno, nikoli še nisem slišala žabe govoriti,"" je rekla princesa."
17,1,"""Če te že zanima, jočem za svojo zlato kroglico, ki mi je padla v vodnjak."""
18,1,"""Ne joči več,"" je odvrnil žabon, ""lahko ti pomagam."
19,1,"Ampak, kaj bom dobil v zameno, če ti prinesem kroglico."""
20,1,"""Karkoli ti srce poželi, dragi žabon,"" se je razveselila princesa."
21,1,"""Moje obleke, moj nakit, lahko tudi zlato krono, ki jo nosim v laseh."""
22,1,"""Obleke, nakit in krone me ne zanimajo,"" je rekel žabon."
23,1,"""Ampak, če me boš ljubila, če mi boš delala družbo, če mi boš dovolila sedeti s tabo za mizo, jesti iz tvojega zlatega krožnika, piti iz tvoje zlate čaše, če bom lahko spal v tvoji postelji – če in samo če mi boš vse to obljubila, potem se bom potopil na dno vodnjaka in ti prinesel zlato kroglico."""
24,1,"""Vse obljubim, vse,"" je rekla princesa s figo v žepu, ""samo prinesi mi kroglico."""
25,1,"Takoj, ko je slišal obljubo, se je žabon potopil."
26,1,Čez nekaj minut je bila zlata kroglica na suhem.
27,1,Kraljeva hči se je nadvse razveselila svoje čudovite igrače; pograbila jo je in takoj stekla proč.
28,1,"Žabonu se ni niti zahvalila, kaj šele, da bi izpolnila, kar je obljubila."
29,1,"""Počakaj!"
30,1,"Počakaj!"""
31,1,je za njo klical žabon.
32,1,A zaman.
33,1,Princesa je odvihrala domov in že na pol poti čisto pozabila svoje obljube ter ubogega žabona.
