,label,sentence
0,1,"It happened that the cat met the fox in a forest, and as she thought to
herself: ‘He is clever and full of experience, and much esteemed in the
world,’ she spoke to him in a friendly way."
1,1,"‘Good day, dear Mr Fox,
how are you?"
2,1,How is all with you?
3,1,"How are you getting on in these hard
times?’ The fox, full of all kinds of arrogance, looked at the cat from
head to foot, and for a long time did not know whether he would give
any answer or not."
4,1,"At last he said: ‘Oh, you wretched beard-cleaner, you
piebald fool, you hungry mouse-hunter, what can you be thinking of?"
5,1,"Have
you the cheek to ask how I am getting on?"
6,1,What have you learnt?
7,1,"How
many arts do you understand?’ ‘I understand but one,’ replied the
cat, modestly."
8,1,‘What art is that?’ asked the fox.
9,1,"‘When the hounds are
following me, I can spring into a tree and save myself.’ ‘Is that all?’
said the fox."
10,1,"‘I am master of a hundred arts, and have into the bargain
a sackful of cunning."
11,1,"You make me sorry for you; come with me, I will
teach you how people get away from the hounds.’ Just then came a hunter
with four dogs."
12,1,"The cat sprang nimbly up a tree, and sat down at the top
of it, where the branches and foliage quite concealed her."
13,1,"‘Open your
sack, Mr Fox, open your sack,’ cried the cat to him, but the dogs had
already seized him, and were holding him fast."
14,1,"‘Ah, Mr Fox,’ cried the
cat."
15,1,‘You with your hundred arts are left in the lurch!
16,1,"Had you been
able to climb like me, you would not have lost your life.’"
