,label,sentence
0,1,"Bil je reven mož, ki je imel štiri sinove."
1,1,"Ko so odrasli, jim je dejal: »Ljubi moji sinovi, po svetu morate, jaz nimam ničesar, kar bi vam dal."
2,1,"Pripravite se in pojdite na tuje, izučite se kakšnega rokodelstva in glejte, kako se boste prebili.« Bratje so vzeli popotne palice v roke, se poslovili od svojega očeta ter odšli skozi mestna vrata."
3,1,"Ko so nekaj časa romali, so prišli do križišča, ki je držalo na štiri različne strani."
4,1,"»Tukaj se moramo ločiti,« je rekel najstarejši, »a čez štiri leta obsorej se spet dobimo."
5,1,Medtem pa poskusimo svojo srečo.« Tako so ubrali vsak svojo pot.
6,1,"Pa je srečal najstarejšega brata človek, ki ga je vprašal, kam hoče in kaj namerava."
7,1,"»Rokodelstva se grem učit,« je rekel on."
8,1,»Pojdi z menoj in postani tat!« je rekel človek.
9,1,"»Ne,« je odgovoril brat, »to ni pošteno rokodelstvo."
10,1,"In konec pesmice je zmerom ta, da uporabijo nazadnje človeka kje pod milim nebom za kembelj pri zvonu.« »Kaj še,« je rekel človek, »vislic se ti ni treba bati."
11,1,"Jaz te naučim samo, da dobiš v roke to, česar noben človek ne more dobiti in da ti nihče ne pride na sled.« Dal se je pregovoriti, se izučil za tatu in je postal tako spreten, da ni bilo nič varno pred njim, kar je hotel dobiti."
12,1,"Tudi drugi brat je srečal človeka, ki ga je vprašal, kaj se gre učit."
13,1,"»Saj še sam ne vem,« je rekel ta."
14,1,»Pa pojdi z menoj in postani zvezdogledec.
15,1,Nič ni boljšega kakor to.
16,1,"Človeku ne ostane nič skritega na svetu.« Temu je bilo to všeč in postal je tako spreten zvezdogledec, da mu je njegov mojster, ko se je izučil in hotel iti dalje, dal daljnogled ter mu rekel: »S tem zagledaš vse, kar se godi na zemlji in na nebu in ti ne more ostati nič skritega.« Tretjega brata je vzel neki lovec v uk in ga tako dobro izučil v vsem, kar spada k lovu, da je postal res dober."
17,1,"Pri slovesu mu je mojster podaril puško in dejal: »Ta ne zgreši nikdar, karkoli vzameš na muho, zanesljivo zadeneš z njo.« Tudi najmlajši brat je srečal človeka, ki ga je nagovoril in vprašal, kaj namerava."
18,1,»Te ne bi mikalo postati krojač?« ga je vprašal.
19,1,"»Ne mika me,« je odgovoril najmlajši."
20,1,"»Tisto posedanje s krivim hrbtom od jutra do večera, pa tisto šviganje s šivanko, pa tisti likalnik mi še na misel ne pridejo.« »Eh, kaj,« je rekel človek, »govoriš pač, kakor veš."
21,1,"Pri meni bi se izučil čisto drugačne krojaške umetnosti, ki je dostojna in velika in celo zelo častivredna.« Tako se je dal pregovoriti, šel je z njim in se korenito izučil krojaške umetnosti."
22,1,"Pri slovesu mu je dal mojster šivanko in rekel: »S to šivanko lahko sešiješ, karkoli ti pride pod roko, pa če je tako mehko kakor jajce ali pa tako trdo kakor jeklo."
23,1,"In sešito bo kakor en kos, niti šiva ne bo videti.« Ko so minila dogovorjena štiri leta, so se bratje sešli na križišču, kot so se bili zmenili, se prisrčno pozdravili in odšli domov k očetu."
24,1,"»No,« je veselo rekel oče, »vas je spet prinesel veter k meni.« Povedali so mu, kako se jim je godilo in da se je vsakdo izučil svojega rokodelstva."
25,1,"Sedeli pa so ravno pred hišo pod 

visokim drevesom, zato je oče dejal: »Rad bi vas preskusil in videl, kaj znate.« Ozrl se je kvišku in rekel drugemu sinu: »Tamle na vrhu drevesa je med dvema vejama ščinkavčevo gnezdo, povej mi, koliko jajc je v njem?« Zvezdogledec je vzel daljnogled, pogledal tja gor in rekel: »Pet jih je.« Oče je rekel najstarejšemu: »Splezaj in prinesi jajčka, a tako, da ščinkavca, ki sedi na njih in vali, ne boš zmotil pri tem.« Zvedeni tat je splezal na drevo in ptiču, ki ni niti opazil in je mirno sedel dalje, vzel pet jajčk ter jih prinesel očetu."
26,1,"Oče jih je vzel, jih položil na mizo, vsakega v en kot in petega v sredo ter velel lovcu: »Prestreli vseh pet jajčk z enim strelom ravno po sredini.« Lovec je naravnal puško ter prestrelil vseh pet jajčk, kakor je ukazal oče, in sicer z enim samim strelom."
27,1,"Gotovo je imel smodnik, ki strelja okrog vogala."
28,1,"»Zdaj pride vrsta nate,« je rekel oče četrtemu sinu: »Sešij jajčka nazaj, pa tudi mladiče, ki so v njih, in sicer tako, da se jim strel ne bo poznal.« Krojač je storil, kakor je zahteval oče."
29,1,"Ko je končal, je moral tat odnesti jajčka spet nazaj na drevo v gnezdo in jih podložiti ščinkavki tako, da ne bi ničesar zapazila."
30,1,"Ščinkavka jih je zvalila in čez nekaj dni so prilezli mladički iz lupin in imeli tam, kjer jih je krojač šival, rdečo progo okrog vratu."
31,1,"»Res,« je dejal oče."
32,1,"»Reči moram, da niste od muh."
33,1,Dobro ste porabili svoj čas in se nekaj poštenega izučili.
34,1,"Sam ne vem, komu bi dal prednost."
35,1,"Ko bi le kmalu našli pravo priložnost pokazati svojo umetnost, tedaj bi se ižkazalo.« 

Kmalu zatem je nastala v deželi velika zmeda."
36,1,Kraljevo hčerko je ugrabil zmaj!
37,1,Kralj je bil zaradi tega noč in dan v skrbeh.
38,1,"Razglasiti je dal, da jo bo tistemu, ki jo privede nazaj, dal za ženo."
39,1,"Bratje so stopili in se posvetovali: »To je priložnost, ko se lahko izkažemo.« Namenili so oditi skupaj in osvoboditi kraljično."
40,1,"»Kje je, bom kmalu zvedel,« je rekel zvezdogledec."
41,1,"Vzel je svoj daljnogled, pogledal in dejal: »Jo že vidim."
42,1,"Daleč tam zunaj sedi na skali v morju in zraven nje je zmaj, ki."
43,1,jo straži.« Nato je šel h kralju ter prosil ladjo zase in za svoje brate.
44,1,"Odpeljali so se skupaj na morje do skale, kjer je sedela kraljična."
45,1,Zmaj pa je ležal v njenem naročju in spal.
46,1,"»Streljati ne smem,« je rekel lovec, »ker bi z zmajem vred ustrelil tudi zalo deklico.« »Torej poskusim jaz svojo umetnost,« je dejal tat."
47,1,"Splazil se je k skali in jo ugrabil zmaju tako tiho in ročno, da ta ni nič opazil in je še naprej smrčal kakor prej."
