,sentence,with_sentence,without_sentence,difference,label
0,"By the side of a wood, in a country a long way off, ran a fine stream of water; and upon the stream there stood a mill.",17.83674892353862,17.846547168580376,0.009798245041753972,0
1,"The miller’s house was close by, and the miller, you must know, had a very beautiful daughter.",17.96083055344303,18.03262194068031,0.07179138723727974,0
2,"She was, moreover, very shrewd and clever; and the miller was so proud of her, that he one day told the king of the land, who used to come and hunt in the wood, that his daughter could spin gold out of straw.",18.194933423039846,18.108521449228792,-0.08641197381105314,1
3,"Now this king was very fond of money; and when he heard the miller’s boast his greediness was raised, and he sent for the girl to be brought before him.",17.733732305021366,17.72468727742165,-0.009045027599714928,1
4,"Then he led her to a chamber in his palace where there was a great heap of straw, and gave her a spinning-wheel, and said, ‘All this must be spun into gold before morning, as you love your life.’",17.72481887404983,17.570592931798988,-0.15422594225084296,0
5,"It was in vain that the poor maiden said that it was only a silly boast of her father, for that she could do no such thing as spin straw into gold: the chamber door was locked, and she was left alone.",17.283379392505186,17.137474471602697,-0.1459049209024883,0
6,"She sat down in one corner of the room, and began to bewail her hard fate; when on a sudden the door opened, and a droll-looking little man hobbled in, and said, ‘Good morrow to you, my good lass; what are you weeping for?’",17.130017941497094,16.955718568313955,-0.17429937318313904,1
7,"‘Alas!’ said she, ‘I must spin this straw into gold, and I know not how.’",17.61335216221473,17.457750502463693,-0.15560165975103857,0
8,"‘What will you give me,’ said the hobgoblin, ‘to do it for you?’",17.51650390625,17.731272379557293,0.21476847330729143,0
9,"‘My necklace,’ replied the maiden.",17.515986248729675,17.71996871824187,0.20398246951219434,1
10,"He took her at her word, and sat himself down to the wheel, and whistled and sang: ‘Round about, round about, Lo and behold! Reel away, reel away, Straw into gold!’",17.7323373241342,17.618018212256494,-0.11431911187770538,0
11,"And round about the wheel went merrily; the work was quickly done, and the straw was all spun into gold.",17.565816156914895,17.572041223404256,0.006225066489360387,1
12,"When the king came and saw this, he was greatly astonished and pleased; but his heart grew still more greedy of gain, and he shut up the poor miller’s daughter again with a fresh task.",17.58675341585498,17.929647338338743,0.34289392248376416,0
13,"Then she knew not what to do, and sat down once more to weep; but the dwarf soon opened the door, and said, ‘What will you give me to do your task?’",17.795429016899142,17.97154766295601,0.17611864605686733,0
14,"‘The ring on my finger,’ said she.",17.318295858739837,17.520003652184958,0.20170779344512013,0
15,"So her little friend took the ring, and began to work at the wheel again, and whistled and sang: ‘Round about, round about, Lo and behold! Reel away, reel away, Straw into gold!’ till, long before morning, all was done again.",17.71317965246637,17.761374982483183,0.04819533001681364,1
16,"The king was greatly delighted to see all this glittering treasure; but still he had not enough: so he took the miller’s daughter to a yet larger heap, and said, ‘All this must be spun tonight; and if it is, you shall be my queen.’",17.463740145998305,17.58056861566742,0.11682846966911598,0
17,"As soon as she was alone that dwarf came in, and said, ‘What will you give me to spin gold for you this third time?’",17.310661153590427,17.42221368018617,0.11155252659574444,0
18,"‘I have nothing left,’ said she.",17.598273955195783,17.837557260291163,0.23928330509538043,0
19,"‘Then say you will give me,’ said the little man, ‘the first little child that you may have when you are queen.’",17.801325158227847,17.989665743670887,0.18834058544304,0
