,label,sentence
0,1,"Bil je mož, ki je bil star kakor zemlja; oči so mu opešale in se solzile, ušesa so mu oglušela in kolena so se mu tresla."
1,1,"Ko je sedel pri jedi za mizo in komaj držal žlico v roki, se je juha zlivala na prt na mizi in tudi iz ust se mu je kaj pocedilo."
2,1,Sinu in njegovi ženi se je to gnusilo.
3,1,"Zato sta nazadnje posadila deda v kot za peč, kjer sta mu dajala jesti iz lončene skledice, pa še to ne toliko, da bi se do sitega najedel."
4,1,Tako je starček ves potrt gledal k mizi in solze so mu tekle iz oči.
5,1,Nekoč njegove tresoče se roke niso mogle obdržati sklede; padla mu je na tla in se razbila.
6,1,"Mlada žena ga je ozmerjala, on pa ni ničesar rekel in je samo zavzdihnil."
7,1,Nato mu je za majhen denar kupila leseno skledico in iz nje je moral jesti.
8,1,"Ko so pa nekoč tako sedeli, je mali štiriletni vnuk začel sestavljati na tleh neke deščice."
9,1,»Kaj boš pa naredil?« ga je vprašal oče.
10,1,"»Majhno koritce,« je odgovoril otrok."
11,1,"»Iz njega bosta jedla mama in ata, ko bom jaz velik.« Tedaj sta se mož in žena za nekaj trenutkov spogledala, nato pa so jima privrele solze iz oči."
12,1,"Nemudoma sta prosila deda, naj sede k njima za mizo."
13,1,"In odslej je moral vedno jesti z njima in tudi nista nič rekla, če se mu je kaj razlilo."
