,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč je živela koza, ki je imela sedem živahnih kozličkov.",2.4477138271083585,2.4799113077921673,0.03219748068380879,0
1,"Imela jih je rada, kot imajo mame rade svoje otroke.",2.494498293491696,2.511718502392875,0.017220208901179035,0
2,"Nekega dne se je odpravljala v gozd po krmo, zato je sklicala vseh sedem in rekla: ""Dragi otročički, pozorno me poslušajte! Šla bom v gozd, zato boste nekaj časa sami doma. Pazite se volka! Če mu uspe priti v hišo, vas bo pojedel s kostmi in kožo vred. Nepridiprav se pogosto zamaskira, zato morate biti še posebej previdni. Če drugega ne, ga bo izdal raskav glas in črne šape.""",2.093901294476661,2.3404541947815245,0.24655290030486343,1
3,"""Previdni bomo, mami,"" so rekli kozlički.",2.4480521898191943,2.459174443734539,0.011122253915344604,0
4,"""Lahko si brez skrbi.""",2.4453293313419118,2.446305836397059,0.0009765050551471255,0
5,Mama koza je v slovo nežno zameketala in se pomirjena odpravila v gozd.,2.418157058304747,2.4490984221467254,0.03094136384197821,0
6,Nedolgo zatem je potrkalo na vratih.,2.434221967072478,2.435518294452975,0.0012963273804968978,0
7,"Hripav glas je rekel: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega.""",2.3486496970650474,2.3840322237418765,0.03538252667682906,1
8,"Toda kozlički so takoj vedeli, da hripav glas ni od njihove mame.",2.4461211181782647,2.452784708587841,0.006663590409576425,0
9,Bil je volk.,2.463527203232794,2.4633105885810203,-0.00021661465177391648,0
10,"""Ne bomo odprli,"" so zaklicali.",2.458398649303328,2.4640798261088706,0.005681176805542698,0
11,"""Ti že nisi naša mamica. Ona ima nežen in mehak glas, tvoj pa je globok in hripav. Vemo da si ti, volk!""",2.4306948383368963,2.4451715624494965,0.014476724112600259,1
12,"Volk je odšel in začel tuhtati, kako bi si zmehčal glas.",2.461472109872198,2.4648299014033963,0.0033577915311981954,0
13,Potem se mu je posvetilo – kreda!,2.4480372519388687,2.4502545274211416,0.002217275482272907,0
14,"Takoj jo je mahnil k trgovcu, kupil kos krede in jo pojedel.",2.4411718577896844,2.453672521616157,0.012500663826472636,1
15,"Še sam ni mogel verjeti, kako nežen in mehak je postal njegov glas.",2.4435791843621306,2.4492786732754963,0.005699488913365691,0
16,"Potem se je vrnil in potrkal: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega.""",2.4065904863550465,2.431389327466754,0.024798841111707493,0
17,"Toda kozlički so videli njegovo črno šapo, ki jo je položil na okensko polico, zato so zaklicali:""Ne bomo odprli! Naša mamica že nima črne šape. Vemo da si ti, volk!""",2.4084241062360348,2.432989175886781,0.02456506965074645,1
18,"Spet mu ni uspelo, toda ni se predal.",2.4980603074934513,2.498145732916819,8.542542336753556e-05,0
19,"Skočil je do peka in rekel:""Dobri pek, poškodoval sem si taco.",2.491122247267139,2.498664749500363,0.007542502233223836,0
20,"Ker testo blaži bolečine, te prosim, da mi z njim obložiš šapo.",2.498566941034226,2.503625139508929,0.005058198474702902,0
21,"Ko mu je pek s testom obložil taco, se je odpravil do mlinarja: ""Mlinar, posuj mi šapo z malo moke!""",2.466931274391461,2.4851391090770227,0.018207834685561863,0
