,sentence,with_sentence,without_sentence,difference,label
0,"Once upon a time, a mouse, a bird, and a sausage, entered into
partnership and set up house together.",16.110940582722662,15.736474554326382,-0.37446602839628085,1
1,"For a long time all went well;
they lived in great comfort, and prospered so far as to be able to add
considerably to their stores.",16.28028481934732,15.87405872122669,-0.40622609812062827,0
2,"The bird’s duty was to fly daily into the
wood and bring in fuel; the mouse fetched the water, and the sausage saw
to the cooking.",16.101063552412015,15.877792210254855,-0.22327134215715994,1
3,"When people are too well off they always begin to long for something
new.",16.719845233386074,16.345455893987342,-0.3743893393987321,0
4,"And so it came to pass, that the bird, while out one day, met a
fellow bird, to whom he boastfully expatiated on the excellence of his
household arrangements.",16.776344476744185,16.677633438307492,-0.0987110384366936,0
5,"But the other bird sneered at him for being a
poor simpleton, who did all the hard work, while the other two stayed
at home and had a good time of it.",16.48489224137931,16.625668103448277,0.14077586206896697,1
6,"For, when the mouse had made the fire
and fetched in the water, she could retire into her little room and rest
until it was time to set the table.",16.887783188951378,16.745009467978957,-0.14277372097242136,0
7,"The sausage had only to watch the
pot to see that the food was properly cooked, and when it was near
dinner-time, he just threw himself into the broth, or rolled in and out
among the vegetables three or four times, and there they were, buttered,
and salted, and ready to be served.",16.90506552419355,16.69390435987903,-0.21116116431451815,0
8,"Then, when the bird came home and
had laid aside his burden, they sat down to table, and when they had
finished their meal, they could sleep their fill till the following
morning: and that was really a very delightful life.",16.735713945448605,16.86774893837108,0.132034992922474,0
9,"Influenced by those remarks, the bird next morning refused to bring in
the wood, telling the others that he had been their servant long enough,
and had been a fool into the bargain, and that it was now time to make a
change, and to try some other way of arranging the work.",16.993189102564102,16.977309849605522,-0.01587925295858028,1
10,"Beg and pray
as the mouse and the sausage might, it was of no use; the bird remained
master of the situation, and the venture had to be made.",16.700447328629032,16.744080771169354,0.04363344254032242,0
11,"They therefore
drew lots, and it fell to the sausage to bring in the wood, to the mouse
to cook, and to the bird to fetch the water.",17.07742437318314,16.95898210392442,-0.11844226925871837,1
12,And now what happened?,16.909740812572842,17.04051482371795,0.13077401114510678,0
13,"The sausage started in search of wood, the bird
made the fire, and the mouse put on the pot, and then these two waited
till the sausage returned with the fuel for the following day.",17.248094696359537,17.1974002798808,-0.050694416478737736,0
14,"But the
sausage remained so long away, that they became uneasy, and the bird
flew out to meet him.",16.986316867795388,16.86454487121758,-0.12177199657780946,1
15,"He had not flown far, however, when he came across
a dog who, having met the sausage, had regarded him as his legitimate
booty, and so seized and swallowed him.",17.29060559395032,17.079586713741985,-0.2110188802083357,1
16,"The bird complained to the dog
of this bare-faced robbery, but nothing he said was of any avail, for
the dog answered that he found false credentials on the sausage, and
that was the reason his life had been forfeited.",16.662667410714285,16.807762509300595,0.1450950985863102,0
17,"He picked up the wood, and flew sadly home, and told the mouse all he
had seen and heard.",16.74702370383523,16.99028875177557,0.24326504794034065,0
18,"They were both very unhappy, but agreed to make the
best of things and to remain with one another.",16.86021942453286,17.01015448816044,0.14993506362757714,0
19,"So now the bird set the table, and the mouse looked after the food and,
wishing to prepare it in the same way as the sausage, by rolling in and
out among the vegetables to salt and butter them, she jumped into the
pot; but she stopped short long before she reached the bottom, having
already parted not only with her skin and hair, but also with life.",17.938613891601562,17.14916229248047,-0.7894515991210938,1
20,"Presently the bird came in and wanted to serve up the dinner, but he
could nowhere see the cook.",15.885245945142662,15.743056587550951,-0.14218935759171103,1
21,"In his alarm and flurry, he threw the wood
here and there about the floor, called and searched, but no cook was to
be found.",16.245090260225183,16.558399873621322,0.3133096133961395,0
22,"Then some of the wood that had been carelessly thrown down,
caught fire and began to blaze.",16.08041474313447,16.530942974668562,0.4505282315340935,1
23,"The bird hastened to fetch some water,
but his pail fell into the well, and he after it, and as he was unable
to recover himself, he was drowned.",14.527514987521702,15.00374009874132,0.47622511121961786,1
