,sentence,with_sentence,without_sentence,difference,label
0,"Bil je reven mož, ki je imel štiri sinove.",2.9254030618960605,2.9333396888937067,0.00793662699764619,1
1,"Ko so odrasli, jim je dejal: »Ljubi moji sinovi, po svetu morate, jaz nimam ničesar, kar bi vam dal.",2.8916821938107105,2.9552683449961656,0.06358615118545519,1
2,"Pripravite se in pojdite na tuje, izučite se kakšnega rokodelstva in glejte, kako se boste prebili.« Bratje so vzeli popotne palice v roke, se poslovili od svojega očeta ter odšli skozi mestna vrata.",2.844610694679054,2.9340004750844595,0.08938978040540535,1
3,"Ko so nekaj časa romali, so prišli do križišča, ki je držalo na štiri različne strani.",2.938405411394605,2.9984574874860956,0.06005207609149066,1
4,"»Tukaj se moramo ločiti,« je rekel najstarejši, »a čez štiri leta obsorej se spet dobimo.",2.9286858545590753,2.9834725715253994,0.05478671696632409,1
5,Medtem pa poskusimo svojo srečo.« Tako so ubrali vsak svojo pot.,2.98083984375,2.998524241727941,0.017684397977940858,1
6,"Pa je srečal najstarejšega brata človek, ki ga je vprašal, kam hoče in kaj namerava.",2.9355539175180287,2.9800682067871094,0.04451428926908063,1
7,"»Rokodelstva se grem učit,« je rekel on.",2.9656579485764314,3.0004576521581914,0.03479970358175999,1
8,»Pojdi z menoj in postani tat!« je rekel človek.,2.955208394064832,2.994083537391169,0.038875143326337014,1
9,"»Ne,« je odgovoril brat, »to ni pošteno rokodelstvo.",2.969695890010311,2.996136815414816,0.026440925404505045,1
10,"In konec pesmice je zmerom ta, da uporabijo nazadnje človeka kje pod milim nebom za kembelj pri zvonu.« »Kaj še,« je rekel človek, »vislic se ti ni treba bati.",2.7736376152663933,2.9628809527621245,0.1892433374957312,1
11,"Jaz te naučim samo, da dobiš v roke to, česar noben človek ne more dobiti in da ti nihče ne pride na sled.« Dal se je pregovoriti, se izučil za tatu in je postal tako spreten, da ni bilo nič varno pred njim, kar je hotel dobiti.",2.7589841195464313,2.9126545859024664,0.1536704663560351,1
12,"Tudi drugi brat je srečal človeka, ki ga je vprašal, kaj se gre učit.",2.9442767978454967,2.996495785920516,0.05221898807501946,1
13,"»Saj še sam ne vem,« je rekel ta.",2.945992414393642,2.969182707638344,0.0231902932447019,1
14,»Pa pojdi z menoj in postani zvezdogledec.,2.952093466734275,2.9859587840544872,0.03386531732021236,1
15,Nič ni boljšega kakor to.,2.9826499641715705,3.0064296970119724,0.023779732840401913,1
