,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč je živela koza, ki je imela sedem živahnih kozličkov.",2.495386744166041,2.5201734938063063,0.02478674964026517,0
1,"Imela jih je rada, kot imajo mame rade svoje otroke.",2.521286289300203,2.547304598361435,0.02601830906123226,0
2,"Nekega dne se je odpravljala v gozd po krmo, zato je sklicala vseh sedem in rekla: ""Dragi otročički, pozorno me poslušajte! Šla bom v gozd, zato boste nekaj časa sami doma. Pazite se volka! Če mu uspe priti v hišo, vas bo pojedel s kostmi in kožo vred. Nepridiprav se pogosto zamaskira, zato morate biti še posebej previdni. Če drugega ne, ga bo izdal raskav glas in črne šape.""",2.283165371295103,2.486129009163803,0.2029636378687001,1
3,"""Previdni bomo, mami,"" so rekli kozlički.",2.4694193261605064,2.508447436153958,0.03902810999345174,0
4,"""Lahko si brez skrbi.""",2.472789234834559,2.486463120404412,0.013673885569852828,0
5,Mama koza je v slovo nežno zameketala in se pomirjena odpravila v gozd.,2.4316675717637968,2.4786720045800665,0.04700443281626976,0
6,Nedolgo zatem je potrkalo na vratih.,2.4589446311773258,2.472992877189795,0.014048246012469345,0
7,"Hripav glas je rekel: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega.""",2.385836208279846,2.476942657353177,0.09110644907333088,1
8,"Toda kozlički so takoj vedeli, da hripav glas ni od njihove mame.",2.50963253001268,2.5376957598781087,0.028063229865428863,0
9,Bil je volk.,2.466821898612024,2.470076091029484,0.0032541924174602777,0
10,"""Ne bomo odprli,"" so zaklicali.",2.4385192214801745,2.4611553889448925,0.02263616746471797,0
11,"""Ti že nisi naša mamica. Ona ima nežen in mehak glas, tvoj pa je globok in hripav. Vemo da si ti, volk!""",2.3744022170310295,2.4680516682827927,0.09364945125176316,1
12,"Volk je odšel in začel tuhtati, kako bi si zmehčal glas.",2.420670104541367,2.4518124367693344,0.031142332227967362,0
13,Potem se mu je posvetilo – kreda!,2.3719655280565695,2.411852403626825,0.0398868755702555,0
14,"Takoj jo je mahnil k trgovcu, kupil kos krede in jo pojedel.",2.349830834887179,2.401492392548622,0.05166155766144298,1
15,"Še sam ni mogel verjeti, kako nežen in mehak je postal njegov glas.",2.376921708454457,2.3973184275072676,0.020396719052810486,0
16,"Potem se je vrnil in potrkal: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega.""",2.356598605417182,2.392615994997937,0.036017389580754955,0
17,"Toda kozlički so videli njegovo črno šapo, ki jo je položil na okensko polico, zato so zaklicali:""Ne bomo odprli! Naša mamica že nima črne šape. Vemo da si ti, volk!""",2.3233287748514626,2.4490926627485146,0.12576388789705195,1
18,"Spet mu ni uspelo, toda ni se predal.",2.4724717881944445,2.4879869249131943,0.015515136718749822,0
19,"Skočil je do peka in rekel:""Dobri pek, poškodoval sem si taco.",2.391041127286216,2.4779071660004846,0.08686603871426835,0
20,"Ker testo blaži bolečine, te prosim, da mi z njim obložiš šapo.",2.40301123046875,2.50480615234375,0.10179492187499983,0
21,"Ko mu je pek s testom obložil taco, se je odpravil do mlinarja: ""Mlinar, posuj mi šapo z malo moke!""",2.2720363018711813,2.447421009817337,0.17538470794615568,0
22,"Mlinar si je mislil, da premeteni volk gotovo hoče koga ukaniti, zato je odklonil.",2.35666748046875,2.4284287109375,0.07176123046874983,0
23,"Toda volk je zagrozil:""Če tega ne storiš, te bom požrl!""",2.3561597508108783,2.3882696033713824,0.03210985256050414,0
24,"Mlinar se ga je zelo prestrašil, zato mu je pomokal šapo.",2.363253362193136,2.3977608537387276,0.03450749154559141,0
25,"Kaj hočemo, ljudje so pač takšni.",2.4120756672214005,2.433770715837648,0.02169504861624727,0
26,"Kmalu potem se je malopridnež že tretjič prikazal pred vrati in potrkal: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila iz gozda in za vsakega ima nekaj lepega.""",2.338263167385244,2.4237265685781897,0.08546340119294582,1
27,"Kozlički so zaklicali: ""Najprej nam pokaži svojo nogo, da se prepričamo, ali si res naša mamica.""",2.3515953172734214,2.446344255187118,0.09474893791369654,0
28,"Volk je položil šapo na okensko polico in ko so kozlički videli, da je bela, so odprli vrata, misleč, da je njihova mama.",2.4212953532400308,2.48676647974182,0.0654711265017891,1
29,A ni bila njihova mama – bil je volk!,2.5169867405378485,2.5470982281810257,0.03011148764317717,0
30,"Na smrt so se prestrašili in se razbežali na vse konce, da bi se poskrili.",2.4972598747816868,2.53997351975736,0.042713644975673315,0
31,"Prvi je zlezel pod mizo, drugi pod posteljo, tretji je stekel v kuhinjo, četrti se je skril v pečico, peti v omaro, šesti v korito, sedmi, najmlajši, pa si je našel skrivališče v stenski uri.",2.435956154586378,2.549976707251435,0.11402055266505728,1
32,Toda volk jih je našel in brez obotavljanja požrl.,2.6623098324117795,2.6667036356082257,0.004393803196446111,0
33,"Enega za drugim je stlačil po žrelu, le najmlajšega, ki se je skril v stensko uro, ni našel.",2.601071972057132,2.66828228847137,0.06721031641423814,1
34,"Dodobra sit je potem odšel, se ulegel na travniku pod drevo in zadrnjohal.",2.617132804544297,2.6876921799420823,0.07055937539778512,0
35,Nedolgo zatem se je iz gozda vrnila mama koza.,2.625094943576389,2.6590629456535217,0.03396800207713291,0
36,Lahko si predstavljate kakšen grozen prizor jo je dočakal.,2.6255600286989798,2.6689590142697703,0.04339898557079058,0
37,"Vrata so bila na stežaj odprta, hiša razdejana, miza, stoli, klopce – vse prevrnjeno in polomljeno.",2.56881217646405,2.645689181196011,0.07687700473196113,0
38,"Kuhinja razbita, spalnica razmetana, njenih ljubih kozličkov pa nikjer.",2.5478060704580745,2.6326537833203933,0.08484771286231885,0
39,"Preiskala je vso hišo, vendar nikogar ni našla.",2.565179531089579,2.580713792992813,0.015534261903233926,0
40,"Enega za drugim je začela klicati po imenu, a nihče se ni oglasil.",2.602052746164487,2.6294230225100605,0.02737027634557343,0
41,"Naposled pa je poklicala za najmlajšim in oglasil se je drobcen glasek: ""Tukaj sem, mamica, v stenski uri.""",2.547135553440126,2.6711412958738183,0.12400574243369222,1
42,"Vzela ga je iz ure in povedal ji je, kako jih je volk ukanil ter požrl vse razen njega.",2.572096955232106,2.6482422381515818,0.07614528291947575,0
43,Lahko si predstavljate njeno žalost.,2.5392284159757654,2.5615306620695155,0.02230224609375009,0
44,"Potrta je stopila na svež zrak, najmlajši kozliček pa je odskakljal za njo.",2.515713962215321,2.5589468187920548,0.0432328565767337,0
45,"Ko sta prišla do travnika, sta pod drevesom opazila spečega volka.",2.436857654202369,2.4595299997637348,0.02267234556136577,0
46,"Ta je smrčal tako glasno, da so tresle veje.",2.470814167952337,2.4958478142233456,0.025033646271008347,0
47,"Mama koza si je volka previdno ogledovala, ko je opazila, da se v njegovem nabreklem trebuhu nekaj premika.",2.4891084943498885,2.55182375226702,0.0627152579171315,1
48,"""O, marička,"" je vzdrhtela.",2.458938704351905,2.5086027149790704,0.0496640106271653,0
49,"""Ali je mogoče, da so moji otročički še zmeraj živi?""",2.4416181898231413,2.495697387402578,0.05407919757943658,0
50,"Kozlička je takoj poslala po škarje, šivanko in sukanec.",2.438887217990181,2.4957929882325436,0.05690577024236276,0
51,Potem je volku prerezala trebuh in glej – že pri prvem rezu je ven pokukala glavica kozlička.,2.474246803014905,2.593531332041836,0.11928452902693065,0
52,"Ko je postala luknja dovolj velika, je vseh šest kozličkov drug za drugim skočilo iz trebuha.",2.4852277075338085,2.5587795324492872,0.07355182491547874,0
53,"Vsi so bili živi in zdravi, saj jih je volk v svoji požrešnosti kar cele pogoltnil.",2.503228721378734,2.571943942855739,0.06871522147700482,1
54,"Joj, kako je bila mamica vesela.",2.412668700386857,2.4364327679109725,0.02376406752411553,0
55,"Svoje ljube otročičke je tesno objela, potem pa jim naročila: ""Ljubi otroci, vsak naj gre in poišče en velik kamen, da bomo z njimi napolnili okrutnežu trebuh, dokler še spi.""",2.2158267614976417,2.605881946491745,0.3900551849941034,1
