,label,sentence
0,1,"Neki kralj je imel hčer, ki je bila tako neizmerno lepa, zraven pa tako ošabna in prevzetna, da ji noben snubač ni bil dovolj dober."
1,1,"Zavrnila je drugega za drugim, povrhu pa jih je še obsula s posmehom."
2,1,Nekoč je kralj priredil veliko slavje in je povabil nanj vse ženitve željne moške od blizu in daleč.
3,1,"Vse jih je razvrstil po činu in stanu: najprej so prišli kralji, potlej vojvode, knezi, grofi, vitezi, nazadnje plemiški ljudje."
4,1,"Peljali so kraljično mimo vseh, ta pa je imela za vsakega kakšno pikro besedo."
5,1,"Nekdo je bil predebel: »Sod vinski,« je rekla."
6,1,"Drugi predolg: »Dolgokrak, omahljiv korak.« Tretji prekratek: »Kratek in rejen, štor zavaljen!« Četrti prebledi »Bledica Smrt!« Peti prerdeč: »Petelin na strehi!« Šesti ni bil dovolj raven: »Kriv ko dren, v zapečku posušen!« Res, prav vsem je imela kaj očitati, posebno pa se je znesla nad nekim dobrim kraljem, ki je stal čisto zgoraj in ki je imel malo krivo raščeno brado."
7,1,"»Ej,« je vzkliknila in se zasmejala, »ta ima pa brado kakor drozgov kljun.« In od tega časa dalje je dobil ime Drozgobrad ali kratko: kralj Drozd."
8,1,"Stari kralj pa, ki je videl, da njegova hči ne počne drugega, kakor da se posmehuje ljudem in zavrača vse snubače, ki so bili zbrani tam, se je silno razjezil."
9,1,"Prisegel je, da bo morala vzeti prvega berača, ki mu pride skozi vrata."
10,1,"Nekaj dni zatem se je oglasil pod oknom godec in pel pesmico, da bi si prislužil majhno miloščino."
11,1,"Ko ga je kralj zaslišal, je ukazal, naj ga pokličejo gor."
12,1,"Godec je vstopil v svoji umazani, razcapani obleki, zapel pred kraljem in njegovo hčerjo ter prosil za nagrado, ko je končal."
13,1,"»Tvoja pesem mi je tako ugajala, da ti hočem dati svojo hčer za ženo,« je rekel kralj."
14,1,"Kraljična se je zelo ustrašila, kralj pa je dejal: »Prisegel sem, da te bom dal prvemu beraču, in to prisego bom tudi izpolnil.« Vsi izgovori in prošnje niso nič pomagali, poklicali so župnika, da jo je pri priči poročil z godcem."
15,1,"Ko se je to zgodilo, je kralj rekel: »Ne spodobi se, da bi zdaj kot žena beračeva še dalje ostala pod mojo streho."
16,1,Zato lahko odideš s svojim možem.« Berač jo je odvedel za roko in morala je peš hoditi z njim.
17,1,"Ko sta prišla do nekega velikega gozda, je vprašala: »Čigav je ta prelepi gozd?« »Njegov posestnik je kralj Drozd; da si ga vzela, bil bi tvoj.« »o, da, ubožica sem mlada, zavrgla kralja Drozgobrada!« Nato sta prišla na travnik, pa je spet vprašala: »Čigav je krasni travnik ta?« »Kralj Drozd v posesti ga ima, da si ga vzela, bil bi tvoj.« »O, da, ubožica sem mlada zavrgla kralja Drozgobrada!« Potem sta hodila po velikem mestu; spet je vprašala: »Čigavo pa je lepo mesto to?« »To mesto Drozdov grad zovo

da si ga vzela, tvoje bi bilo.« »o, da, ubožica sem mlada, zavrgla kralja Drozgobrada!« »Prav nič mi ne ugaja,« je rekel godec, »da si vedno želiš nekoga drugega za moža."
18,1,Mar jaz nisem dovolj dober zate?« Nazadnje sta prišla do čisto majhne hišice.
19,1,"Rekla je: »o, majhna nizka hišica!"
20,1,"Čigava je ta kočica?« »To je moja in tvoja hiša, kjer bova stanovala,« je odgovoril godec in vstopil."
21,1,"Tudi ona je vstopila, a se je morala pripogniti, da je prišla skozi vrata."
22,1,»Kje so pa sluge?« je vprašala kraljična.
23,1,»Kakšni sluge?« je odgovoril ubogi prosjak.
24,1,"»Sama boš morala storiti, kar boš hotela imeti storjeno."
25,1,"Daj, kar pr&ej zakuri in pristavi vodo, da mi skuhaš kosilo."
