,sentence,with_sentence,without_sentence,difference,label
0,"There was once upon a time an old goat who had seven little kids, and loved them with all the love of a mother for her children.",18.46215105256276,17.755360878661087,-0.7067901739016733,0
1,One day she wanted to go into the forest and fetch some food.,18.4446314482782,18.53645268438178,0.09182123610357706,0
2,"So she called all seven to her and said: ‘Dear children, I have to go into the forest, be on your guard against the wolf; if he comes in, he will devour you all--skin, hair, and everything.The wretch often disguises himself, but you will know him at once by his rough voice and his black feet.’",18.621070746527778,18.602235243055556,-0.018835503472221404,1
3,"The kids said: ‘Dear mother, we will take good care of ourselves; you may go away without any anxiety.’",18.9014110620471,18.978921110733697,0.07751004868659805,0
4,"Then the old one bleated, and went on her way with an easy mind.",18.877394230769234,18.916470252403844,0.039076021634610214,0
5,"It was not long before someone knocked at the house-door and called: ‘Open the door, dear children; your mother is here, and has brought something back with her for each of you.’",19.082788578273277,19.0721410930086,-0.010647485264676959,1
6,"But the little kids knew that it was the wolf, by the rough voice.",18.789886626103144,18.874919203323223,0.08503257722007973,0
7,"‘We will not open the door,’ cried they, ‘you are not our mother. She has a soft, pleasant voice, but your voice is rough; you are the wolf!’",18.914439832899305,18.91319281684028,-0.0012470160590254409,1
8,"Then the wolf went away to a shopkeeper and bought himself a great lump of chalk, ate this and made his voice soft with it.",18.830687126097285,18.80119601896946,-0.02949110712782499,1
9,"Then he came back, knocked at the door of the house, and called: ‘Open the door, dear children, your mother is here and has brought something back with her for each of you.’",18.714667497601425,18.703407260827852,-0.01126023677357324,0
10,"But the wolf had laid his black paws against the window, and the children saw them and cried: ‘We will not open the door, our mother has not black feet like you: you are the wolf!’",18.72043757196135,18.633983827467965,-0.08645374449338661,1
11,"Then the wolf ran to a baker and said: ‘I have hurt my feet, rub some dough over them for me.’",18.4565098011861,18.555837422859767,0.09932762167366604,0
12,"And when the baker had rubbed his feet over, he ran to the miller and said: ‘Strew some white meal over my feet for me.’",18.622543634750667,18.594152592199467,-0.028391042551199064,0
13,"The miller thought to himself: ‘The wolf wants to deceive someone,’ and refused; but the wolf said: ‘If you will not do it, I will devour you.’",18.685994843605055,18.591248804209183,-0.09474603939587212,0
14,"Then the miller was afraid, and made his paws white for him.",18.35765526181176,18.380962989443823,0.023307727632062125,0
15,"Truly, this is the way of mankind.",18.196010044642854,18.26603747371237,0.07002742906951553,0
16,"So now the wretch went for the third time to the house-door, knocked at it and said: ‘Open the door for me, children, your dear little mother has come home, and has brought every one of you something back from the forest with her.’",18.4825073608765,18.707669094876128,0.22516173399962724,1
17,The little kids cried: ‘First show us your paws that we may know if you are our dear little mother.’,18.47810417218397,18.597253900732696,0.1191497285487273,0
18,"Then he put his paws in through the window and when the kids saw that they were white, they believed that all he said was true, and opened the door.",18.536428595378602,18.552159574264255,0.015730978885653002,1
19,But who should come in but the wolf!,18.27403498823925,18.343266312794015,0.06923132455476377,0
