,sentence,with_sentence,without_sentence,difference,label
0,"Once upon a time there was a dear little girl who was loved by everyone
who looked at her, but most of all by her grandmother, and there was
nothing that she would not have given to the child.",0.025428740307688713,0.007464494090527296,-0.017964246217161417,0
1,"Once she gave her a
little cap of red velvet, which suited her so well that she would never
wear anything else; so she was always called ‘Little Red-Cap.’
One day her mother said to her: ‘Come, Little Red-Cap, here is a piece
of cake and a bottle of wine; take them to your grandmother, she is ill
and weak, and they will do her good.",0.007464494090527296,0.08120452612638474,0.07374003203585744,1
2,"Set out before it gets hot, and
when you are going, walk nicely and quietly and do not run off the path,
or you may fall and break the bottle, and then your grandmother will
get nothing; and when you go into her room, don’t forget to say, “Good
morning”, and don’t peep into every corner before you do it.’
‘I will take great care,’ said Little Red-Cap to her mother, and gave
her hand on it.",0.18546783924102783,0.03750109672546387,-0.14796674251556396,0
3,"The grandmother lived out in the wood, half a league from the village,
and just as Little Red-Cap entered the wood, a wolf met her.",2.774482011795044,0.09072303771972656,-2.6837589740753174,1
4,"Red-Cap did not know what a wicked creature he was, and was not at all afraid of him.",1.2205021381378174,1.4557019472122192,0.23519980907440186,0
5,"‘Good day, Little Red-Cap,’ said he.",1.0004737377166748,1.3507331609725952,0.3502594232559204,0
6,"‘Thank you kindly, wolf.’",1.3574700355529785,1.2739542722702026,-0.08351576328277588,1
7,"‘Whither away so early, Little Red-Cap?’",1.0457782745361328,0.714862048625946,-0.33091622591018677,0
8,‘To my grandmother’s.’,2.3525490760803223,2.1812124252319336,-0.17133665084838867,1
9,‘What have you got in your apron?’,2.0684099197387695,2.578502655029297,0.5100927352905273,0
10,"‘Cake and wine; yesterday was baking-day, so poor sick grandmother is to
have something good, to make her stronger.’",2.1124110221862793,1.9663136005401611,-0.14609742164611816,0
11,"‘Where does your grandmother live, Little Red-Cap?’",1.7981311082839966,1.536447286605835,-0.2616838216781616,1
12,"‘A good quarter of a league farther on in the wood; her house stands
under the three large oak-trees, the nut-trees are just below; you
surely must know it,’ replied Little Red-Cap.",1.3987188339233398,1.9405478239059448,0.541828989982605,1
13,"The wolf thought to himself: ‘What a tender young creature!, what a nice
plump mouthful--she will be better to eat than the old woman.",1.564910650253296,1.3700803518295288,-0.1948302984237671,1
14,"I must
act craftily, so as to catch both.’ So he walked for a short time by
the side of Little Red-Cap, and then he said: ‘See, Little Red-Cap, how
pretty the flowers are about here--why do you not look round?",0.9343739151954651,0.4862205386161804,-0.44815337657928467,0
15,"I believe,
too, that you do not hear how sweetly the little birds are singing; you
walk gravely along as if you were going to school, while everything else
out here in the wood is merry.’",2.4097342491149902,3.7406351566314697,1.3309009075164795,0
16,"Little Red-Cap raised her eyes, and when she saw the sunbeams dancing
here and there through the trees, and pretty flowers growing everywhere,
she thought: ‘Suppose I take grandmother a fresh nosegay; that would
please her too.",3.2130649089813232,2.474325180053711,-0.7387397289276123,1
17,"It is so early in the day that I shall still get there
in good time’; and so she ran from the path into the wood to look for
flowers.",2.2478604316711426,2.463676929473877,0.21581649780273438,0
