,sentence,with_sentence,without_sentence,difference,label
0,Na robu nekega velikega gozda je živel reven drvar s svojo ženo in z dvema otrokoma.,0.20407460629940033,1.3831642866134644,1.179089680314064,1
1,Fantku je bilo ime Janko in dekletcu Metka.,1.3831642866134644,0.21521885693073273,-1.1679454296827316,1
2,"Drvarjeva družina že tako ni imela kdo ve kaj jesti, ko pa je nastopilo nerodovitno leto, ni mogel drvar zaslužiti niti vsakdanjega kruha.",0.22466494143009186,0.0919579491019249,-0.13270699232816696,1
3,"Ko je tako ponoči premišljeval v svoji postelji in se od skrbi premetaval, je vzdihnil in dejal svoji ženi: »Kaj bo z nami?",0.18423853814601898,0.012506392784416676,-0.1717321453616023,1
4,"Kako naj preživiva svoja uboga otroka, ko še zase nimava ničesar več?« »Veš kaj, mož,« je odgovorila žena, »jutri navsezgodaj od- peljiva otroka v gozd v najgostejšo goščo.",0.013771518133580685,0.054124049842357635,0.04035253170877695,1
5,"Tam zakuriva ogenj in dajva vsakemu še košček kruha, nato pa se odpraviva na svoje delo in ju pustiva sama.",0.08328529447317123,0.13264484703540802,0.049359552562236786,1
6,"Tako ne bosta več našla poti domov in se jih bova odkrižala.« »Ne, žena,« je rekel mož, »tega ne bom storil.",0.030518122017383575,0.08791285008192062,0.05739472806453705,1
7,"Srce mi ne da, da bi puščal otroka sama v gozdu.",0.4588637948036194,0.0893748551607132,-0.3694889396429062,1
8,"Saj pridejo divje zveri in ju raztrgajo.« »O, ti bedak,« je rekla na to žena, »po tvojem naj potemtakem vsi štirje od lakote umremo.",0.2773352563381195,0.13265027105808258,-0.14468498528003693,1
9,"Ostane nam samo to, da izoblaš deske za mrtvaške krste.« In mu ni dala miru, dokler ni pristal.",0.10303539037704468,0.637187659740448,0.5341522693634033,1
10,»Uboga otroka pa se mi vseeno smilita!« je dejal mož.,0.2758277356624603,0.06164845451712608,-0.21417928114533424,1
11,"Tudi lačna otroka nista mogla zaspati in sta slišala, kaj je mačeha rekla očetu.",0.3606589436531067,0.3227987587451935,-0.03786018490791321,1
