,label,sentence
0,1,"Nekoč je stal sredi velike, črne hoste star grad."
1,1,Tam je živela čarovnica.
2,1,Podnevi se je spreminjala v mačko ali sovo.
3,1,Zvečer pa je spet postala človek.
4,1,"K sebi je znala zvabiti divjačino in ptiče in jih je ujela, zaklala, skuhala ali spekla."
5,1,"Če se je kdo približal njenemu gradu na sto korakov, je moral obstati in se ni mogel premakniti z mesta, dokler mu starka ni dovolila."
6,1,"Če je pa stopila deklica v njen čarobni krog, jo je spremenila v ptico, jo zaprla v kletko in odnesla v grad."
7,1,V gradu je imela že sedem tisoč takih kletk.
8,1,"No, pa je tedaj živela deklica z imenom Jorinda."
9,1,Lepša je bila od vseh drugih deklic.
10,1,Ona in lepi mladenič Joringel sta se zaobljubila drug drugemu.
11,1,"Nedavno tega je bila zaroka in če sta le mogla, sta tičala skupaj in si gledala v oči."
12,1,Nekoč sta šla v hosto na sprehod.
13,1,"""Glej, da se preveč ne približaš gradu!"""
14,1,je svaril Joringel.
15,1,Bil je lep večer.
16,1,Zlati sončni žarki so padali skozi črne smreke in grlica je žalostno grulila na stoletni bukvi.
17,1,"Tedaj je Jorinda pričela jokati, sedla v sončni žarek in tožila."
18,1,Tudi Joringel je tožil.
19,1,"Pri srcu jima je bilo težko, kakor da morata umreti."
20,1,Zmanjkalo jima je poti in steze.
21,1,"Iskala sta na vse strani, se zbegala in nista več vedela, kod domov."
22,1,"Pol sonca je še gledalo čez goro, pol ga je bilo zašlo."
23,1,"Ko je Joringel iskal poti po gošči, je zagledal skozi drevje zidovje starega gradu."
24,1,"Prestrašil se je in srce mu je vztrepetalo, Jorinda pa je zapela:
""Moja ptička je žalostna
in toži, toži, toži."
25,1,"Tudi srce je žalostno
in toži, toži... Civit, civit, civit."""
26,1,Joringel se je ozrl k Jorindi.
27,1,"Jorinda je bila spremenjena v slavčka in zaklicala: ""Šu, hu, hu, hu!"""
28,1,"Joringel se ni mogel premakniti, bil je kakor okamenel."
29,1,"Ni mogel jokati, ne govoriti, niti ganiti z roko ne z nogo."
30,1,Tedaj je sonce zašlo.
31,1,Sova je zletela v grm.
32,1,"Iz grma pa je stopila sključena starka, rumena in koščena, z velikimi, rdečimi očmi in krivim nosom, ki ji je visel do brade."
33,1,"Mrmraje je ujela slavčka, si ga dala na roko in ga odnesla v grad."
34,1,Joringel se ni mogel ne ganiti ne spregovoriti.
35,1,Slavčka ni bilo več.
36,1,Naposled se je starka vrnila in mrko zamrmrala čudne besede.
37,1,Tedaj se je Joringel lahko premaknil.
38,1,"Pokleknil je pred čarovnico in jo zaklinjal, naj mu vrne Jorindo."
39,1,"Ona pa se je zarežala, mu obrnila hrbet in odšla."
40,1,"Joringel je klical, jokal in tožil."
41,1,Vse zaman.
42,1,"Tedaj je odšel iz gozda in hodil, hodil, da je prišel v tujo vas."
43,1,Ostal je tam in pasel vaške ovce.
44,1,"Večkrat se je vračal v hosto k staremu gradu, a nikoli preblizu."
45,1,"Neko noč se mu je sanjalo, da je našel krvavordečo rožo, v njeni čaši se je lesketal biser."
46,1,"Utrgal jo je in šel z njo do gradu: česar se je z rožo dotaknil, je bilo rešeno čara."
47,1,"Nazadnje se mu je še sanjalo, da so mu vrnili Jorindo."
48,1,"Ko se je zjutraj zbudil, je jel iskati po hribih in dolinah take rože."
49,1,"Iskal jo je devet dni, ko se je deseti dan danil, jo je našel."
50,1,"Bila je krvavordeča, v čaši se je lesketala rosa kakor velik, lep biser."
51,1,Rožo je nosil vse dni in vse noči do starega gradu.
52,1,"Ko se je približal gradu na sto korakov, ni okamenel."
53,1,"Ne, stopal je do grajskih vrat, dotaknil se vrat in odprla so se na stežaj."
54,1,"Stopil je na grajsko dvorišče in poslušal, kje je slišal kako ptico."
55,1,"Kje je čivkalo in cvrčalo, tja se je napotil."
56,1,Prišel je do velike dvorane in vstopil.
57,1,V dvorani je bila čarovnica in krmila začarane ptice v sedem tisoč kletkah.
58,1,"Ko pa je zagledala Joringla, se je razjezila."
59,1,"Vreščala je ter puhala ogenj, žolč in strup proti njemu."
60,1,A bolj ko na tri korake se mu ni mogla približati.
61,1,"On pa se ni niti zmenil zanjo, stopal je od kletke do kletke in se oziral po pticah; a bilo je slavčkov na stotine."
62,1,Kako bi spoznal Jorindo?
63,1,"Ko je tako iskal, je opazil, da je starka skrivaj pograbila kletko in hitela z njo proti vratom."
64,1,Tedaj je skočil za njo in se dotaknil čarovnice in kletke z rožo.
65,1,"Čarovnica ni mogla nič več čarati in pred njim je stala Jorinda, lepa kakor nekdaj."
66,1,In ga je objela.
67,1,"On pa je spremenil vse ptice v deklice in odšel z Jorindo domov, kjer sta še dolgo in srečno živela."
