,label,sentence
0,1,Bila je nekoč stara koza.
1,1,"Imela je sedem mladih kozic, ki jih je imela rada, kakor ima rada mati svoje otroke."
2,1,"Nekega dne je nameravala iti v gozd po malo krme in je sklicala vseh sedem kozic ter jim dejala: »Dragi otroci, jaz moram v gozd."
3,1,Pazite se volka.
4,1,"Če pride, vas bo vse požrl s kožo in kostmi."
5,1,"Ta malopridnež se večkrat pretvarja, toda po njegovem raskavem glasu in po njegovih črnih šapah ga boste pr&ej spoznali.« »Dragi mati,« so rekle kozice, »saj bomo lepo pazile, brez skrbi greš lahko z doma.« Stara je zameketala in se mirno odpravila na pot."
6,1,"Ni dolgo trajalo, ko je že nekdo potrkal na hišna vrata in zaklical: »Odprite, ljubi otroci, vaša mamica je prišla in je vsakemu nekaj prinesla.« Kozice pa so spoznale po raskavem glasu, da je volk."
7,1,"»Ne bomo ti odprle!« so odgovorile, »ti nisi naša mati, ta ima mil in ljubek glas, tvoj glas pa je osoren."
8,1,"Ti si volk.« Nato je volk odšel h kramarju in si kupil velik kos krede, ter ga pogoltnil, da mu je glas mileje zvenel."
9,1,"Zatem se je vrnil, potrkal na hišne duri in zaklical: »Odprite, ljubi otroci, vaša mati se je vrnila in je vsakemu nekaj prinesla.« Toda volk je položil svojo črno šapo na okno in ko so otroci to opazili, so rekli: »Ne bomo odprli!"
10,1,Naša mati nima tako črnih nog kakor ti.
11,1,"Ti si volk.« 

Nato je stekel volk k peku in zavzdihnil: »Udaril sem se v nogo, namaži mi jo s testom.« In ko mu je pek namazal nogo, je volk stekel k mlinarju in mu dejal: »Nasuj mi bele moke na sapo.« Mlinar je pomislil: »Tale volk bi rad nekoga preslepil,« in se je uprl."
12,1,"Volk pa mu je zagrozil, da ga bo raztrgal, če ne stori tega."
13,1,Mlinar se je prestrašil in mu natresel bele moke na šapo.
14,1,"Saj, taki so ljudje!"
15,1,"Zdaj je šel malopridnež tretjič k hišnim vratom, potrkal in nežno dejal: »Odprite, otročički!"
16,1,"Vaša mamica je prišla domov in je vsakemu nekaj prinesla iz gozda.« Kozice so zaklicale: »Pokaži nam najprej svojo šapo, da bomo vedele, če si res naša draga mamica.« Volk je položil šapo na okno in ko so videle, da je bela, so mislile, da je vse res, kar je dejal, in so odprle vrata."
17,1,In kdo je vstopil?
18,1,Volk!
19,1,Hudo so se prestrašile in so se hotele poskriti.
20,1,"Ena je skočila pod mizo, druga v posteljo, tretja v peč, četrta v kuhinjo, peta v omaro, šesta pod umivalnik, sedma v omarico stenske ure."
21,1,"Volk pa jih je našel, vse, in jih brez pomisleka drugo za drugo požrl; edino najmlajše, tiste v novi omarici, ni našel."
22,1,"Ko si je volk potešil svojo lakoto, je odšel, legel na travo pod drevo in zaspal."
23,1,Kmalu zatem se vrne stara koza iz gozda.
24,1,"Ah, kakšna slika se je prikazala njenim."
25,1,očem!
26,1,"Hišne duri nastežaj odprte, miza, stoli in klopi prevrnjeni, skleda za umivanje je bila iv črepinjah, odeja in blazine so bile vse razmetane."
27,1,"Začela je iskati svoje otroke, a nikjer jih ni bilo."
28,1,"Klicala jih je po vrsti z imeni, a nobena se ji ni oglasila."
29,1,"Nazadnje šele, ko je poklicala najmlajšo, je zaklical droben glasek: »Mamica, tukaj sem, v omarici za uro.« 

Rešila je kozico iz omarice in ta ji je povedala, da je prišel volk in vse druge požrl."
30,1,"Lahko si mislite, kako se je koza jokala zaradi svojih ubogih otrok."
31,1,svoji veliki žalosti je naposled odšla iz hiše in najmlajša kozica je stekla za njo.
32,1,"Na travniku je zagledala volka, ki je ležal pod drevesom in smrčal, da so se kar veje tresle."
33,1,"Začela ga je z vseh strani ogledovati in je videla, da se mu v napihnjenem trebuhu nekaj giblje in cepeta."
34,1,"»Mili bog,« je pomislila, »kaj če so moji ubogi otroci, ki jih je požrl, še pri življenju?« Pri priči je morala mlada kozica steči domov in prinesti škarje, šivanko in sukanec."
35,1,"Potem je stara zverini razparala polni trebuh in komaj je zarezala, že je pokukala iz njega glava mlade kozice."
36,1,"Ko je dalje rezala, je poskakalo iz njega vseh šestero kozic in bile so še vse žive in nepoškodovane."
37,1,Zver jih je namreč v svoji požrešnosti kar cele pogoltnila.
38,1,To vam je bilo veselje!
39,1,Objemale so svojo drago mamico in poskakovale kakor krojaček na svatbi.
40,1,"Mati je dejala: »Pojdite zdaj in prinesite nekaj velikih kamnov, da bomo z njimi tej hudobni živali napolnile trebuh, dokler še spi in smrči.« In vseh sedem kozic je hitro privleklo kamenje, ki so ga stlačile volku v trebuh, kolikor ga je le šlo vanj."
41,1,"Nato ga je stara spet hitro zašila, da ni ničesar opazil in se niti zganil ni."
42,1,"Ko se je volk končno naspal, se je skobacal na noge in ker ga je kamenje v želodcu tako hudo žejalo, je hotel piti iz bliž-njega vodnjaka."
43,1,"Ko pa je začel stopati in se premikati, se je zadevalo kamenje v njegovem trebuhu in trkalo drug ob dru-gega."
44,1,In volk je jezno zarenčal: »Kaj tako se po trebuhu mi z ropotom kotali?
45,1,"Šest kozličev sem požrl, zdaj kot kamen so težki.« 

Ko je prišel do vodnjaka in se nagnil nad vodo, da bi pil, so ga težki kamni potegnili vanjo."
46,1,Štrbunknil je v vodnjak in klavrno utonil.
47,1,"Ko so kozice to videle, so pritekle in na ves glas zavriskale: »Volk je mrtev, volk je mrtev!« In od veselja so s svojo mamico zaplesale okrog vodnjaka."
