,sentence,with_sentence,without_sentence,difference,label
0,"Bil je nekoč kraljevič, ki se je mudil pri svoji nevesti, ki jo je imel močno rad.",3.0621728417379277,3.1018567459444166,0.03968390420648893,1
1,"Ko je sedel tako pri nji in bil dobre volje, pa je prišlo poročilo, da mu je oče na smrt obolel in da ga želi videti pred smrtjo.",3.0580846150716146,3.1307551066080728,0.07267049153645821,1
2,Kraljevič je dejal svoji ljubljenki: »Kličejo me in zapustiti te moram.,3.092078195720181,3.139649477502662,0.04757128178248138,1
3,Vzemi tu prstan v spomin name.,3.0971410763701406,3.1337226225026997,0.03658154613255915,1
4,"Ko bom kralj, pridem in te popeljem na svoj dom.« Odjezdil je.",3.092487259416391,3.104883728701021,0.012396469284630118,1
5,"Ko je prišel k očetu, je bil ta res na smrt bolan in blizu smrti.",3.086423856718046,3.12069372228674,0.034269865568693714,1
6,"»Ljubi moj sin,« mu je rekel, »hotel sem te še enkrat videti pred smrtjo.",3.101837825445915,3.1258001294591486,0.023962304013233737,1
7,"Obljubi mi, da se boš oženil po moji volji.« Imenoval mu je neko kraljično, s katero se še poznala nista, ki naj bi mu postala žena.",3.103279178503788,3.1547620738636364,0.05148289535984851,1
8,"Sin pa je bil tako zmeden in potrt, da ni nič pomislil in dejal: »Naj se zgodi, dragi oče, kakor želite.« Nato je kralj zaprl oči in umrl.",3.117683826441698,3.184857154527091,0.067173328085393,1
9,"Ko so oklicali sina za kralja in je minil čas žalovanja, je moral izpolniti obljubo, dano očetu, ter je dal zasnubiti kraljično.",3.1062740202872985,3.194022229922715,0.08774820963541652,1
10,Obljubili so mu jo.,3.2048125973930257,3.216769236438679,0.011956639045653361,1
11,"To pa je zvedela njegova prva nevesta in ta nezvestoba jo je tako strašno razžalostila, da je skoraj umrla od žalosti.",3.1722571633078833,3.2221013849431817,0.049844221635298336,1
12,"To videč ji je oče dejal: »Zakaj si tako žalostna, ljuba hčerka moja?",3.2317144382766814,3.277043571249086,0.04532913297240482,1
13,"Saj ti dam vse, karkoli si poželiš.« Kraljična je za trenutek pomišljala, nato pa je rekla: »Dragi oče, želim si enajst deklet, ki mi bojo po licu, po postavi in po rasti na las podobne.« 

»Naj se ti izpolni želja, če je mogoče,« je odgovoril kralj.",2.908016166813746,3.1680143742862334,0.2599982074724876,1
14,"In dal je po vsem kraljestvu tako dolgo iskati, da so našli enajst devic, ki so bile njegovi hčeri po licu, po postavi in po rasti na las podobne.",3.129731240080451,3.301136130418126,0.17140489033767503,1
15,"Ko so prišle h kraljični, je ukazala napraviti enajst lovskih oblek, čisto enakih.",3.1645748389028285,3.27131641694229,0.1067415780394616,1
16,In dekleta so morala obleči lovske obleke in sama je oblekla dvanajsto.,3.21386578974833,3.296133259780534,0.08226747003220414,1
17,Nato se je poslovila od očeta.,3.2829309411951013,3.2886338399644064,0.005702898769305076,1
18,"Odjahala je s svojim spremstvom in prijahala na dvor svojega prejšnjega ženina, ki ga je tako močno ljubila.",3.225763001104798,3.29539733270202,0.06963433159722188,1
19,"Vprašala ga je, ali potrebuje kaj lovcev in ali ne bi kar vseh skupaj sprejel v svojo službo.",3.2414877622654665,3.320407333528778,0.07891957126331128,1
20,"Mladi kralj si jo je ogledal, a je ni spoznal.",3.337303955078125,3.363080078125,0.025776123046874932,1
21,"Ker pa so bili vsi tako zali ljudje, je pristal, češ da jih rad sprejme.",3.2852056652367234,3.356658629759519,0.0714529645227957,1
22,Tako je vseh dvanajst prišlo v kraljevo službo.,3.2984158954923113,3.31631590828063,0.017900012788318875,1
23,"Kralj pa je imel leva, ki je bil kaj prečudna žival.",3.239224012154507,3.310667972640687,0.07144396048618029,1
24,"Znano mu je bilo vse, kar je bilo skritega in tajnega.",3.265134769523453,3.311270038048902,0.046135268525449025,1
25,"Zgodilo se je, da je nekega dne lev dejal kralju: »Kralj misli, da ima dvanajst lovcev na dvoru?« »Tako je,« je rekel kralj, »dvanajst lovcev je.« Lev pa je nadaljeval: »Kralj se hudo moti, to je dvanajst deklet.« »Ta je pa bosa,« je vzkliknil kralj, »kako mi moreš dokazati to?« »Kralj naj da posuti svojo predsobo z grahom, pa se bo pr&ej prepričal,« je rekel lev.",2.922064946771978,3.339784726991758,0.4177197802197803,1
26,"»Moški imajo čvrst korak in če stopijo na grah, se grašek niti ne zgane, dekleta pa ca-pljajo in plesaje podrsavajo, grah pod nogami pa se začne kotaliti.« Kralju je bil ta nasvet kar všeč in je dal svojo predsobo posuti z grahom.",2.938839934593023,3.3113494937566066,0.3725095591635834,1
27,"Kralj pa je imel nekega služabnika, ki je bil lovcem naklonjen.",3.0124403865461846,3.0502802224523093,0.03783983590612472,1
28,"Ko je slišal, kakšen poskus bojo napravili z njimi, 

je prišel k njim in jim vse povedal: »Lev hoče natveziti kralju, da ste vsi sama dekleta.« Lepo se mu je zahvalila kraljična, nato pa rekla svojini družicam: »Potrudite se malo in stopajte krepko po grahu.« Ko je dal kralj drugo jutro poklicati lovce k sebi in so te prišle v predsobo, kjer je bil posut grah, so tako krepko stopale po njem in imele tako trden in močan korak, da se niti grašek ni zakotalil ali premaknil.",2.5295858862193206,3.1204532989083904,0.5908674126890698,1
29,"Po njihovem odhodu je rekel kralj levu: »Nalagal si me, saj stopajo kot moški.« »Zvedele so, da jih bo kralj preskušal,« je rekel lev.",2.45575171118384,2.6286307669974662,0.17287905581362617,1
30,»Potrudile so se.,2.541695362299829,2.5616770881918534,0.019981725892024294,1
31,Kralj naj da postaviti dvanajst kolovratov v predsobo.,2.4669300707080697,2.5390983484968355,0.07216827778876578,1
32,"Ko pridejo, se bojo vse veselo ozrle po njih.",2.4743386416297573,2.5416890942831363,0.06735045265337902,1
33,In tega moški ne stori.« Kralju je bil nasvet všeč in je dal postaviti kolovrate v predsobo.,2.4387939453125,2.4707763671875,0.031982421875,1
34,"Služabnik pa, ki je bil za lovce, je šel in razkril kraljevo namero.",2.3324751420454546,2.4574724572145343,0.12499731516907975,1
35,"Kraljična je dejala svojim dekletom, ko so bile same: »Potrudite se malo in se nikar ne ozirajte po kolovratih.« Ko je dal kralj naslednje jutro poklicati svojih dvanajst lovcev, so prišle v predsobo in niti z očesom ni nobena trenila proti kolovratom.",2.198520600231664,2.426585489267054,0.22806488903539002,1
36,"Ves jezen je rekel kralj levu: »Spet si me nalagal, to so moški, ker se niti ozrli niso po kolovratih.« »Zvedele so, da jih kralj preskuša,« je odgovoril lev.",2.0741513671875,2.372799560546875,0.29864819335937476,1
37,»Zato so se prisilile.« Kralj pa levu ni več verjel.,2.1842494983578202,2.28227636232898,0.0980268639711599,1
38,Dvanajsterica lovcev je kralja stalno spremljala na lovu.,2.099056890102032,2.211803832340762,0.11274694223872972,1
39,Kralj jih je imel vedno rajši.,2.0699332874907546,2.1254622781065087,0.055528990615754115,1
40,"Zgodilo se je, da so bili nekoč na lovu, ko je prišla vest, da prihaja kraljeva nevesta.",1.9194847722971662,2.079500755167896,0.16001598287072993,1
41,"Ko je prva nevesta to slišala, jo je tako silno zabolelo srce, da ji je skoraj počilo.",1.8541997653334887,2.074809515654151,0.22060975032066232,1
42,Omedlela je in se zgrudila na tla.,2.001957526573768,2.06853147653433,0.06657394996056176,1
43,"Kralj je menil, da se je njegovemu dragemu lovcu kaj pripetilo, skočil je k njemu in mu hotel pomagati ter mu slekel rokavico.",1.6684045477227851,2.1192073612422733,0.45080281351948814,1
44,"Tedaj pa je zapazil prstan, ki ga je bil dal svoji prvi nevesti.",1.5805454628140319,2.0128179811963847,0.4322725183823528,1
45,"In ko jo je pogledal v obraz, jo je spoznal.",1.3756639885179924,1.723529122092507,0.34786513357451465,1
46,"Bil je tako presunjen, da jo je poljubil.",1.2472387949625652,1.6554950714111327,0.40825627644856755,1
47,"Ko pa je odprla oči, je ginjeno dejal: »Ti si moja in jaz sem tvoj in tega nobena sila in obljuba ne more spremeniti.« Poslal je sla k drugi nevesti in jo prosil, naj se vrne v svojo deželo, ker že ima svojo ljubljeno soprogo in da stara ljubezen nikdar ne zarjavi.",3.20172066524111,3.2357690745386583,0.034048409297548154,1
