,sentence,with_sentence,without_sentence,difference,label
0,"A great king of a land far away in the East had a daughter who was very
beautiful, but so proud, and haughty, and conceited, that none of the
princes who came to ask her in marriage was good enough for her, and she
only made sport of them.",1.2037941217422485,2.649592876434326,1.4457987546920776,1
1,"Once upon a time the king held a great feast, and asked thither all
her suitors; and they all sat in a row, ranged according to their
rank--kings, and princes, and dukes, and earls, and counts, and barons,
and knights.",2.649592876434326,1.4068217277526855,-1.2427711486816406,1
2,"Then the princess came in, and as she passed by them she
had something spiteful to say to every one.",1.284915566444397,0.13883082568645477,-1.1460847407579422,1
3,"The first was too fat: ‘He’s
as round as a tub,’ said she.",0.09544923156499863,0.17369887232780457,0.07824964076280594,1
4,"The next was too tall: ‘What a maypole!’
said she.",0.1589648723602295,0.12938672304153442,-0.02957814931869507,1
5,The next was too short: ‘What a dumpling!’ said she.,0.09038711339235306,0.040675804018974304,-0.049711309373378754,1
6,"The
fourth was too pale, and she called him ‘Wallface.’ The fifth was too
red, so she called him ‘Coxcomb.’ The sixth was not straight enough;
so she said he was like a green stick, that had been laid to dry over
a baker’s oven.",0.052548810839653015,0.07601700723171234,0.023468196392059326,1
7,"And thus she had some joke to crack upon every one: but
she laughed more than all at a good king who was there.",0.08972691744565964,0.09496616572141647,0.005239248275756836,1
8,"‘Look at
him,’ said she; ‘his beard is like an old mop; he shall be called
Grisly-beard.’ So the king got the nickname of Grisly-beard.",0.08914633095264435,0.07109414786100388,-0.018052183091640472,1
9,"But the old king was very angry when he saw how his daughter behaved,
and how she ill-treated all his guests; and he vowed that, willing or
unwilling, she should marry the first man, be he prince or beggar, that
came to the door.",0.0867883488535881,0.06907572597265244,-0.01771262288093567,1
10,"Two days after there came by a travelling fiddler, who began to play
under the window and beg alms; and when the king heard him, he said,
‘Let him come in.’ So they brought in a dirty-looking fellow; and when
he had sung before the king and the princess, he begged a boon.",0.16736477613449097,0.25659456849098206,0.08922979235649109,1
11,"Then the
king said, ‘You have sung so well, that I will give you my daughter for
your wife.’ The princess begged and prayed; but the king said, ‘I have
sworn to give you to the first comer, and I will keep my word.’ So words
and tears were of no avail; the parson was sent for, and she was married
to the fiddler.",0.10047302395105362,0.0769384503364563,-0.02353457361459732,1
12,"When this was over the king said, ‘Now get ready to
go--you must not stay here--you must travel on with your husband.’

Then the fiddler went his way, and took her with him, and they soon came
to a great wood.",0.06239979714155197,0.04610806331038475,-0.01629173383116722,1
13,"‘Pray,’ said she, ‘whose is this wood?’ ‘It belongs
to King Grisly-beard,’ answered he; ‘hadst thou taken him, all had been
thine.’ ‘Ah!",0.0629144087433815,0.06480452418327332,0.0018901154398918152,1
