,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč reven je mlinar v kraljestvu živel, zelo lepo hčerko on je imel.",23.962695710285132,23.86357163314664,-0.09912407713849092,0
1,"Zgodilo se je, da mu šlo je za preživetje, zato stopil je pred kralja in si skušal rešit življenje.",23.839467498647185,23.662215063582252,-0.1772524350649327,0
2,"Rekel je kralju, pobahal se mu, “hči moja je predilja, iz slame sprede vam zlato.",23.757843857511467,23.628677788130734,-0.12916606938073372,1
3,"Kralju zasvetile so se oči “pripelji mi hčerko, tu ostane preko noči, da dokaže, če res vredno je znanje moje krvi.",23.902050538926797,23.642876182537222,-0.2591743563895754,0
4,"Dekle so privedli pred kralja in jo odpeljali v sobo precej polno slame, dali so ji kolovrat in vreteno in rekli “Loti se dela, če do jutra ne spredeš te slame v zlato, boš morala plačati s svojim življenjem.",24.104969243893677,23.862130702227013,-0.2428385416666643,1
5,Tako je sam kralj sobo zaklenil in pustil dekle v samoti.,24.058639069517216,23.92293196809506,-0.13570710142215603,0
6,"Uboga mlinarjeva hči ni vedela, kaj naj stori, ni vedela, kako se slamo lahko v zlato spremeni in vedno bolj jo je skrbelo, da ne bo več dočakala kaj dosti dni, tako ji je od vsega hudega po licu spolzela solzica.",23.927619906135533,23.68057105654762,-0.2470488495879124,0
7,"In tako na lepem vrata se odpro in skoznje pristopical je mali možiček, postavil se pred njo: “Dober večer, mlinarjeva gospodična, zakaj jočete tako?”",24.11341479700855,23.785172943376068,-0.3282418536324805,1
8,"“Vidiš” rekla je gospodična “spresti moram slamo v zlato in ne vem, kako.”",24.316940747170783,24.09100115740741,-0.22593958976337447,0
9,“Kaj mi daš” je rekel možic “če jaz to zate storil bi?”,24.071233485772357,23.87524215574187,-0.19599133003048763,0
10,“Dala bi ti svojo ogrlico” rekla je mlinarjeva hči.,23.711373963647958,23.63890704719388,-0.07246691645407921,1
11,"Možic ogrlico je vzel, se posedel pred kolovrat in ga zavrtel, vroom, vroom, vroom, trije obrati in vreteno svetlikalo se je v barvi zlati, potem lotil se dela je spet, vroom, vroom, vroom, ga trikrat zavrtel in dosegel zlati lesk.",24.118580996718038,23.614364833047944,-0.5042161636700939,0
12,"Vrtel ga je vse tja do jutra, dokler vse slame spredel ni in vsa vretena napolnil z zlatom, ki svetilo se je v jutranji temi.",23.362048132944917,23.15595620365466,-0.2060919292902561,0
13,"Ko vzšlo je sonce, je kralj že prišel in presenečeno zrl nad zlatom, ki ga je našel, njegovo pohlepno srce pa ni imelo dovolj.",23.392557258279915,23.234829894497864,-0.1577273637820511,0
14,"Mlinarjevo hči odpeljal je v drugo sobo polno slame, bilo je slame še veliko več in če ji je bilo kaj do življenja spet do jutra morala je kolovrat vrtet.",22.964902427575108,22.740892402092275,-0.22401002548283344,0
15,"Dekle ni vedelo, kaj ji je storiti, zato je jokala in vrata so zopet se odprla z malim možicem med njimi “Kaj dala mi boš tokrat, da slamo spremenim v zlate niti?”",23.242740745708154,23.07768072693133,-0.16506001877682408,0
16,"“Prstan, ki se bohoti mi na prstu,” reklo je dekle.",23.012727200255103,22.825079719387755,-0.18764748086734784,1
17,"Mali mož vzel je prstan in zavrtel je staro kolo, do jutra spremenil vso slamo je zopet v svetlikajoče se zlato.",22.96855265299479,22.693876139322917,-0.2746765136718743,0
18,"Kralj navdušen nad obsegom zlata, še vedno ni zadovoljil željo svojega srca in zopet odpeljal je mlinarjevo hči v sobo kjer slame je bilo za tri noči: “Tudi to slamo v zlato čez noč spremeni, če uspe ti, pa takrat s tabo kralj se oženi.”",23.65305655343192,22.898217337472097,-0.754839215959823,0
19,"Čeravno bila je le mlinarjeva hči, menil je, da je bogatejše nikoli ne dobi.",23.324291087962962,23.10592287165638,-0.2183682163065832,0
20,"Ko ostala je sama, je možic spet prišel in rekel ji je:”Kaj daš mi, dekle, da bom kolovrat zavrtel?”",23.449639042721518,23.291159843090718,-0.1584791996308006,0
21,"“Ničesar več nimam, kar dala bi ti,” odgovori dekle in zajoče v dlani.",23.318881675845287,23.02788806352459,-0.29099361232069754,0
22,"“Potem pa mi obljubi, če postala boš kraljica, da prvorojenec bo moja pravica.”",23.56004452803498,23.270592206790123,-0.2894523212448554,1
23,"Mlinarjeva hči niti vedela ni, če res s kraljem se na koncu omoži, zato zavoljo lastnega življenja, obljubila je možicu pravico do otroka in odstopila pot mu do prvega vretena, tako spet slamo preko noči mali možic v zlato spremeni.",24.228885600220263,23.45455542745044,-0.7743301727698224,0
24,"In ko tako se kralj vrnil je zjutraj in našel tisto, kar si želelo je njegovo srce, poročil je dekle in kraljico napravil iz nje.",23.34917902542373,22.847000380693856,-0.5021786447298737,1
25,"Po letu dni se čudovit otrok ji rodi, pozabila je, kaj mali možic si želi.",23.154535950466805,22.78518664094917,-0.36934930951763434,0
26,"In tako, kar iz nič je stopil pred njo: “Izpolni obljubo, ki si jo dala za zlato.”",22.818421666023664,22.58251149369856,-0.23591017232510225,0
27,"Kraljica se stresla je od silne groze, možicu ponudila bogastvo je in pol.",23.45216250321502,23.129024803883745,-0.32313769933127645,1
28,"Če le pustil bi otroka v njenem naročju, bi odnesel vse, kar v lasti kralj je imel.",23.9176830750778,23.307471310943985,-0.6102117641338154,0
29,A možic se ni dal: “Nekaj živega je vredno več kot bogastvo vsega sveta.”,23.26659757653061,23.050111607142856,-0.21648596938775455,0
30,"Kraljica je jokala in na kolenih prosila, smilila se je možicu, tako ga je ganila.",23.11730049070248,22.810226062112605,-0.30707442858987477,0
31,"“Dam ti nič več kot tri dni časa,” je rekel možic “da moje ime v teh dneh ugotoviš, ako to ti do takrat ne uspe, otrok je moj in nikar ne trudi se.”",23.161661255411257,22.889969730790042,-0.2716915246212146,1
32,"Tako kraljica je razmišljala vso noč o imenih, kar jih je čula in trudila se na vso moč, poslala je sla preko širne dežele, da vrnil bi se z imenom, ki bilo bi njegovo.",23.795703125,23.04557574728261,-0.7501273777173907,0
33,"Ko prišel je dan in z njim mali možic,  naštevala je vse od Gašperja, Matjaža, Baltazarja do zadnjega kar jih pozna, a vsakemu sledil je odgovor: “Glej, imena mojega ona ne ve” in možic zadovoljno nasmihal se je.",23.84120056692478,22.96517215154867,-0.8760284153761084,0
34,"Drugi dan je imela seznam imen vseh čudnih sosednjih kraljevin, bolj bila so nenavadna, bolj verjetno se ji je zdelo, da pravi končno med njimi tiči.",23.341264960106383,22.82274767287234,-0.5185172872340438,0
35,"Tako možicu malemu je brala Malireberc, Ovčjerepec, Bolhonogec in odgovor, ki sledi ostajal je enak: “Ne, tako pa ime meni ni.”",23.624891027360515,23.220619299892704,-0.4042717274678118,0
36,"Tretji dan se vrnil je vdan vitez na konju in rekel ji je: “Imena vam novega žal ne prinašam, a ko sem se bližal visokim goram, ob koncu gozda zagledal sem konja, poleg pa ogenj in hišico malo, okoli ognja je plesal prav smešno majhen možic in pel si je pesem, nekako takole:",23.8537109375,22.856504360465117,-0.9972065770348841,0
37,"Danes bom pekel, jutri varil,naslednji dan kraljevega otroka dobil,oh, kako v zadovoljstvo mi je,ko nihče ne ve, da mi Špicparkeljc je ime.”",23.660858550629058,23.413177886566558,-0.2476806640625,1
38,"Lahko si le mislite kako vesela bila je kraljica ob imenu novem, ki ga slišala je.",23.209034234705104,22.830746932768484,-0.37828730193661997,0
39,"In kmalu mali možic pojavi se v sobi in zopet jo vpraša: “Draga kraljica, kako mi je ime?”",23.53881235591701,23.04377121221824,-0.4950411436987707,0
40,Sprva mu reče “Je Cene tvoje ime?”,24.009983793218087,23.337584150598403,-0.6723996426196841,0
41,“Ne.”,23.80293683307927,23.80152558117378,-0.0014112519054876316,0
42,“Mogoče si Jani?”,23.984828404017858,23.7301072950487,-0.25472110896915723,0
43,“Ne.”,23.65920155083955,23.56499059876399,-0.09421095207556007,0
44,“Mogoče pa je tvoje ime Špicparkeljc?”,23.711890435987904,23.691378685735888,-0.020511750252016014,1
