,sentence,with_sentence,without_sentence,difference,label
0,"Bil je mož, ki je bil star kakor zemlja; oči so mu opešale in se solzile, ušesa so mu oglušela in kolena so se mu tresla.",2.458396444515306,2.6312222642963436,0.17282581978103773,1
1,"Ko je sedel pri jedi za mizo in komaj držal žlico v roki, se je juha zlivala na prt na mizi in tudi iz ust se mu je kaj pocedilo.",2.418406369657856,2.707547274502841,0.2891409048449849,1
2,Sinu in njegovi ženi se je to gnusilo.,2.4747132593271686,2.5549166932397958,0.08020343391262719,1
3,"Zato sta nazadnje posadila deda v kot za peč, kjer sta mu dajala jesti iz lončene skledice, pa še to ne toliko, da bi se do sitega najedel.",2.401729450890081,2.7241705899214863,0.3224411390314055,1
4,Tako je starček ves potrt gledal k mizi in solze so mu tekle iz oči.,2.6438306977477253,2.7655805756774128,0.1217498779296875,1
5,Nekoč njegove tresoče se roke niso mogle obdržati sklede; padla mu je na tla in se razbila.,2.513111581047662,2.7338333678760116,0.22072178682834975,1
6,"Mlada žena ga je ozmerjala, on pa ni ničesar rekel in je samo zavzdihnil.",2.574664900788164,2.7155186475905695,0.1408537468024056,1
7,Nato mu je za majhen denar kupila leseno skledico in iz nje je moral jesti.,2.593815835674157,2.85762229662263,0.26380646094847293,1
8,"Ko so pa nekoč tako sedeli, je mali štiriletni vnuk začel sestavljati na tleh neke deščice.",2.2638499701201025,2.985380713619403,0.7215307434993004,1
9,»Kaj boš pa naredil?« ga je vprašal oče.,1.9488743082682292,2.1646553548177083,0.21578104654947916,1
10,"»Majhno koritce,« je odgovoril otrok.",1.7779392004013062,2.2162322998046875,0.43829309940338135,1
11,"»Iz njega bosta jedla mama in ata, ko bom jaz velik.« Tedaj sta se mož in žena za nekaj trenutkov spogledala, nato pa so jima privrele solze iz oči.",2.564789715935202,2.809367909150965,0.24457819321576313,1
12,"Nemudoma sta prosila deda, naj sede k njima za mizo.",1.7371575972613167,2.8255303326775048,1.088372735416188,1
