,label,sentence
0,1,"Bil je nekoč mlinar, ki je bil reven, a je imel zalo hčer."
1,1,"Zgodilo se je, da se je nekega dne zapletel s kraljem v pogovor in da bi se pokazal imenitnega, mu je rekel: »Hčer imam, ki zna iz slame presti zlato.« »Oho!« se je začudil kralj."
2,1,"»To je pa umetnost, ki mi je všeč!"
3,1,"Če je tvoja hči res tako spretna, kakor praviš, jo pripelji jutri na moj grad."
4,1,Preskusil jo bom.« Kmet je privedel dekle na grad.
5,1,"Tam so jo odpeljali v izbo, ki je bila polna slame."
6,1,"Kralj ji je dal kolo in vreteno in ji rekel: »Sedi zdaj lepo k delu in če do jutri zjutraj ne spredeš iz te slame zlata, moraš umreti.« Nato je zaklenil izbo, dekle pa je ostalo samo v njej."
7,1,Tako je sedela tam uboga mlinarjeva hči in si ni znala pomagati.
8,1,"Saj niti pojma ni imela, kako naj bi spredla iz slame zlato."
9,1,"Vedno bolj strah jo je postajalo, tako da je začela nazadnje bridko jokati."
10,1,"Tedaj so se naenkrat odprla vrata in v izbo je stopil čuden majhen možic ter dejal: »Dober večer, mlinarica mlada, kaj pa tako bridko jokaš?« »Oh, oh!« je zajokalo dekle."
11,1,"»Iz slame bi morala spresti zlato, pa ne znam tega.« »Kaj mi daš, če ti ga jaz spredem?« je vprašal možic."
12,1,"»Tole svojo ogrlico,« je reklo dekle."
13,1,"Možiček je vzel ogrlico, sedel h kolesu in drrr drrr drrr, trikrat potegnil, pa je bil vitel poln."
14,1,"Nato je nataknil drugega, in drrr drrr drrr, trikrat potegnil, pa je bil tudi drugi vitel poln."
15,1,"Tako je šlo tja do jutra, in že je bila spredena vsa slama in vsi vitli so bili polni zlata."
16,1,Ob sončnem vzhodu je že prišel kralj.
17,1,"Ko je zagledal zlato, se je močno začudil, srce pa mu je bilo le še pohlepnejše po zlatu."
18,1,"Dal je odpeljati mlinarjevo hčer v drugo izbo s slamo, ki je bila še veliko večja."
19,1,"Ukazal ji je, naj slamo tudi v tej noči sprede v zlato, če ji je življenje drago."
20,1,Dekle si ni vedelo pomagati in je bridko jokalo.
21,1,Tedaj so se spet odprla vrata.
22,1,"Prišel je mali možic in dejal: »Kaj mi daš, če ti spredem slamo v zlato?« »Tale svoj prstanček s prsta,« je odgovorilo dekle."
23,1,"Možic je vzel prstan, pognal je kolovrat in je do jutra spredel vso slamo v bleščeče zlato."
24,1,Kralj se je ob pogledu nanj nadvse razveselil.
25,1,Njegovo srce pa še ni bilo sito zlata.
26,1,"Velel je odvesti mlinarjevo hčer v še večjo izbo, polno slame."
27,1,"»Še tole moraš spresti nocojšnjo noč,« ji je rekel."
28,1,"»Če se ti posreči, postaneš moja soproga.« Kaj zato, je pomislil, če je mlinarjeva hči, bogatejše žene zlepa ne dobim na vsem svetu."
29,1,"Ko je bilo dekle samo, je še tretjič prišel možic in jo vprašal: »Kaj mi daš, če ti še tokrat spredem siamo?« »Ničesar več nimam, kar bi ti lahko dala,« je odgovorilo dekle."
30,1,"»Pa mi obljubi svojega prvega otroka, ko boš kraljica.« Kdo ve, kaj bo še iz tega, je pomislila mlinarjeva hči, in si tudi iz te stiske ni znala drugače pomagati, kot da je obljubila možicu, kar je zahteval."
31,1,In zato ji je še enkrat spredel vso slamo v zlato.
32,1,"Zjutraj je prišel kralj in je našel vse tako, kakor je želel."
33,1,Bil je mož-beseda in se je res oženil z dekletom.
34,1,In zala mlinarjeva hči je postala kraljica.
35,1,Čez leto dni je povila lepega otročička in ni več mislila na tistega tujega možička.
36,1,"Ta pa je vstopil in dejal: »Zdaj mi daj, kar si mi obljubila.« Kraljica se je prestrašila in je ponudila možicu bogastvo vse dežele, če ji hoče pustiti otroka."
37,1,"Možic pa je dejal: »Ne, živa stvar mi je ljubša kakor vsi zakladi sveta.« Tedaj je začela kraljica tako presunljivo tarnati in jokati, da se je možicu zasmilila: »Tri dni ti dam časa,« ji je rekel, »če zveš moje ime, lahko obdržiš otroka.« Kraljica je vso noč premišljevala o vseh mogočih imenih, ki jih je kdaj slišala."
38,1,"Po vsej deželi je razposlala sle, da bi poizvedeli daleč naokrog, kakšna imena še obstajajo."
39,1,"Ko je možic drugo jutro prišel, je začela z Gašperjem, Mihom in Boltežarjem ter mu imenovala vsa imena po vrsti."
40,1,"Možic pa je ob vsakem dejal: »Ne, tako mi ni ime.« Drugi dan je poslala sle še dlje v deželo, da bi poizvedeli kako se ljudje imenujejo."
41,1,"In možicu je naštevala najbolj nenavadna in najbolj čudna imena: »Ali se pišeš nemara Rebrce ali Koštrunovo bedrce ali Zadrga?« Možic pa je odgovarjal samo: »Ne, tako mi ni ime.« Tretji dan pa je eden od slov pripovedoval takole: »Za nobeno novo ime nisem več zvedel."
42,1,"Pač pa sem prišel na visokem hribu v neko gozdno zakotje, tja, kjer si lisica in zajec voščita lahko noč."
43,1,Zagledal sem majhno hišico.
44,1,"Pred hišico je gorel ogenj in okrog ognja je plesal prečuden smešen možic, poskakoval na eni nogi in pel: Danes pečem, jutri smodim, pojutrišnjem pa kraljička dobim; 

to je dobro, to je dobro, da nihče ne ve, da mi je Špicparkeljc ime.« Lahko si mislite, kako je bila kraljica vesela, ko je to slišala."
45,1,"Drugo jutro je prišel možic in vprašal: »No, gospa kraljica, kako mi je ime?« Kraljica pa ga je za šalo najprej vprašala: »Ali si morebiti Urh?« »Nisem.« »Ali pa morda Jur?« »Nak.« »Kaj pa če si nemara Špicparkeljc?« je nazadnje vprašala s posebnim poudarkom."
46,1,"Možic je kar pozelenel od jeze: »To ti je povedal sam hudič, to ti je povedal sam hudič!« In od jeze je udaril z levo nogo tako globoko v zemljo, da se je do pol života pogreznil vanjo."
47,1,Nato pa je v svoji togoti zgrabil z obema rokama svojo levo nogo in sam sebe na dvoje preklal.
