label,sentence
0,"Nekoč je živela koza, ki je imela sedem živahnih kozličkov."
0,"Imela jih je rada, kot imajo mame rade svoje otroke."
1,"Nekega dne se je odpravljala v gozd po krmo, zato je sklicala vseh sedem in rekla: ""Dragi otročički, pozorno me poslušajte! Šla bom v gozd, zato boste nekaj časa sami doma. Pazite se volka! Če mu uspe priti v hišo, vas bo pojedel s kostmi in kožo vred. Nepridiprav se pogosto zamaskira, zato morate biti še posebej previdni. Če drugega ne, ga bo izdal raskav glas in črne šape."""
0,"""Previdni bomo, mami,"" so rekli kozlički."
0,"""Lahko si brez skrbi."""
0,Mama koza je v slovo nežno zameketala in se pomirjena odpravila v gozd.
0,Nedolgo zatem je potrkalo na vratih.
1,"Hripav glas je rekel: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega."""
0,"Toda kozlički so takoj vedeli, da hripav glas ni od njihove mame."
0,Bil je volk.
0,"""Ne bomo odprli,"" so zaklicali."
1,"""Ti že nisi naša mamica. Ona ima nežen in mehak glas, tvoj pa je globok in hripav. Vemo da si ti, volk!"""
0,"Volk je odšel in začel tuhtati, kako bi si zmehčal glas."
0,Potem se mu je posvetilo – kreda!
1,"Takoj jo je mahnil k trgovcu, kupil kos krede in jo pojedel."
0,"Še sam ni mogel verjeti, kako nežen in mehak je postal njegov glas."
0,"Potem se je vrnil in potrkal: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega."""
1,"Toda kozlički so videli njegovo črno šapo, ki jo je položil na okensko polico, zato so zaklicali:""Ne bomo odprli! Naša mamica že nima črne šape. Vemo da si ti, volk!"""
0,"Spet mu ni uspelo, toda ni se predal."
0,"Skočil je do peka in rekel:""Dobri pek, poškodoval sem si taco."
0,"Ker testo blaži bolečine, te prosim, da mi z njim obložiš šapo."
0,"Ko mu je pek s testom obložil taco, se je odpravil do mlinarja: ""Mlinar, posuj mi šapo z malo moke!"""
0,"Mlinar si je mislil, da premeteni volk gotovo hoče koga ukaniti, zato je odklonil."
0,"Toda volk je zagrozil:""Če tega ne storiš, te bom požrl!"""
0,"Mlinar se ga je zelo prestrašil, zato mu je pomokal šapo."
0,"Kaj hočemo, ljudje so pač takšni."
1,"Kmalu potem se je malopridnež že tretjič prikazal pred vrati in potrkal: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila iz gozda in za vsakega ima nekaj lepega."""
0,"Kozlički so zaklicali: ""Najprej nam pokaži svojo nogo, da se prepričamo, ali si res naša mamica."""
1,"Volk je položil šapo na okensko polico in ko so kozlički videli, da je bela, so odprli vrata, misleč, da je njihova mama."
0,A ni bila njihova mama – bil je volk!
0,"Na smrt so se prestrašili in se razbežali na vse konce, da bi se poskrili."
1,"Prvi je zlezel pod mizo, drugi pod posteljo, tretji je stekel v kuhinjo, četrti se je skril v pečico, peti v omaro, šesti v korito, sedmi, najmlajši, pa si je našel skrivališče v stenski uri."
0,Toda volk jih je našel in brez obotavljanja požrl.
1,"Enega za drugim je stlačil po žrelu, le najmlajšega, ki se je skril v stensko uro, ni našel."
