,sentence,with_sentence,without_sentence,difference,label
0,"There was once upon a time an old goat who had seven little kids, and
loved them with all the love of a mother for her children.",1.6853938102722168,2.194120168685913,0.5087263584136963,1
1,"One day she
wanted to go into the forest and fetch some food.",2.194120168685913,0.49904894828796387,-1.6950712203979492,1
2,"So she called all
seven to her and said: ‘Dear children, I have to go into the forest,
be on your guard against the wolf; if he comes in, he will devour you
all--skin, hair, and everything.",0.3877345323562622,1.0629196166992188,0.6751850843429565,1
3,"The wretch often disguises himself, but
you will know him at once by his rough voice and his black feet.’ The
kids said: ‘Dear mother, we will take good care of ourselves; you may go
away without any anxiety.’ Then the old one bleated, and went on her way
with an easy mind.",1.07224702835083,2.191265821456909,1.119018793106079,1
4,"It was not long before someone knocked at the house-door and called:
‘Open the door, dear children; your mother is here, and has brought
something back with her for each of you.’ But the little kids knew that
it was the wolf, by the rough voice.",1.6329320669174194,0.8407803773880005,-0.792151689529419,1
5,"‘We will not open the door,’ cried
they, ‘you are not our mother.",0.5112840533256531,0.5602011680603027,0.04891711473464966,1
6,"She has a soft, pleasant voice, but
your voice is rough; you are the wolf!’ Then the wolf went away to a
shopkeeper and bought himself a great lump of chalk, ate this and made
his voice soft with it.",1.5066769123077393,2.3947794437408447,0.8881025314331055,1
7,"Then he came back, knocked at the door of the
house, and called: ‘Open the door, dear children, your mother is here
and has brought something back with her for each of you.’ But the wolf
had laid his black paws against the window, and the children saw them
and cried: ‘We will not open the door, our mother has not black feet
like you: you are the wolf!’ Then the wolf ran to a baker and said: ‘I
have hurt my feet, rub some dough over them for me.’ And when the baker
had rubbed his feet over, he ran to the miller and said: ‘Strew some
white meal over my feet for me.’ The miller thought to himself: ‘The
wolf wants to deceive someone,’ and refused; but the wolf said: ‘If you
will not do it, I will devour you.’ Then the miller was afraid, and made
his paws white for him.",2.4699604511260986,0.8773190379142761,-1.5926414132118225,1
8,"Truly, this is the way of mankind.",0.9490851759910583,2.496837854385376,1.5477526783943176,1
9,"So now the wretch went for the third time to the house-door, knocked at
it and said: ‘Open the door for me, children, your dear little mother
has come home, and has brought every one of you something back from the
forest with her.’ The little kids cried: ‘First show us your paws that
we may know if you are our dear little mother.’ Then he put his paws
in through the window and when the kids saw that they were white, they
believed that all he said was true, and opened the door.",1.4434839487075806,0.7158644199371338,-0.7276195287704468,1
10,"But who should
come in but the wolf!",0.14989882707595825,0.22711363434791565,0.0772148072719574,1
11,They were terrified and wanted to hide themselves.,0.9554015398025513,0.23962457478046417,-0.7157769650220871,1
12,"One sprang under the table, the second into the bed, the third into the
stove, the fourth into the kitchen, the fifth into the cupboard, the
sixth under the washing-bowl, and the seventh into the clock-case.",0.1744443029165268,0.19055329263210297,0.016108989715576172,1
13,"But
the wolf found them all, and used no great ceremony; one after the
other he swallowed them down his throat.",0.4005160331726074,0.48379677534103394,0.08328074216842651,1
14,"The youngest, who was in
the clock-case, was the only one he did not find.",0.2316383719444275,0.5734469890594482,0.34180861711502075,1
15,"When the wolf had
satisfied his appetite he took himself off, laid himself down under a
tree in the green meadow outside, and began to sleep.",0.46446651220321655,1.0843040943145752,0.6198375821113586,1
16,"Soon afterwards
the old goat came home again from the forest.",1.3930960893630981,0.809619128704071,-0.5834769606590271,1
17,Ah!,0.6642740964889526,0.38344189524650574,-0.2808322012424469,1
18,"what a sight she saw
there!",0.33967798948287964,0.29328790307044983,-0.04639008641242981,1
19,The house-door stood wide open.,0.40827158093452454,0.14612214267253876,-0.2621494382619858,1
20,"The table, chairs, and benches
were thrown down, the washing-bowl lay broken to pieces, and the quilts
and pillows were pulled off the bed.",0.1342378705739975,0.4258107841014862,0.2915729135274887,1
21,"She sought her children, but they
were nowhere to be found.",0.3561292588710785,0.3620026707649231,0.0058734118938446045,1
22,"She called them one after another by name, but
no one answered.",0.14648929238319397,0.545310378074646,0.398821085691452,1
23,"At last, when she came to the youngest, a soft voice
cried: ‘Dear mother, I am in the clock-case.’ She took the kid out, and
it told her that the wolf had come and had eaten all the others.",0.7849979400634766,0.2570038139820099,-0.5279941260814667,1
24,"Then
you may imagine how she wept over her poor children.",0.3919300436973572,0.3897463083267212,-0.0021837353706359863,1
25,"At length in her grief she went out, and the youngest kid ran with her.",0.8078230023384094,0.6857326030731201,-0.1220903992652893,1
26,"When they came to the meadow, there lay the wolf by the tree and snored
so loud that the branches shook.",0.5234514474868774,0.4196380078792572,-0.10381343960762024,1
27,"She looked at him on every side and
saw that something was moving and struggling in his gorged belly.",0.5736414790153503,2.303281545639038,1.7296400666236877,1
28,"‘Ah,
heavens,’ she said, ‘is it possible that my poor children whom he has
swallowed down for his supper, can be still alive?’ Then the kid had to
run home and fetch scissors, and a needle and thread, and the goat cut
open the monster’s stomach, and hardly had she made one cut, than one
little kid thrust its head out, and when she had cut farther, all six
sprang out one after another, and were all still alive, and had suffered
no injury whatever, for in his greediness the monster had swallowed them
down whole.",1.7240593433380127,0.9456568360328674,-0.7784025073051453,1
29,What rejoicing there was!,0.8412648439407349,0.8226778507232666,-0.01858699321746826,1
30,"They embraced their dear mother,
and jumped like a tailor at his wedding.",0.15387369692325592,1.5433902740478516,1.3895165771245956,1
31,"The mother, however, said: ‘Now
go and look for some big stones, and we will fill the wicked beast’s
stomach with them while he is still asleep.’ Then the seven kids dragged
the stones thither with all speed, and put as many of them into this
stomach as they could get in; and the mother sewed him up again in the
greatest haste, so that he was not aware of anything and never once
stirred.",0.7928580045700073,0.15360987186431885,-0.6392481327056885,1
32,"When the wolf at length had had his fill of sleep, he got on his legs,
and as the stones in his stomach made him very thirsty, he wanted to
go to a well to drink.",3.658708095550537,2.6044347286224365,-1.0542733669281006,1
33,"But when he began to walk and to move about, the
stones in his stomach knocked against each other and rattled.",2.855198383331299,2.486406087875366,-0.3687922954559326,1
34,"Then cried
he:

 ‘What rumbles and tumbles
  Against my poor bones?",1.6643118858337402,1.5032603740692139,-0.16105151176452637,1
35,"I thought ‘twas six kids,
  But it feels like big stones.’

And when he got to the well and stooped over the water to drink, the
heavy stones made him fall in, and he drowned miserably.",1.5394015312194824,1.776032567024231,0.23663103580474854,1
36,"When the seven
kids saw that, they came running to the spot and cried aloud: ‘The wolf
is dead!",1.935593843460083,1.9586106538772583,0.023016810417175293,1
