,label,sentence
0,1,"Nekoč sta živela mož in žena, ki sta imela ljubko ter nadvse prijazno hčer."
1,1,"Bili so srečna družina, dokler ni žena zbolela in umrla."
2,1,Čez čas se je ovdoveli mož odločil znova poročiti.
3,1,"Za drugo ženo si je izbral vdovo, ki je že iz prejšnjega zakona imela dve hčeri."
4,1,"To je bila ošabna ženska, hitre jeze ter pokvarjenega značaja."
5,1,"Njeni hčeri, ki sta bili sicer lepi, sta ji bili po značaju nadvse podobni."
6,1,Takoj po poroki je mačeha začela kazati svoj pravi obraz.
7,1,"Ni dobro prenašala vrlin svoje pastorke, saj so bile ob njej njene hčere videti zahrbtne ter hinavske."
8,1,"Pastorki je zato nalagala najtežja in najbolj umazana dela, med drugim tudi čiščenje dimnika."
9,1,"Ker je bilo dekle pogosto vso črno od saj, se jo je prijel vzdevek Pepelka."
10,1,A umazanim oblekam navkljub je svoji novi sestri stokrat prekašala po lepoti.
11,1,Tega ji seveda nista pozabili zameriti.
12,1,Pepelka je morala vsak dan trdo delati.
13,1,"Medtem ko sta njeni sestri čez dan uživali v brezdelju, ponoči pa udobno spali v velikih posteljah s svileno posteljnino, je morala ona čez dan garati, noči pa preživljati na odsluženi žimnici v mrzli podstrešni sobi."
14,1,"Kljub vsemu je potrpežljivo prenašala vse tegobe, niti očetu se ni potožila."
15,1,"Slednji je bil veliko zdoma, zato mu ni hotela delati še dodatnih skrbi."
16,1,"Nekega dne se je po kraljestvu razširil glas o kraljevem plesu, na katerega so bila povabljena najlepša dekleta v deželi."
17,1,"Kraljev sin, postaven princ, si bo na plesu izbral nevesto."
18,1,"Med povabljenimi sta bili tudi Pepelkini sestri, saj je imela njuna mati kar nekaj poznanstev iz plemiških vrst."
19,1,"Bili sta tako navdušeni, da se v hiši ni govorilo o ničemer drugem kot o plesu."
20,1,"To je pomenilo še več dela za ubogo Pepelko, saj jima je morala od spredaj in zadaj streči, medtem ko sta se po cele dneve lišpali ter pomerjali obleke."
21,1,Vmes pa nista pozabili zbadati Pepelke.
22,1,"""Pepelka, bi rada šla na ples?"""
23,1,"""Seveda,"" je odgovorila Pepelka, ki so se ji ob sami misli na to zaiskrile oči."
24,1,"""Se bomo pozanimali, če potrebujejo koga za čiščenje dimnika, vendar se mi zdi, da si tudi za to preslabo oblečena."""
25,1,"Vse dni, ko sta se pripravljali na ples, sta jo tako zbadali in zasmehovali."
26,1,"Pepelka je še naprej pridno opravljala svoje naloge, a v srcu jo je zelo bolelo, da ne more na ples."
27,1,Naposled je prišel dolgo pričakovani dan.
28,1,"Mačeha in sestri so se s kočijo odpeljale proti dvoru, Pepelka pa je potrta gledala za njimi."
29,1,"Ko jih ni več videla, je bridko zajokala."
30,1,"Vso v solzah jo je našla dobra vila, ki jo je obiskala na prošnjo pokojne matere."
31,1,"""Kaj je narobe?"""
32,1,je vprašala.
33,1,"""Rada bi ... rada bi,"" je ihtela Pepelka, tako vznemirjena, da ni mogla niti stavka dokončati."
34,1,"""Rada bi šla na ples, mar ne?"""
35,1,ji je pomagala dobra vila.
36,1,"""Da,"" je zavzdihnila Pepelka."
37,1,"""No, dobro,"" je rekla vila."
38,1,"""Mislim, da ti lahko pomagam."""
39,1,"Malo je pomislila, potem pa rekla: ""Pojdi na vrt in mi prinesi bučo."""
40,1,Pepelka je poiskala največjo bučo.
41,1,"Odnesla jo je k vili, vmes pa razmišljala, kako neki ji bo buča pomagala priti na ples."
42,1,"Vila je z nožičem mojstrsko izvotlila bučo, nato pa zamahnila s svojo čarobno palico in glej - buča se je spremenila v razkošno kočijo."
