,label,sentence
0,1,"Bila je nekoč majhna, srčkana deklica, ki jo je vsakdo vzljubil, če ga je le pogledala."
1,1,Najrajši pa jo je imela njena babica.
2,1,"Ta sploh ni vedela, kaj vse bi ji dala."
3,1,Nekoč ji je podarila kapico iz rdečega žameta.
4,1,"Ker ji je tako ljubko pristajala in ker tudi sama ni hotela nositi nič drugega več, so ji rekli kar Rdeča kapica."
5,1,"Nekega dne ji je rekla mama: »Rdeča kapica, na kos pogače in steklenico vina in nesi to naši babici."
6,1,Babica je bolna in slaba in to ji bo dobro delo.
7,1,Pokrepčalo jo bo.
8,1,"Le hitro se odpravi, da ne bo prevroče."
9,1,"In ko prideš v gozd, hodi lepo naravnost in ne tekaj po stranskih stezah, da ne boš padla in razbila steklenice, tako bi babica ničesar ne dobila."
10,1,"In ko vstopiš v sobo, ne pozabi voščiti dobro jutro in ne kukaj prej po vseh kotih in kotičkih.« »Vse bom napravila lepo v redu, kakor je treba,« je rekla Rdeča kapica in dala mami roko."
11,1,"Babica pa je imela hišico dve uri daleč od vasi, sredi nekega gozda."
12,1,"Ko je Rdeča kapica prišla v hosto, je srečala volka."
13,1,"Ker ni vedela, kakšna huda zver je to, se ga ni bala."
14,1,"»Dobro jutro, Rdeča kapica,« jo je nagovoril volk."
15,1,"»Dobro jutro, volk.« »Kam pa že tako zgodaj, Rdeča kapica?« »K babici sem namenjena.« »Kaj pa imaš v košarici?« 

»Kos pogače in steklenico vina."
16,1,"Včeraj smo pekli, pa naj se babica, ki je bolna in slaba, malo posladka in Pokrepča s tem.« »Rdeča kapica, kje pa stanuje tvoja babica?« »Kakšne četrt ure je še."
17,1,čisto vgozdt' pod tremi visokimi hrasti je njena hišica.
18,1,"Okrog je leskovanileja z lešniki, saj jo gotovo poznaš,« mu je razložila Rdeča kapica."
19,1,"»Mhm, ta mlada, rahla stvarcam je pomislil volk sam pri sebi, »to bo masten prigrizek, ki bo še veliko bolje teknil kakor stara."
20,1,"Lepo zvito se je treba lotiti, pa bom obe pohrustal.« Stopal je nekaj časa vštric Rdeče kapice, nato pa je glasno dejal: »Poglej no, Rdeča kapica, tele lepe cvetke, ki rastejo vsepovsod ob poti."
21,1,Zakaj si jih malo ne ogledaš?
22,1,"Mislim, da niti ne slišiš, kako milo prepevajo ptičke?"
23,1,"Tako zamišljeno hodiš po stezi, kakor bi šla v šolo."
24,1,Pa je vendar vse tako veselo in zanimivo tu v gozdu.« Rdeča kapica je pogledala okrog sebe.
