,sentence,with_sentence,without_sentence,difference,label
0,"Bila je nekoč majhna, srčkana deklica, ki jo je vsakdo vzljubil, če ga je le pogledala.",44.80253020216963,44.338212935568706,-0.4643172666009221,1
1,Najrajši pa jo je imela njena babica.,44.40634300595238,44.726841517857146,0.3204985119047663,1
2,"Ta sploh ni vedela, kaj vse bi ji dala.",44.86624541972019,44.722731720519654,-0.14351369920053259,1
3,Nekoč ji je podarila kapico iz rdečega žameta.,44.395441571524515,44.57173438549362,0.17629281396910557,1
4,"Ker ji je tako ljubko pristajala in ker tudi sama ni hotela nositi nič drugega več, so ji rekli kar Rdeča kapica.",45.017722602739724,44.75051369863014,-0.2672089041095873,1
5,"Nekega dne ji je rekla mama: »Rdeča kapica, na kos pogače in steklenico vina in nesi to naši babici.",44.77145982454609,44.36027518331006,-0.4111846412360336,1
6,Babica je bolna in slaba in to ji bo dobro delo.,42.3868842690678,44.745922713629945,2.3590384445621453,1
7,Pokrepčalo jo bo.,45.615620538900785,45.7226255799429,0.10700504104211461,1
8,"Le hitro se odpravi, da ne bo prevroče.",44.88034303160919,45.07229929956897,0.1919562679597746,1
9,"In ko prideš v gozd, hodi lepo naravnost in ne tekaj po stranskih stezah, da ne boš padla in razbila steklenice, tako bi babica ničesar ne dobila.",44.52310035342262,44.86448451450893,0.3413841610863102,1
10,"In ko vstopiš v sobo, ne pozabi voščiti dobro jutro in ne kukaj prej po vseh kotih in kotičkih.« »Vse bom napravila lepo v redu, kakor je treba,« je rekla Rdeča kapica in dala mami roko.",45.395403287461775,45.150545919342505,-0.24485736811926984,1
11,"Babica pa je imela hišico dve uri daleč od vasi, sredi nekega gozda.",43.3641852505805,44.47524429179567,1.1110590412151709,1
12,"Ko je Rdeča kapica prišla v hosto, je srečala volka.",45.564609497645215,45.51077438186813,-0.05383511577708333,1
13,"Ker ni vedela, kakšna huda zver je to, se ga ni bala.",44.80737654014308,44.891919838036564,0.08454329789348236,1
14,"»Dobro jutro, Rdeča kapica,« jo je nagovoril volk.",45.532477588638194,45.05441365330379,-0.4780639353344043,1
15,"»Dobro jutro, volk.« »Kam pa že tako zgodaj, Rdeča kapica?« »K babici sem namenjena.« »Kaj pa imaš v košarici?« 

»Kos pogače in steklenico vina.",44.83405172413793,44.590596089150544,-0.24345563498738443,1
16,"Včeraj smo pekli, pa naj se babica, ki je bolna in slaba, malo posladka in Pokrepča s tem.« »Rdeča kapica, kje pa stanuje tvoja babica?« »Kakšne četrt ure je še.",44.387692749343834,45.14696795713036,0.7592752077865228,1
17,čisto vgozdt' pod tremi visokimi hrasti je njena hišica.,45.43956066829485,45.49504260102132,0.05548193272646529,1
18,"Okrog je leskovanileja z lešniki, saj jo gotovo poznaš,« mu je razložila Rdeča kapica.",43.42851526761208,45.53272958600183,2.104214318389751,1
19,"»Mhm, ta mlada, rahla stvarcam je pomislil volk sam pri sebi, »to bo masten prigrizek, ki bo še veliko bolje teknil kakor stara.",42.28218183444657,42.72090440124046,0.4387225667938921,1
20,"Lepo zvito se je treba lotiti, pa bom obe pohrustal.« Stopal je nekaj časa vštric Rdeče kapice, nato pa je glasno dejal: »Poglej no, Rdeča kapica, tele lepe cvetke, ki rastejo vsepovsod ob poti.",45.662765625,45.9368125,0.27404687500000335,1
21,Zakaj si jih malo ne ogledaš?,45.012703219888664,45.05150477606275,0.03880155617408576,1
22,"Mislim, da niti ne slišiš, kako milo prepevajo ptičke?",44.96276892875383,44.902591132533196,-0.06017779622063557,1
23,"Tako zamišljeno hodiš po stezi, kakor bi šla v šolo.",44.95104815680166,45.08685423156802,0.1358060747663572,1
24,Pa je vendar vse tako veselo in zanimivo tu v gozdu.« Rdeča kapica je pogledala okrog sebe.,44.755075610246784,45.054289330740346,0.29921372049356165,1
25,"Ko je videla, kako poplesavajo sončni žarki skozi drevje in kako je vseokrog polno lepih cvetic, je pomislila: »Če natrgam šopek cvetlic za babico, jih bo gotovo zelo vesela.",44.71564076513453,44.74839283211883,0.03275206698430111,1
26,Zgodaj je pa še tudi in bom še pravi čas prišla k njej.« Stekla je s poti v gozd in začela trgati cvetlice.,46.3569398174971,45.4243101825029,-0.9326296349941998,1
27,"In ko je katero odtrgala, se ji je zazdelo, da je malo bolj stran še ena lepša.",44.81612019807923,44.98179584333734,0.16567564525810496,1
28,Stekla je k njej in je bila tako čedalje globlje v gozdu.,44.91538038531554,44.97515454338592,0.059774158070382555,1
29,Volk pa jo je medtem ubral naravnost proti babičini hišici.,44.786551684178,44.95580964153276,0.16925795735475901,1
30,"Ko je prišel tja, je potrkal na vrata.",45.28087563051702,45.24432042087011,-0.036555209646913056,1
31,»Kdo pa je zunaj?« je vprašala babica s šibkim glasom.,44.759695512820514,44.99633413461538,0.23663862179486728,1
32,»Rdeča kapica.,45.85835753435864,45.222477298756544,-0.6358802356020945,1
33,"Prinesla sem ti pogače in vina, odpri mi.« »Kar na kljuko pritisni,« je odgovorila babica.",44.116052576013516,44.18646537162162,0.07041279560810665,1
34,"»Preveč sem slaba in ne morem vstati.« Volk je pritisnil na kljuko, vrata so se odprla.",44.60399980304622,44.50349866509104,-0.10050113795518456,1
35,"On pa je šel, ne da bi bil kaj zinil, naravnost k postelji in požrl babico.",44.839117005813954,44.77996400345204,-0.05915300236191712,1
36,"Nato si je oblekel njeno obleko, posadil na glavo njeno čepico, legel v njeno posteljo ter zagrnil zaveso.",44.86538416353383,44.90548343515037,0.04009927161654048,1
37,Rdeča kapica pa je tekala za cvetlicami.,44.51803115399385,44.71099450364823,0.19296334965437723,1
38,"Ko jih je toliko nabrala, da jih ni mogla več nositi, se je spet spomnila babice in odpravila se je k njej.",44.722907455787784,44.93608068729903,0.21317323151124867,1
39,"Začudila se je, da so bila vrata odprta.",44.64626664959017,44.712474385245905,0.06620773565573757,1
