,sentence,with_sentence,without_sentence,difference,label
0,"A shepherd’s dog had a master who took no care of him, but often let him
suffer the greatest hunger.",13.586786858974358,13.503309294871794,-0.08347756410256402,1
1,"At last he could bear it no longer; so he
took to his heels, and off he ran in a very sad and sorrowful mood.",13.63049900110447,13.562538575233887,-0.0679604258705826,1
2,"On the road he met a sparrow that said to him, ‘Why are you so sad,
my friend?’ ‘Because,’ said the dog, ‘I am very very hungry, and have
nothing to eat.’ ‘If that be all,’ answered the sparrow, ‘come with me
into the next town, and I will soon find you plenty of food.’ So on they
went together into the town: and as they passed by a butcher’s shop,
the sparrow said to the dog, ‘Stand there a little while till I peck you
down a piece of meat.’ So the sparrow perched upon the shelf: and having
first looked carefully about her to see if anyone was watching her, she
pecked and scratched at a steak that lay upon the edge of the shelf,
till at last down it fell.",13.455675040251757,13.217008425424472,-0.23866661482728446,1
3,"Then the dog snapped it up, and scrambled
away with it into a corner, where he soon ate it all up.",13.796136973955267,13.641130812242496,-0.15500616171277137,1
4,"‘Well,’ said
the sparrow, ‘you shall have some more if you will; so come with me to
the next shop, and I will peck you down another steak.’ When the dog had
eaten this too, the sparrow said to him, ‘Well, my good friend, have you
had enough now?’ ‘I have had plenty of meat,’ answered he, ‘but I should
like to have a piece of bread to eat after it.’ ‘Come with me then,’
said the sparrow, ‘and you shall soon have that too.’ So she took him
to a baker’s shop, and pecked at two rolls that lay in the window, till
they fell down: and as the dog still wished for more, she took him to
another shop and pecked down some more for him.",13.841230841958598,13.67131518710191,-0.16991565485668758,1
5,"When that was eaten, the
sparrow asked him whether he had had enough now.",13.64477868092992,13.633024395636792,-0.011754285293127609,1
6,"‘Yes,’ said he; ‘and
now let us take a walk a little way out of the town.’ So they both went
out upon the high road; but as the weather was warm, they had not gone
far before the dog said, ‘I am very much tired--I should like to take a
nap.’ ‘Very well,’ answered the sparrow, ‘do so, and in the meantime
I will perch upon that bush.’ So the dog stretched himself out on the
road, and fell fast asleep.",13.509809531363306,13.51288297679478,0.003073445431473587,1
7,"Whilst he slept, there came by a carter with
a cart drawn by three horses, and loaded with two casks of wine.",13.739386765114984,13.705686665430267,-0.03370009968471699,1
8,"The
sparrow, seeing that the carter did not turn out of the way, but would
go on in the track in which the dog lay, so as to drive over him, called
out, ‘Stop!",13.721260523687215,13.739931150114156,0.01867062642694073,1
9,stop!,13.570314039105595,13.612788736209614,0.0424746971040193,1
10,"Mr Carter, or it shall be the worse for you.’ But the
carter, grumbling to himself, ‘You make it the worse for me, indeed!",13.625512193917851,13.697947521721959,0.07243532780410789,1
11,"what can you do?’ cracked his whip, and drove his cart over the poor
dog, so that the wheels crushed him to death.",13.677372626421608,13.683365277213648,0.005992650792039811,1
12,"‘There,’ cried the
sparrow, ‘thou cruel villain, thou hast killed my friend the dog.",13.36984095517887,13.515026225821547,0.14518527064267772,1
13,"Now
mind what I say.",13.625489944899915,13.674189968856474,0.04870002395655959,1
14,"This deed of thine shall cost thee all thou art worth.’
‘Do your worst, and welcome,’ said the brute, ‘what harm can you do me?’
and passed on.",13.416051608022707,13.54644989824336,0.1303982902206524,1
