,sentence,with_sentence,without_sentence,difference,label
0,"Bil je človek, ki je imel tri sinove.",0.6176619529724121,0.6416093111038208,0.02394735813140869,1
1,Najmlajšemu izmed njih so rekli Tepček.,0.6416093111038208,0.5240427255630493,-0.11756658554077148,1
2,Vsi v hiši so ga zaničevali in zasmehovali ter ga ob vsaki priložnosti zapostavljali.,0.31384772062301636,0.05866328999400139,-0.25518443062901497,1
3,"Zgodilo se je, da je hotel iti najstarejši sin v gozd sekat drva.",0.09047847986221313,0.21962814033031464,0.1291496604681015,1
4,"Pred odhodom mu je mati dala kos lepega slastnega kolača iz jajc in masla ter steklenico vina, da ne bi bil lačen in žejen.",0.20422837138175964,0.2557339668273926,0.051505595445632935,1
5,"Ko je prišel v gozd, je srečal starega sivega možička, ki mu je voščil dober dan in dejal: »Daj mi košček kolača iz svojega žepa in dovoli mi požirek vina.",0.10222885012626648,0.08361615240573883,-0.01861269772052765,1
6,"Tako hudo sem lačen in žejen.« »Če ti dam kolača in vina, mi samemu ne ostane nič.",0.04532444104552269,0.13337047398090363,0.08804603293538094,1
7,"Pojdi svojo pot!« je rekel pametni sin, pustil moža na poti in šel dalje.",0.019003821536898613,0.18990477919578552,0.1709009576588869,1
8,"Ko se je nato lotil drevesa, ni dolgo trajalo, da je sekira zgrešila in ga zadela v roko, tako da je moral oditi domov in si obvezati rano.",0.3792935013771057,0.5918298363685608,0.21253633499145508,1
9,Nato je šel drugi sin v gozd.,0.15595555305480957,0.14764297008514404,-0.008312582969665527,1
10,"Mati mu je dala, kakor najstarejšemu sinu, jajčni kolač in steklenico vina.",0.20802608132362366,0.17524228990077972,-0.03278379142284393,1
11,"Ta je prav tako srečal starega sivega možička, ki ga je poprosil za košček kolača in požirek vina.",0.19175390899181366,0.25173646211624146,0.059982553124427795,1
12,"Toda tudi drugi sin je rekel kar pametno: »Kar dam tebi, bom sam pogrešal, pojdi svojo pot!« Pustil je možička na poti in odšel.",0.38836708664894104,0.2497158795595169,-0.13865120708942413,1
13,Kazen pa ni izostala.,0.5899462103843689,0.3508942127227783,-0.23905199766159058,1
14,"Ko je nekajkrat zasekal v deblo, se je usekal v nogo, da so ga morali prenesti domov.",0.2183123230934143,0.22277536988258362,0.0044630467891693115,1
15,"Tedaj je dejal Tepček: »Oče, Pustite mene v gozd sekat drva.« »Tvoja dva brata sta se že poškodovala, nik vtikaj v to, saj ne znaš,« je odgovoril oče.",0.1676512062549591,0.23253534734249115,0.06488414108753204,1
16,"ar se še ti ne Tepček pa je le prosil in prosil, da je oče nazadnje dejal: »Fa pojdi, nesreča te bo že spametovala.« Mati mu je dala kos v pepelu pečenega kolača iz vode in moke in steklenico kislega piva.",0.23868435621261597,0.3696402609348297,0.13095590472221375,1
17,"Ko je prišel v gozd, je srečal starega sivega možička, ki ga je pozdravil in mu je rekel: »Daj mi košček svojega kolača in požirek iz steklenice, tako zelo sem lačen in žejen.« »Toda jaz imam samo pepelnat kolač in kislo pivo, če ti je to prav, lahko sedeva in pojeva,« je odgovoril Tepček.",0.36437416076660156,0.290936678647995,-0.07343748211860657,1
18,"Pa sta sedla in glej, ko je Tepček vzel v roke svoj pepelnati kolač, je bil to slasten jajčni kolač, kislo pivo pa dobro vino.",0.18325158953666687,0.15787294507026672,-0.025378644466400146,1
