,sentence,with_sentence,without_sentence,difference
0,"A certain father had two sons, the elder of who was smart and sensible,
and could do everything, but the younger was stupid and could neither
learn nor understand anything, and when people saw him they said:
‘There’s a fellow who will give his father some trouble!’ When anything
had to be done, it was always the elder who was forced to do it; but
if his father bade him fetch anything when it was late, or in the
night-time, and the way led through the churchyard, or any other dismal
place, he answered: ‘Oh, no father, I’ll not go there, it makes me
shudder!’ for he was afraid.",2.554888986170977,3.1643798828125,0.6094908966415229
1,"Or when stories were told by the fire at
night which made the flesh creep, the listeners sometimes said: ‘Oh,
it makes us shudder!’ The younger sat in a corner and listened with
the rest of them, and could not imagine what they could mean.",2.927395708904901,3.2302691627812887,0.30287345387638753
2,"‘They are
always saying: “It makes me shudder, it makes me shudder!” It does not
make me shudder,’ thought he.",3.011516507056452,3.1268290070564517,0.11531249999999993
3,"‘That, too, must be an art of which I
understand nothing!’

Now it came to pass that his father said to him one day: ‘Hearken to me,
you fellow in the corner there, you are growing tall and strong, and you
too must learn something by which you can earn your bread.",2.84561113754229,3.0890219490073005,0.24341081146501065
4,"Look how your
brother works, but you do not even earn your salt.’ ‘Well, father,’ he
replied, ‘I am quite willing to learn something--indeed, if it could but
be managed, I should like to learn how to shudder.",2.845000076293945,3.149201011657715,0.3042009353637698
5,"I don’t understand
that at all yet.’ The elder brother smiled when he heard that, and
thought to himself: ‘Goodness, what a blockhead that brother of mine is!",2.93758573500209,3.118942617971363,0.18135688296927288
6,He will never be good for anything as long as he lives!,3.0657900457512843,3.1187894638270546,0.052999418075770244
7,"He who wants to
be a sickle must bend himself betimes.’

The father sighed, and answered him: ‘You shall soon learn what it is to
shudder, but you will not earn your bread by that.’

Soon after this the sexton came to the house on a visit, and the father
bewailed his trouble, and told him how his younger son was so backward
in every respect that he knew nothing and learnt nothing.",2.5540637535584887,3.032381235442547,0.4783174818840581
8,"‘Just think,’
said he, ‘when I asked him how he was going to earn his bread, he
actually wanted to learn to shudder.’ ‘If that be all,’ replied the
sexton, ‘he can learn that with me.",2.794071697147869,3.047037929606289,0.25296623245841987
9,"Send him to me, and I will soon
polish him.’ The father was glad to do it, for he thought: ‘It will
train the boy a little.’ The sexton therefore took him into his house,
and he had to ring the church bell.",2.7979444476026507,3.076154871442957,0.2782104238403065
10,"After a day or two, the sexton awoke
him at midnight, and bade him arise and go up into the church tower and
ring the bell.",2.8878252742266413,3.054235469933712,0.16641019570707094
11,"‘You shall soon learn what shuddering is,’ thought he,
and secretly went there before him; and when the boy was at the top of
the tower and turned round, and was just going to take hold of the bell
rope, he saw a white figure standing on the stairs opposite the sounding
hole.",2.6114494275746853,3.0182138119103774,0.40676438433569206
12,"‘Who is there?’ cried he, but the figure made no reply, and did
not move or stir.",2.916634538608467,3.04113206882515,0.1244975302166833
13,"‘Give an answer,’ cried the boy, ‘or take yourself
off, you have no business here at night.’

The sexton, however, remained standing motionless that the boy might
think he was a ghost.",2.744044784672004,2.9544642424780476,0.21041945780604365
14,"The boy cried a second time: ‘What do you want
here?--speak if you are an honest fellow, or I will throw you down the
steps!’ The sexton thought: ‘He can’t mean to be as bad as his words,’
uttered no sound and stood as if he were made of stone.",2.5321522363900635,2.9558515810815273,0.42369934469146386
15,"Then the boy
called to him for the third time, and as that was also to no purpose,
he ran against him and pushed the ghost down the stairs, so that it fell
down the ten steps and remained lying there in a corner.",2.6015469272440845,2.88201803827482,0.28047111103073563
16,"Thereupon he
rang the bell, went home, and without saying a word went to bed, and
fell asleep.",2.8109485572707915,2.880752471740356,0.06980391446956435
17,"The sexton’s wife waited a long time for her husband, but
he did not come back.",2.852810166447038,2.9170466043862953,0.06423643793925704
18,"At length she became uneasy, and wakened the boy,
and asked: ‘Do you know where my husband is?",2.8328615258097165,2.9350724316801617,0.10221090587044523
19,"He climbed up the tower
before you did.’ ‘No, I don’t know,’ replied the boy, ‘but someone was
standing by the sounding hole on the other side of the steps, and as he
would neither give an answer nor go away, I took him for a scoundrel,
and threw him downstairs.",2.616948004756871,2.969274411997886,0.3523264072410148
20,Just go there and you will see if it was he.,2.920112353032178,2.976731706373762,0.05661935334158397
21,"I should be sorry if it were.’ The woman ran away and found her husband,
who was lying moaning in the corner, and had broken his leg.",2.8390551017992425,2.986579663825758,0.14752456202651532
22,"She carried him down, and then with loud screams she hastened to the
boy’s father, ‘Your boy,’ cried she, ‘has been the cause of a great
misfortune!",2.701143916155419,2.950329614807004,0.2491856986515848
