,sentence,with_sentence,without_sentence,difference,label
0,"Bila je nekoč majhna, srčkana deklica, ki jo je vsakdo vzljubil, če ga je le pogledala.",0.5218648910522461,0.7996677756309509,0.27780288457870483,0
1,Najrajši pa jo je imela njena babica.,0.7996677756309509,0.3613298535346985,-0.43833792209625244,0
2,"Ta sploh ni vedela, kaj vse bi ji dala.",0.5872771143913269,0.5276796221733093,-0.05959749221801758,0
3,Nekoč ji je podarila kapico iz rdečega žameta.,0.39178094267845154,0.4082159996032715,0.016435056924819946,0
4,"Ker ji je tako ljubko pristajala in ker tudi sama ni hotela nositi nič drugega več, so ji rekli kar Rdeča kapica.",0.24533917009830475,0.20570823550224304,-0.03963093459606171,1
5,"Nekega dne ji je rekla mama: »Rdeča kapica, na kos pogače in steklenico vina in nesi to naši babici.",0.20525658130645752,0.09956708550453186,-0.10568949580192566,1
6,Babica je bolna in slaba in to ji bo dobro delo.,0.09996574372053146,0.13133125007152557,0.03136550635099411,1
7,Pokrepčalo jo bo.,0.07059583812952042,0.05358625203371048,-0.017009586095809937,0
8,"Le hitro se odpravi, da ne bo prevroče.",0.07449017465114594,0.039107419550418854,-0.03538275510072708,0
9,"In ko prideš v gozd, hodi lepo naravnost in ne tekaj po stranskih stezah, da ne boš padla in razbila steklenice, tako bi babica ničesar ne dobila.",0.07373812794685364,0.18555448949337006,0.11181636154651642,0
10,"In ko vstopiš v sobo, ne pozabi voščiti dobro jutro in ne kukaj prej po vseh kotih in kotičkih.« »Vse bom napravila lepo v redu, kakor je treba,« je rekla Rdeča kapica in dala mami roko.",0.1539430022239685,0.08656109124422073,-0.06738191097974777,0
11,"Babica pa je imela hišico dve uri daleč od vasi, sredi nekega gozda.",0.06719333678483963,0.06884418427944183,0.0016508474946022034,0
12,"Ko je Rdeča kapica prišla v hosto, je srečala volka.",0.16611793637275696,0.14963394403457642,-0.016483992338180542,1
13,"Ker ni vedela, kakšna huda zver je to, se ga ni bala.",0.24746495485305786,0.24816156923770905,0.0006966143846511841,0
