,sentence,with_sentence,without_sentence,difference,label
0,"Hard by a great forest dwelt a poor wood-cutter with his wife and his
two children.",2.281529188156128,2.209963321685791,-0.07156586647033691,1
1,The boy was called Hansel and the girl Gretel.,2.209963321685791,0.9343219995498657,-1.2756413221359253,1
2,"He had
little to bite and to break, and once when great dearth fell on the
land, he could no longer procure even daily bread.",1.2961506843566895,0.10722596198320389,-1.1889247223734856,1
3,"Now when he thought
over this by night in his bed, and tossed about in his anxiety, he
groaned and said to his wife: ‘What is to become of us?",0.16288429498672485,0.09723812341690063,-0.06564617156982422,1
4,"How are we
to feed our poor children, when we no longer have anything even for
ourselves?’ ‘I’ll tell you what, husband,’ answered the woman, ‘early
tomorrow morning we will take the children out into the forest to where
it is the thickest; there we will light a fire for them, and give each
of them one more piece of bread, and then we will go to our work and
leave them alone.",0.0808807834982872,0.07181479781866074,-0.009065985679626465,1
5,"They will not find the way home again, and we shall be
rid of them.’ ‘No, wife,’ said the man, ‘I will not do that; how can I
bear to leave my children alone in the forest?--the wild animals would
soon come and tear them to pieces.’ ‘O, you fool!’ said she, ‘then we
must all four die of hunger, you may as well plane the planks for our
coffins,’ and she left him no peace until he consented.",0.058446865528821945,0.3304523825645447,0.27200551703572273,1
6,"‘But I feel very
sorry for the poor children, all the same,’ said the man.",0.09374744445085526,0.04058412089943886,-0.0531633235514164,1
7,"The two children had also not been able to sleep for hunger, and had
heard what their stepmother had said to their father.",0.052587494254112244,0.1292252093553543,0.07663771510124207,1
8,"Gretel wept
bitter tears, and said to Hansel: ‘Now all is over with us.’ ‘Be quiet,
Gretel,’ said Hansel, ‘do not distress yourself, I will soon find a way
to help us.’ And when the old folks had fallen asleep, he got up, put
on his little coat, opened the door below, and crept outside.",0.09946499764919281,0.06983962655067444,-0.02962537109851837,1
9,"The moon
shone brightly, and the white pebbles which lay in front of the house
glittered like real silver pennies.",0.07252683490514755,0.05867239832878113,-0.013854436576366425,1
10,"Hansel stooped and stuffed the
little pocket of his coat with as many as he could get in.",0.05855423957109451,0.10261397063732147,0.04405973106622696,1
11,"Then he went
back and said to Gretel: ‘Be comforted, dear little sister, and sleep in
peace, God will not forsake us,’ and he lay down again in his bed.",0.09507609158754349,0.07250898331403732,-0.022567108273506165,1
12,"When
day dawned, but before the sun had risen, the woman came and awoke the
two children, saying: ‘Get up, you sluggards!",0.09795153141021729,0.09405815601348877,-0.0038933753967285156,1
13,"we are going into the
forest to fetch wood.’ She gave each a little piece of bread, and said:
‘There is something for your dinner, but do not eat it up before then,
for you will get nothing else.’ Gretel took the bread under her apron,
as Hansel had the pebbles in his pocket.",0.06990988552570343,0.1410648077726364,0.07115492224693298,1
14,"Then they all set out together
on the way to the forest.",0.08343664556741714,0.09583815932273865,0.012401513755321503,1
15,"When they had walked a short time, Hansel
stood still and peeped back at the house, and did so again and again.",0.06825067102909088,0.07793062180280685,0.009679950773715973,1
16,"His father said: ‘Hansel, what are you looking at there and staying
behind for?",0.10037221759557724,0.40464016795158386,0.3042679503560066,1
17,"Pay attention, and do not forget how to use your legs.’ ‘Ah,
father,’ said Hansel, ‘I am looking at my little white cat, which is
sitting up on the roof, and wants to say goodbye to me.’ The wife said:
‘Fool, that is not your little cat, that is the morning sun which is
shining on the chimneys.’ Hansel, however, had not been looking back at
the cat, but had been constantly throwing one of the white pebble-stones
out of his pocket on the road.",0.13433417677879333,0.034836672246456146,-0.09949750453233719,1
18,"When they had reached the middle of the forest, the father said: ‘Now,
children, pile up some wood, and I will light a fire that you may not
be cold.’ Hansel and Gretel gathered brushwood together, as high as a
little hill.",0.049749575555324554,0.06524340808391571,0.015493832528591156,1
19,"The brushwood was lighted, and when the flames were burning
very high, the woman said: ‘Now, children, lay yourselves down by the
fire and rest, we will go into the forest and cut some wood.",0.08269381523132324,0.9772440791130066,0.8945502638816833,1
20,"When we
have done, we will come back and fetch you away.’

Hansel and Gretel sat by the fire, and when noon came, each ate a little
piece of bread, and as they heard the strokes of the wood-axe they
believed that their father was near.",0.844785213470459,0.0699671283364296,-0.7748180851340294,1
21,"It was not the axe, however, but
a branch which he had fastened to a withered tree which the wind was
blowing backwards and forwards.",0.14215008914470673,0.09745994210243225,-0.044690147042274475,1
22,"And as they had been sitting such a long
time, their eyes closed with fatigue, and they fell fast asleep.",0.6533141732215881,0.4186599552631378,-0.23465421795845032,1
23,"When
at last they awoke, it was already dark night.",0.13381260633468628,1.6095309257507324,1.4757183194160461,1
24,"Gretel began to cry and
said: ‘How are we to get out of the forest now?’ But Hansel comforted
her and said: ‘Just wait a little, until the moon has risen, and then we
will soon find the way.’ And when the full moon had risen, Hansel took
his little sister by the hand, and followed the pebbles which shone like
newly-coined silver pieces, and showed them the way.",0.07819104939699173,0.11393115669488907,0.03574010729789734,1
25,"They walked the whole night long, and by break of day came once more
to their father’s house.",0.10147067159414291,0.4663865566253662,0.3649158850312233,1
26,"They knocked at the door, and when the woman
opened it and saw that it was Hansel and Gretel, she said: ‘You naughty
children, why have you slept so long in the forest?--we thought you were
never coming back at all!’ The father, however, rejoiced, for it had cut
him to the heart to leave them behind alone.",0.07442279160022736,0.07401680946350098,-0.0004059821367263794,1
