,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč reven je mlinar v kraljestvu živel, zelo lepo hčerko on je imel.",3.26975341796875,3.26232470703125,-0.007428710937499972,0
1,"Zgodilo se je, da mu šlo je za preživetje, zato stopil je pred kralja in si skušal rešit življenje.",3.277257486979167,3.349801557491987,0.07254407051282019,0
2,"Rekel je kralju, pobahal se mu, “hči moja je predilja, iz slame sprede vam zlato.",3.2675208478470013,3.312373005407378,0.04485215756037686,1
3,"Kralju zasvetile so se oči “pripelji mi hčerko, tu ostane preko noči, da dokaže, če res vredno je znanje moje krvi.",3.228580021123004,3.2806097358333908,0.052029714710386976,0
4,"Dekle so privedli pred kralja in jo odpeljali v sobo precej polno slame, dali so ji kolovrat in vreteno in rekli “Loti se dela, če do jutra ne spredeš te slame v zlato, boš morala plačati s svojim življenjem.",3.0594603335122925,3.183304657416321,0.12384432390402855,1
5,Tako je sam kralj sobo zaklenil in pustil dekle v samoti.,3.327869493698987,3.335974204737253,0.008104711038265933,0
6,"Uboga mlinarjeva hči ni vedela, kaj naj stori, ni vedela, kako se slamo lahko v zlato spremeni in vedno bolj jo je skrbelo, da ne bo več dočakala kaj dosti dni, tako ji je od vsega hudega po licu spolzela solzica.",3.1827936333397773,3.276691472525895,0.0938978391861176,0
7,"In tako na lepem vrata se odpro in skoznje pristopical je mali možiček, postavil se pred njo: “Dober večer, mlinarjeva gospodična, zakaj jočete tako?”",3.309222471366808,3.33179595566325,0.022573484296442015,1
8,"“Vidiš” rekla je gospodična “spresti moram slamo v zlato in ne vem, kako.”",3.346482083258501,3.3593826781135254,0.012900594855024483,0
9,“Kaj mi daš” je rekel možic “če jaz to zate storil bi?”,3.3700962405232984,3.381081485183987,0.010985244660688842,0
10,“Dala bi ti svojo ogrlico” rekla je mlinarjeva hči.,3.4020308364192475,3.407003538742413,0.004972702323165379,1
11,"Možic ogrlico je vzel, se posedel pred kolovrat in ga zavrtel, vroom, vroom, vroom, trije obrati in vreteno svetlikalo se je v barvi zlati, potem lotil se dela je spet, vroom, vroom, vroom, ga trikrat zavrtel in dosegel zlati lesk.",3.2354854890669897,3.3220585088620247,0.08657301979503496,0
12,"Vrtel ga je vse tja do jutra, dokler vse slame spredel ni in vsa vretena napolnil z zlatom, ki svetilo se je v jutranji temi.",3.3899154869962627,3.413397794309485,0.023482307313222428,0
13,"Ko vzšlo je sonce, je kralj že prišel in presenečeno zrl nad zlatom, ki ga je našel, njegovo pohlepno srce pa ni imelo dovolj.",3.432635491126789,3.454791944854113,0.022156453727324,0
14,"Mlinarjevo hči odpeljal je v drugo sobo polno slame, bilo je slame še veliko več in če ji je bilo kaj do življenja spet do jutra morala je kolovrat vrtet.",3.4344077018628574,3.4799498305161474,0.04554212865328999,0
15,"Dekle ni vedelo, kaj ji je storiti, zato je jokala in vrata so zopet se odprla z malim možicem med njimi “Kaj dala mi boš tokrat, da slamo spremenim v zlate niti?”",3.390432657289111,3.4650854946168,0.07465283732768935,0
16,"“Prstan, ki se bohoti mi na prstu,” reklo je dekle.",3.5016907677063154,3.5237771670583466,0.022086399352031272,1
17,"Mali mož vzel je prstan in zavrtel je staro kolo, do jutra spremenil vso slamo je zopet v svetlikajoče se zlato.",3.4890325568864577,3.5090635228471525,0.020030965960694758,0
18,"Kralj navdušen nad obsegom zlata, še vedno ni zadovoljil željo svojega srca in zopet odpeljal je mlinarjevo hči v sobo kjer slame je bilo za tri noči: “Tudi to slamo v zlato čez noč spremeni, če uspe ti, pa takrat s tabo kralj se oženi.”",3.272338692455716,3.3676417219930226,0.09530302953730674,0
19,"Čeravno bila je le mlinarjeva hči, menil je, da je bogatejše nikoli ne dobi.",3.451618710820546,3.4813069905111655,0.029688279690619712,0
20,"Ko ostala je sama, je možic spet prišel in rekel ji je:”Kaj daš mi, dekle, da bom kolovrat zavrtel?”",3.421802016162368,3.4743517414659997,0.05254972530363178,0
21,"“Ničesar več nimam, kar dala bi ti,” odgovori dekle in zajoče v dlani.",3.4510545543323867,3.4987584339488635,0.04770387961647682,0
22,"“Potem pa mi obljubi, če postala boš kraljica, da prvorojenec bo moja pravica.”",3.48723827063519,3.5052607740319295,0.01802250339673961,1
23,"Mlinarjeva hči niti vedela ni, če res s kraljem se na koncu omoži, zato zavoljo lastnega življenja, obljubila je možicu pravico do otroka in odstopila pot mu do prvega vretena, tako spet slamo preko noči mali možic v zlato spremeni.",3.265728374859234,3.3652321966836127,0.09950382182437867,0
24,"In ko tako se kralj vrnil je zjutraj in našel tisto, kar si želelo je njegovo srce, poročil je dekle in kraljico napravil iz nje.",3.411331861241144,3.4391429972166,0.027811135975456036,1
25,"Po letu dni se čudovit otrok ji rodi, pozabila je, kaj mali možic si želi.",3.4173689223865966,3.4484688694276104,0.03109994704101382,0
26,"In tako, kar iz nič je stopil pred njo: “Izpolni obljubo, ki si jo dala za zlato.”",3.3801527997842062,3.427963272723417,0.04781047293921059,0
27,"Kraljica se stresla je od silne groze, možicu ponudila bogastvo je in pol.",3.400329747105819,3.4356935568262643,0.03536380972044517,1
28,"Če le pustil bi otroka v njenem naročju, bi odnesel vse, kar v lasti kralj je imel.",3.3969706485978426,3.4534092936681553,0.05643864507031271,0
29,A možic se ni dal: “Nekaj živega je vredno več kot bogastvo vsega sveta.”,3.447333408703472,3.4737268746373515,0.02639346593387959,0
30,"Kraljica je jokala in na kolenih prosila, smilila se je možicu, tako ga je ganila.",3.421356566092859,3.4689859341461218,0.04762936805326268,0
31,"“Dam ti nič več kot tri dni časa,” je rekel možic “da moje ime v teh dneh ugotoviš, ako to ti do takrat ne uspe, otrok je moj in nikar ne trudi se.”",3.334155799378263,3.4165600185648106,0.0824042191865475,1
32,"Tako kraljica je razmišljala vso noč o imenih, kar jih je čula in trudila se na vso moč, poslala je sla preko širne dežele, da vrnil bi se z imenom, ki bilo bi njegovo.",3.4089450078253285,3.4922597299459928,0.08331472212066426,0
33,"Ko prišel je dan in z njim mali možic,  naštevala je vse od Gašperja, Matjaža, Baltazarja do zadnjega kar jih pozna, a vsakemu sledil je odgovor: “Glej, imena mojega ona ne ve” in možic zadovoljno nasmihal se je.",3.404592501062926,3.5095575827987444,0.10496508173581853,0
34,"Drugi dan je imela seznam imen vseh čudnih sosednjih kraljevin, bolj bila so nenavadna, bolj verjetno se ji je zdelo, da pravi končno med njimi tiči.",3.4185503170299514,3.4553264124314502,0.03677609540149884,0
35,"Tako možicu malemu je brala Malireberc, Ovčjerepec, Bolhonogec in odgovor, ki sledi ostajal je enak: “Ne, tako pa ime meni ni.”",3.3562817925712816,3.4040706829883343,0.0477888904170527,0
36,"Tretji dan se vrnil je vdan vitez na konju in rekel ji je: “Imena vam novega žal ne prinašam, a ko sem se bližal visokim goram, ob koncu gozda zagledal sem konja, poleg pa ogenj in hišico malo, okoli ognja je plesal prav smešno majhen možic in pel si je pesem, nekako takole:",3.1609209763606847,3.3162658784839323,0.15534490212324759,0
37,"Danes bom pekel, jutri varil,naslednji dan kraljevega otroka dobil,oh, kako v zadovoljstvo mi je,ko nihče ne ve, da mi Špicparkeljc je ime.”",3.2497531278633773,3.3489716062820496,0.09921847841867226,1
38,"Lahko si le mislite kako vesela bila je kraljica ob imenu novem, ki ga slišala je.",3.358736832936605,3.3711453367162636,0.01240850377965863,0
39,"In kmalu mali možic pojavi se v sobi in zopet jo vpraša: “Draga kraljica, kako mi je ime?”",3.6615511255771835,3.687042685116038,0.025491559538854514,0
40,Sprva mu reče “Je Cene tvoje ime?”,3.6604997616722463,3.6555654471261154,-0.0049343145461309135,0
41,“Ne.”,3.7314049758708765,3.7264123891329577,-0.004992586737918803,0
42,“Mogoče si Jani?”,3.7089178516018766,3.699289916664042,-0.009627934937834759,0
43,“Ne.”,3.4124200515444834,3.4069040122515206,-0.005516039292962738,0
44,“Mogoče pa je tvoje ime Špicparkeljc?”,3.4743139478895397,3.4752068872804998,0.0008929393909600236,1
45,“To ti povedal sam je hudič!“,3.551353121912757,3.551239346348962,-0.00011377556379477127,0
46,"Zajokal mali je možic in v svojem besu z desno nogo ob tla udaril tako močno, da potegnilo mu nogo je v zemljo.",3.535080438372732,3.5586983930852845,0.023617954712552347,0
47,"Ko jo je hotel izvleči, se razklal je na pol in končal coprnijo, otrok zdaj nikoli ne bo njegov.",5.570702974724048,5.54830080090147,-0.022402173822578142,1
