,label,sentence
0,1,"Nekoč je živel mož, ki je imel tri sinove."
1,1,Najmlajšemu je bilo ime Bučko in celotna družina se je do njega ves čas vedla zelo grdo.
2,1,"Nekega dne se je najstarejši sin odločil, da gre v gozd sekat drevje; mama mu je zato dala okusno mesno pito in steklenico vina za seboj, da bi mu lahko vrnilo potrebno energijo."
3,1,"Ko je bil na poti v gozd, je srečal starčka, ki mu je zaželel dober dan in ga prosil »bi mi lahko odstopil nekaj mesne pite in nekaj malega vina iz tvoje steklenice; zelo sem lačen in žejen«."
4,1,A premeteni fant je rekel »Da bi ti dal svojo pito in vino!
5,1,"Ne, hvala."
6,1,Tako zame ne bi ostalo dovolj.« in odpravil se je naprej.
7,1,"Kmalu se je lotil sekanja prvega drevesa; ampak ni se dolgo trudil preden je zgrešil in se ranil, zato je moral domov, da bi mu rano oskrbeli."
8,1,Naslednji je bil za delo na vrsti srednji sin; tudi njemu je mama dala steklenico vina in mesno pito.
9,1,Tudi njega je srečal mali starček in ga prosil za nekaj hrane in pijače.
10,1,"In tudi on mu je rekel »karkoli ti dam, potem ne bom imel sam, zato se le umakni!« Stari mali mož se je prepričal, da je tudi ta sin dobil svojo nagrado in ob drugem zamahu s sekiro je zadel svojo nogo in tudi on je moral domov."
11,1,"Nato je Bučko rekel »Oče, tudi sam bi rad poskusil posekati drevo«."
12,1,"A oče mu je odgovoril »tvoja brata sta se oba poškodovala, bolje bo da ostaneš doma, saj ti o delu nimaš pojma.«

Ampak Bučko ni odnehal in končno si je oče le premislil »Pa pojdi, pametnejši boš, ko jih boš skupil zaradi svoje neumnosti.« Mama mu je dala le nekaj suhega kruha in steklenico grenkega piva; ko pa je prišel do gozda, je takoj srečal malega starega moža, ki mu je rekel »Daj mi nekaj hrane in pijače, res sem lačen in žejen.«

Bučko je odvrnil »ničesar drugega nimam kot star posušen kruh in grenko pivo; če ti to zadošča, se bova usedla in pojedla skupaj«."
13,1,Tako sta se usedla in ko je mladenič vzel kruh iz svoje torbe se je ta nemudoma spremenil v čudovito mesno pito in njegovo grenko pivo v okusno vino.
14,1,"Veselo sta jedla in pila, ko sta končala je mali mož rekel »ker si dobrega srca in si bil pripravljen z menoj deliti vse, kar si imel, ti bom prinesel dobro."
15,1,Tamle stoji staro drevo; posekaj ga in v njegovih koreninah te čaka presenečenje« poslovil se je in odšel na pot.
16,1,"Bučko se je lotil dela in posekal drevo; ko je drevo padlo, je v luknji pod njegovimi koreninami odkril gos, ki je imela zlata peresa."
17,1,"Vzel jih je in se odpravil v gostilno, kjer je nameraval preživeti noč."
18,1,"Gospodar je imel tri hčerke in ko so zagledali njegovo gos, jih je zanimalo kakšna je ta čudovita ptica in se trudili, da bi ji izpulili kakšno pero iz njenega repa."
19,1,Nazadnje pa je najstarejša rekla »Moram in dobila bom eno pero«.
20,1,"Zato je počakala, da jim je obrnil hrbet in gos prijela za krilo in na njeno presenečenje se je nanjo prilepila, ni mogla odmakniti ne roke, niti enega samega prsta."
21,1,"Kmalu je prišla druga sestra in prav tako hotela imeti pero, a se je v trenutku, ko se je dotaknila svoje sestre, tudi ona prilepila nanjo."
22,1,Na koncu pa je prišla še tretja in si želela peresa.
23,1,Drugi dve sestri sta zaječali »Ne hodi blizu!
24,1,"Lepo te prosiva, pojdi stran!« kakorkoli, ni razumela kaj sta ji hoteli povedati »Če sta že onidve tam« si je mislila »sem lahko tudi jaz« in jima šla naproti."
25,1,"In v trenutku, ko se jih je dotaknila, se je tudi ona zalepila na gosko, tako kot njeni sestri, zato so morale spati poleg nje celo noč."
26,1,"Naslednje jutro je Bučko odnesel gos v svojih rokah in se ni prav nič menil za tri dekleta, z njimi vred je odšel ven in kamorkoli je šel, so mu morale slediti, če so hotele ali ne so morale teči za njim kolikor hitro so jih nesle noge."
27,1,"Na sredi njive so srečali župnika in ko je videl to prigodo je rekel »Kaj vas ni sram, ve drzna dekleta, da tako tekate za mladeničem skozi njive?"
28,1,"Mar je to primerno obnašanje?«

Prijel se je najmlajše, da bi jo odvlekel stran, a se je v trenutku procesiji pridružil tudi sam."
29,1,"Takrat je mimo prišel uradnik in ko je videl svojega gospoda, župnika, kako teče za tremi dekleti, je bil močno presenečen in rekel »pozdravljen!"
30,1,Pozdravljen!
31,1,Vaša častitost!
32,1,Kam pa greste tako hitro?
33,1,"Danes morate še krstiti.«

Stekel je za njimi in se tudi sam ujel v procesijo."
34,1,"Ko se jih je tako pet opotekalo eden za drugim, so naleteli na dva delavca s svojim orodjem, ki sta se vračala z dela; župnik jih je poklical, da bi ga rešila."
35,1,"Ampak komaj sta se ga dotaknila, sta se vsem skupaj pridružila še ta dva in tako jih je že sedem teklo za Bučkom in njegovo gosjo."
36,1,"Končno so prispeli do mesta, v katerem je vladal kralj z edino hčerko."
37,1,"Princesa je bila tako premišljena in resna, da je nikomur ni uspelo spraviti v smeh."
38,1,"Kralj je tako razglasil celemu svetu, da bo njeno roko dal tistemu, ki jo bo uspel nasmejati."
39,1,"Ko je to slišal mladenič, se je odpravil k njej s svojo gosjo in zasledovalci."
40,1,"In ko je zagledala vseh sedem viseti skupaj in teči naokoli, drug drugemu stopati po stopalih si ni mogla pomagati in je bruhnila v smeh."
41,1,"Tako jo je Bučko dobil za ženo; priredili so poroko in Bučko je postal prestolonaslednik, živel je dolgo in srečno življenje s svojo ženo."
