,sentence,with_sentence,without_sentence,difference
0,"There was a man who had three sons, the youngest of whom was called
Dummling,[*] and was despised, mocked, and sneered at on every occasion.",2.7493161583914976,2.737227355647208,-0.012088802744289584
1,"It happened that the eldest wanted to go into the forest to hew wood,
and before he went his mother gave him a beautiful sweet cake and a
bottle of wine in order that he might not suffer from hunger or thirst.",2.6641712677784457,2.7665555252988114,0.10238425752036573
2,"When he entered the forest he met a little grey-haired old man who bade
him good day, and said: ‘Do give me a piece of cake out of your pocket,
and let me have a draught of your wine; I am so hungry and thirsty.’ But
the clever son answered: ‘If I give you my cake and wine, I shall have
none for myself; be off with you,’ and he left the little man standing
and went on.",2.2519486798625703,2.539156385210334,0.28720770534776374
3,"But when he began to hew down a tree, it was not long before he made a
false stroke, and the axe cut him in the arm, so that he had to go home
and have it bound up.",2.768912339573584,2.8111600924264355,0.04224775285285132
4,And this was the little grey man’s doing.,2.917408425185724,2.922805825561208,0.005397400375484196
5,"After this the second son went into the forest, and his mother gave him,
like the eldest, a cake and a bottle of wine.",2.880087459788603,2.9121017592051026,0.0320142994164998
6,"The little old grey man
met him likewise, and asked him for a piece of cake and a drink of wine.",2.920552146086659,2.9340655320068936,0.013513385920234544
7,"But the second son, too, said sensibly enough: ‘What I give you will be
taken away from myself; be off!’ and he left the little man standing and
went on.",2.895560350516698,2.918901406855844,0.02334105633914607
8,"His punishment, however, was not delayed; when he had made a
few blows at the tree he struck himself in the leg, so that he had to be
carried home.",2.9490936326906203,2.9691820599256262,0.020088427235005923
9,"Then Dummling said: ‘Father, do let me go and cut wood.’ The father
answered: ‘Your brothers have hurt themselves with it, leave it alone,
you do not understand anything about it.’ But Dummling begged so long
that at last he said: ‘Just go then, you will get wiser by hurting
yourself.’ His mother gave him a cake made with water and baked in the
cinders, and with it a bottle of sour beer.",2.6511489349941035,2.7482986162293632,0.09714968123525969
10,"When he came to the forest the little old grey man met him likewise,
and greeting him, said: ‘Give me a piece of your cake and a drink out
of your bottle; I am so hungry and thirsty.’ Dummling answered: ‘I have
only cinder-cake and sour beer; if that pleases you, we will sit
down and eat.’ So they sat down, and when Dummling pulled out his
cinder-cake, it was a fine sweet cake, and the sour beer had become good
wine.",2.5644025119772285,2.6873973499644888,0.1229948379872603
11,"So they ate and drank, and after that the little man said: ‘Since
you have a good heart, and are willing to divide what you have, I will
give you good luck.",2.9722978560650937,3.003103287493596,0.030805431428502228
12,"There stands an old tree, cut it down, and you will
find something at the roots.’ Then the little man took leave of him.",2.9796114579473207,3.006040832929036,0.02642937498171527
13,"Dummling went and cut down the tree, and when it fell there was a goose
sitting in the roots with feathers of pure gold.",2.9573925618536747,3.0073914794568144,0.04999891760313968
