,sentence,with_sentence,without_sentence,difference,label
0,"There was a man who had three sons, the youngest of whom was called
Dummling,[*] and was despised, mocked, and sneered at on every occasion.",1.8731027841567993,0.984652042388916,-0.8884507417678833,1
1,"It happened that the eldest wanted to go into the forest to hew wood,
and before he went his mother gave him a beautiful sweet cake and a
bottle of wine in order that he might not suffer from hunger or thirst.",0.984652042388916,2.163461685180664,1.178809642791748,1
2,"When he entered the forest he met a little grey-haired old man who bade
him good day, and said: ‘Do give me a piece of cake out of your pocket,
and let me have a draught of your wine; I am so hungry and thirsty.’ But
the clever son answered: ‘If I give you my cake and wine, I shall have
none for myself; be off with you,’ and he left the little man standing
and went on.",1.223588228225708,1.593004822731018,0.36941659450531006,1
3,"But when he began to hew down a tree, it was not long before he made a
false stroke, and the axe cut him in the arm, so that he had to go home
and have it bound up.",0.780375063419342,1.0567259788513184,0.2763509154319763,1
4,And this was the little grey man’s doing.,0.46590662002563477,0.23133118450641632,-0.23457543551921844,1
5,"After this the second son went into the forest, and his mother gave him,
like the eldest, a cake and a bottle of wine.",0.6971352696418762,0.25184303522109985,-0.44529223442077637,1
6,"The little old grey man
met him likewise, and asked him for a piece of cake and a drink of wine.",0.08850506693124771,0.06373661011457443,-0.02476845681667328,1
7,"But the second son, too, said sensibly enough: ‘What I give you will be
taken away from myself; be off!’ and he left the little man standing and
went on.",0.09028004854917526,0.05228082463145256,-0.0379992239177227,1
8,"His punishment, however, was not delayed; when he had made a
few blows at the tree he struck himself in the leg, so that he had to be
carried home.",0.06400265544652939,0.12396910041570663,0.059966444969177246,1
9,"Then Dummling said: ‘Father, do let me go and cut wood.’ The father
answered: ‘Your brothers have hurt themselves with it, leave it alone,
you do not understand anything about it.’ But Dummling begged so long
that at last he said: ‘Just go then, you will get wiser by hurting
yourself.’ His mother gave him a cake made with water and baked in the
cinders, and with it a bottle of sour beer.",0.08797038346529007,0.08265792578458786,-0.0053124576807022095,1
10,"When he came to the forest the little old grey man met him likewise,
and greeting him, said: ‘Give me a piece of your cake and a drink out
of your bottle; I am so hungry and thirsty.’ Dummling answered: ‘I have
only cinder-cake and sour beer; if that pleases you, we will sit
down and eat.’ So they sat down, and when Dummling pulled out his
cinder-cake, it was a fine sweet cake, and the sour beer had become good
wine.",0.21130290627479553,0.06815468519926071,-0.14314822107553482,1
11,"So they ate and drank, and after that the little man said: ‘Since
you have a good heart, and are willing to divide what you have, I will
give you good luck.",0.10892722010612488,0.1871650516986847,0.07823783159255981,1
12,"There stands an old tree, cut it down, and you will
find something at the roots.’ Then the little man took leave of him.",0.09449295699596405,0.057786840945482254,-0.036706116050481796,1
13,"Dummling went and cut down the tree, and when it fell there was a goose
sitting in the roots with feathers of pure gold.",0.0558038093149662,0.07103396952152252,0.01523016020655632,1
14,"He lifted her up, and
taking her with him, went to an inn where he thought he would stay the
night.",0.13274924457073212,0.12158878892660141,-0.011160455644130707,1
15,"Now the host had three daughters, who saw the goose and were
curious to know what such a wonderful bird might be, and would have
liked to have one of its golden feathers.",0.10170523077249527,0.08186103403568268,-0.01984419673681259,1
16,"The eldest thought: ‘I shall soon find an opportunity of pulling out a
feather,’ and as soon as Dummling had gone out she seized the goose by
the wing, but her finger and hand remained sticking fast to it.",0.1323874592781067,0.21129316091537476,0.07890570163726807,1
17,"The second came soon afterwards, thinking only of how she might get a
feather for herself, but she had scarcely touched her sister than she
was held fast.",0.09790386259555817,0.2856813967227936,0.1877775341272354,1
18,"At last the third also came with the like intent, and the others
screamed out: ‘Keep away; for goodness’ sake keep away!’ But she did
not understand why she was to keep away.",0.147932231426239,0.08629047870635986,-0.06164175271987915,1
19,"‘The others are there,’ she
thought, ‘I may as well be there too,’ and ran to them; but as soon as
she had touched her sister, she remained sticking fast to her.",0.08342479914426804,0.08894043415784836,0.005515635013580322,1
20,"So they
had to spend the night with the goose.",0.1167818158864975,0.07914243638515472,-0.03763937950134277,1
21,"The next morning Dummling took the goose under his arm and set out,
without troubling himself about the three girls who were hanging on to
it.",0.05349981039762497,0.07741981744766235,0.023920007050037384,1
22,"They were obliged to run after him continually, now left, now right,
wherever his legs took him.",0.09033603221178055,0.0915643572807312,0.001228325068950653,1
23,"In the middle of the fields the parson met them, and when he saw the
procession he said: ‘For shame, you good-for-nothing girls, why are you
running across the fields after this young man?",0.13994693756103516,0.09220290184020996,-0.047744035720825195,1
24,"Is that seemly?’ At the
same time he seized the youngest by the hand in order to pull her away,
but as soon as he touched her he likewise stuck fast, and was himself
obliged to run behind.",0.13039906322956085,0.15303248167037964,0.022633418440818787,1
25,"Before long the sexton came by and saw his master, the parson, running
behind three girls.",0.1928340494632721,0.16386501491069794,-0.028969034552574158,1
26,He was astonished at this and called out: ‘Hi!,0.13327564299106598,0.10683726519346237,-0.026438377797603607,1
27,"your reverence, whither away so quickly?",0.12324050813913345,0.21577134728431702,0.09253083914518356,1
28,"Do not forget that we have a
christening today!’ and running after him he took him by the sleeve, but
was also held fast to it.",0.14440888166427612,0.5716477036476135,0.4272388219833374,1
29,"Whilst the five were trotting thus one behind the other, two labourers
came with their hoes from the fields; the parson called out to them
and begged that they would set him and the sexton free.",0.19999609887599945,0.10587327182292938,-0.09412282705307007,1
30,"But they had
scarcely touched the sexton when they were held fast, and now there were
seven of them running behind Dummling and the goose.",0.09553494304418564,0.12389612197875977,0.028361178934574127,1
31,"Soon afterwards he came to a city, where a king ruled who had a daughter
who was so serious that no one could make her laugh.",0.2509361505508423,0.1710139811038971,-0.07992216944694519,1
32,"So he had put forth
a decree that whosoever should be able to make her laugh should marry
her.",0.06753480434417725,0.06010546535253525,-0.007429338991641998,1
33,"When Dummling heard this, he went with his goose and all her train
before the king’s daughter, and as soon as she saw the seven people
running on and on, one behind the other, she began to laugh quite
loudly, and as if she would never stop.",0.04598909616470337,0.05501003563404083,0.009020939469337463,1
34,"Thereupon Dummling asked to have
her for his wife; but the king did not like the son-in-law, and made all
manner of excuses and said he must first produce a man who could drink
a cellarful of wine.",0.03797278553247452,0.06825367361307144,0.030280888080596924,1
35,"Dummling thought of the little grey man, who could
certainly help him; so he went into the forest, and in the same place
where he had felled the tree, he saw a man sitting, who had a very
sorrowful face.",0.07169274985790253,0.4258468449115753,0.3541540950536728,1
36,"Dummling asked him what he was taking to heart so
sorely, and he answered: ‘I have such a great thirst and cannot quench
it; cold water I cannot stand, a barrel of wine I have just emptied, but
that to me is like a drop on a hot stone!’

‘There, I can help you,’ said Dummling, ‘just come with me and you shall
be satisfied.’

He led him into the king’s cellar, and the man bent over the huge
barrels, and drank and drank till his loins hurt, and before the day was
out he had emptied all the barrels.",0.08247396349906921,0.03291149437427521,-0.049562469124794006,1
37,"Then Dummling asked once more
for his bride, but the king was vexed that such an ugly fellow, whom
everyone called Dummling, should take away his daughter, and he made a
new condition; he must first find a man who could eat a whole mountain
of bread.",0.02368549071252346,0.04854939877986908,0.02486390806734562,1
38,"Dummling did not think long, but went straight into the
forest, where in the same place there sat a man who was tying up his
body with a strap, and making an awful face, and saying: ‘I have eaten a
whole ovenful of rolls, but what good is that when one has such a hunger
as I?",0.03830280154943466,0.0372028574347496,-0.0010999441146850586,1
39,"My stomach remains empty, and I must tie myself up if I am not to
die of hunger.’

At this Dummling was glad, and said: ‘Get up and come with me; you shall
eat yourself full.’ He led him to the king’s palace where all the
flour in the whole Kingdom was collected, and from it he caused a huge
mountain of bread to be baked.",0.018629930913448334,0.025829141959547997,0.007199211046099663,1
40,"The man from the forest stood before it,
began to eat, and by the end of one day the whole mountain had vanished.",0.04795394092798233,0.03517647087574005,-0.012777470052242279,1
41,"Then Dummling for the third time asked for his bride; but the king again
sought a way out, and ordered a ship which could sail on land and on
water.",0.13056562840938568,0.2749270498752594,0.14436142146587372,1
42,"‘As soon as you come sailing back in it,’ said he, ‘you shall
have my daughter for wife.’

Dummling went straight into the forest, and there sat the little grey
man to whom he had given his cake.",1.6182000637054443,1.7452030181884766,0.12700295448303223,1
43,"When he heard what Dummling wanted,
he said: ‘Since you have given me to eat and to drink, I will give you
the ship; and I do all this because you once were kind to me.’ Then he
gave him the ship which could sail on land and water, and when the king
saw that, he could no longer prevent him from having his daughter.",1.0821709632873535,2.0234527587890625,0.941281795501709,1
44,"The
wedding was celebrated, and after the king’s death, Dummling inherited
his kingdom and lived for a long time contentedly with his wife.",0.6101115942001343,1.746254324913025,1.1361427307128906,1
