,sentence,with_sentence,without_sentence,difference
0,"There was once a man who had seven sons, and last of all one daughter.",2.915769542898857,2.911975413146123,-0.0037941297527339657
1,"Although the little girl was very pretty, she was so weak and small that
they thought she could not live; but they said she should at once be
christened.",2.8556900890496,2.942011184613648,0.08632109556404766
2,"So the father sent one of his sons in haste to the spring to get some
water, but the other six ran with him.",2.8525182382282743,2.9379196221448964,0.08540138391662211
3,"Each wanted to be first at
drawing the water, and so they were in such a hurry that all let their
pitchers fall into the well, and they stood very foolishly looking at
one another, and did not know what to do, for none dared go home.",2.7171747837690248,2.862198099611577,0.14502331584255224
4,"In the
meantime the father was uneasy, and could not tell what made the
young men stay so long.",2.853249917181979,2.914262816088781,0.06101289890680173
5,"‘Surely,’ said he, ‘the whole seven must have
forgotten themselves over some game of play’; and when he had waited
still longer and they yet did not come, he flew into a rage and wished
them all turned into ravens.",2.6387975012516907,2.7395095221955628,0.1007120209438721
6,"Scarcely had he spoken these words when he
heard a croaking over his head, and looked up and saw seven ravens as
black as coal flying round and round.",2.743038983171394,2.8067943583683475,0.06375537519695351
7,"Sorry as he was to see his wish
so fulfilled, he did not know how what was done could be undone, and
comforted himself as well as he could for the loss of his seven sons
with his dear little daughter, who soon became stronger and every day
more beautiful.",2.620125758394282,2.7037140325451574,0.08358827415087555
8,"For a long time she did not know that she had ever had any brothers; for
her father and mother took care not to speak of them before her: but one
day by chance she heard the people about her speak of them.",2.6811144540947076,2.737299609074056,0.05618515497934817
9,"‘Yes,’ said
they, ‘she is beautiful indeed, but still ‘tis a pity that her brothers
should have been lost for her sake.’ Then she was much grieved, and went
to her father and mother, and asked if she had any brothers, and what
had become of them.",2.637486097547743,2.725221485561794,0.08773538801405101
10,"So they dared no longer hide the truth from her, but
said it was the will of Heaven, and that her birth was only the innocent
cause of it; but the little girl mourned sadly about it every day, and
thought herself bound to do all she could to bring her brothers back;
and she had neither rest nor ease, till at length one day she stole
away, and set out into the wide world to find her brothers, wherever
they might be, and free them, whatever it might cost her.",2.339725518301363,2.511004959154278,0.1712794408529148
11,"She took nothing with her but a little ring which her father and mother
had given her, a loaf of bread in case she should be hungry, a little
pitcher of water in case she should be thirsty, and a little stool
to rest upon when she should be weary.",2.5722965272534797,2.760010534975709,0.18771400772222924
12,"Thus she went on and on, and
journeyed till she came to the world’s end; then she came to the sun,
but the sun looked much too hot and fiery; so she ran away quickly to
the moon, but the moon was cold and chilly, and said, ‘I smell flesh
and blood this way!’ so she took herself away in a hurry and came to the
stars, and the stars were friendly and kind to her, and each star sat
upon his own little stool; but the morning star rose up and gave her a
little piece of wood, and said, ‘If you have not this little piece of
wood, you cannot unlock the castle that stands on the glass-mountain,
and there your brothers live.’ The little girl took the piece of wood,
rolled it up in a little cloth, and went on again until she came to the
glass-mountain, and found the door shut.",1.516035585483339,2.42078076004528,0.9047451745619413
13,"Then she felt for the little
piece of wood; but when she unwrapped the cloth it was not there, and
she saw she had lost the gift of the good stars.",2.8074059180704425,2.9366651908062664,0.12925927273582394
14,What was to be done?,3.077836069818942,3.093735469269534,0.015899399450591822
15,"She wanted to save her brothers, and had no key of the castle of the
glass-mountain; so this faithful little sister took a knife out of her
pocket and cut off her little finger, that was just the size of the
piece of wood she had lost, and put it in the door and opened it.",2.6570812885767423,2.8970712272387757,0.23998993866203344
16,"As she went in, a little dwarf came up to her, and said, ‘What are you
seeking for?’ ‘I seek for my brothers, the seven ravens,’ answered she.",2.898296361674195,3.089916738239217,0.19162037656502218
17,"Then the dwarf said, ‘My masters are not at home; but if you will wait
till they come, pray step in.’ Now the little dwarf was getting their
dinner ready, and he brought their food upon seven little plates, and
their drink in seven little glasses, and set them upon the table, and
out of each little plate their sister ate a small piece, and out of each
little glass she drank a small drop; but she let the ring that she had
brought with her fall into the last glass.",2.301802417017379,2.8792259288284017,0.5774235118110225
18,"On a sudden she heard a fluttering and croaking in the air, and the
dwarf said, ‘Here come my masters.’ When they came in, they wanted to
eat and drink, and looked for their little plates and glasses.",2.7461704413096113,3.0849638552892777,0.33879341397966645
19,"Then said
one after the other,

‘Who has eaten from my little plate?",3.206141075236633,3.3480021631262495,0.1418610878896165
20,"And who has been drinking out of my
little glass?’

 ‘Caw!",3.207141040711289,3.3410486787072706,0.1339076379959816
21,Caw!,3.6270766158003704,3.638318803575304,0.011242187774933576
22,"well I ween
  Mortal lips have this way been.’

When the seventh came to the bottom of his glass, and found there the
ring, he looked at it, and knew that it was his father’s and mother’s,
and said, ‘O that our little sister would but come!",3.0190832243134884,3.4294008331583776,0.4103176088448892
23,"then we should be
free.’ When the little girl heard this (for she stood behind the door
all the time and listened), she ran forward, and in an instant all
the ravens took their right form again; and all hugged and kissed each
other, and went merrily home.",0.012998867930625291,0.16868147056768923,0.15568260263706393
