,sentence,with_sentence,without_sentence,difference,label
0,"Bila je nekoč majhna, srčkana deklica, ki jo je vsakdo vzljubil, če ga je le pogledala.",2.6273806181996457,2.6675578128953696,0.040177194695723895,0
1,Najrajši pa jo je imela njena babica.,2.662454659598214,2.677338020169005,0.01488336057079076,0
2,"Ta sploh ni vedela, kaj vse bi ji dala.",2.67600112820264,2.6961364114259836,0.02013528322334368,0
3,Nekoč ji je podarila kapico iz rdečega žameta.,2.6795588277936107,2.692444430176299,0.012885602382688432,0
4,"Ker ji je tako ljubko pristajala in ker tudi sama ni hotela nositi nič drugega več, so ji rekli kar Rdeča kapica.",2.675097228402245,2.7173659125136913,0.04226868411144613,1
5,"Nekega dne ji je rekla mama: »Rdeča kapica, na kos pogače in steklenico vina in nesi to naši babici.",2.6563825096208666,2.747181108359464,0.0907985987385973,1
6,Babica je bolna in slaba in to ji bo dobro delo.,2.732934113974883,2.7660870418370327,0.03315292786214963,1
7,Pokrepčalo jo bo.,2.707146021853019,2.7213087540298946,0.014162732176875803,0
8,"Le hitro se odpravi, da ne bo prevroče.",2.6989862351190474,2.7241309756324403,0.025144740513392883,0
9,"In ko prideš v gozd, hodi lepo naravnost in ne tekaj po stranskih stezah, da ne boš padla in razbila steklenice, tako bi babica ničesar ne dobila.",2.628293746064232,2.744429043017947,0.11613529695371527,0
10,"In ko vstopiš v sobo, ne pozabi voščiti dobro jutro in ne kukaj prej po vseh kotih in kotičkih.« »Vse bom napravila lepo v redu, kakor je treba,« je rekla Rdeča kapica in dala mami roko.",2.591163491303066,2.731586631096277,0.14042313979321097,0
11,"Babica pa je imela hišico dve uri daleč od vasi, sredi nekega gozda.",2.646556599934896,2.688579305013021,0.042022705078125,0
12,"Ko je Rdeča kapica prišla v hosto, je srečala volka.",2.6559256417410713,2.6706455775669644,0.014719935825893149,1
13,"Ker ni vedela, kakšna huda zver je to, se ga ni bala.",2.6887257443768435,2.7220127702110988,0.033287025834255246,0
14,"»Dobro jutro, Rdeča kapica,« jo je nagovoril volk.",2.7014141660748106,2.719649251302083,0.018235085227272574,0
15,"»Dobro jutro, volk.« »Kam pa že tako zgodaj, Rdeča kapica?« »K babici sem namenjena.« »Kaj pa imaš v košarici?« »Kos pogače in steklenico vina.",2.71245763208959,2.8094363522219967,0.0969787201324066,1
16,"Včeraj smo pekli, pa naj se babica, ki je bolna in slaba, malo posladka in Pokrepča s tem.« »Rdeča kapica, kje pa stanuje tvoja babica?« »Kakšne četrt ure je še.",2.6492883192754424,2.825254943307522,0.17596662403207963,1
17,čisto vgozdt' pod tremi visokimi hrasti je njena hišica.,2.640310269912523,2.7855618021984347,0.1452515322859118,1
18,"Okrog je leskovanileja z lešniki, saj jo gotovo poznaš,« mu je razložila Rdeča kapica.",2.6411975337009803,2.730218386182598,0.08902085248161784,1
19,"»Mhm, ta mlada, rahla stvarcam je pomislil volk sam pri sebi, »to bo masten prigrizek, ki bo še veliko bolje teknil kakor stara.",2.469815882240854,2.6918632693407014,0.22204738709984762,1
