,label,sentence
0,1,Pri neki hiši je nekoč živela klepetava gospodinja.
1,1,Vsak dopoldan je hodila po vasi od hiše do hiše in klepetala.
2,1,"Ko je zazvonilo poldan, je pohitela domov, da bi skuhala kosilo za moža."
3,1,Kajti mož se je vračal domov z dela ves utrujen in lačen in nikoli ni hotel jesti napol kuhanega fižola.
4,1,"Da bi žena hitreje skuhala, je zakurila ogenj na ognjišču kar s slamo."
5,1,"Nekega dne pa je z ognjišča padla slamica, nanjo je padel ogelček in iz lonca, v katerem je močno vrela voda, je priletel fižolček."
6,1,"In na sredi hiše so se pogovorili vsi trije — fižolček, ogelček in slamica — da bi bilo zanje najboljše, če bi zbežali prej, kot jih bo žena vrgla nazaj na ogenj."
7,1,Počasi so se zmuznili skozi vrata na dvorišče in se za hramom pobrali navkreber.
8,1,"Ko so prišli do potoka pri Kozjanci, so videli, da je ves narasel zavoljo dežja."
9,1,"— Zdaj smo pa tam, je rekel fižolček."
10,1,"Kaj naj storimo, da bomo prišli čez potok?"
11,1,"Slamica je malo pomislila, potem pa je rekla: — Jaz se bom vrgla čez potok, vidva pa drug za drugim pojdita na drugo stran in potem potegnita še mene čez."
12,1,"Fižolček se je hitro prekotalil prvi, nakar je šel še ogelček."
13,1,"Slamico je speklo, pa je zarjula:

— Hitro, hitro, ker me peče!"
14,1,Ne morem več trpeti!
15,1,"Ogelček je bil prav na sredini, ko se je slama prežgala

in je padla za ogelčkom v vodo."
16,1,"Takrat se je pa začel fižolček na bregu tako smejati, tako smejati, da mu je trebuh počil."
17,1,"Čez malo časa je prišel mimo krojač Kulvan z Mečakne, ki je šel v Saržento pomerjat obleko."
18,1,Zaslišal je klicanje na pomoč.
19,1,"Približal se je in zagledal fižolčka, ki je neusmiljeno jokal in tiščal trebuh skupaj, da mu ne bi črevca ven zletela."
20,1,K sreči je imel krojač Kulvan s seboj iglo že z nitjo pretaknjeno.
21,1,"A nit je bila bela, fižolček pa rdeč."
22,1,"Ker pa je bila velika sila, ni kazalo čakati, kot narediti šiv od kraja do konca, takšen, ki bo držal."
23,1,Od takrat ima vsak fižolček na sredi bel šiv.
