,sentence,with_sentence,without_sentence,difference
0,"A certain king had a beautiful garden, and in the garden stood a tree
which bore golden apples.",0.8130231371570239,0.8110325439229211,-0.0019905932341027777
1,"These apples were always counted, and about
the time when they began to grow ripe it was found that every night one
of them was gone.",0.8241323102075941,0.8203314828563715,-0.0038008273512226687
2,"The king became very angry at this, and ordered the
gardener to keep watch all night under the tree.",0.8766620984501244,0.8730816727522271,-0.0035804256978972937
3,"The gardener set his
eldest son to watch; but about twelve o’clock he fell asleep, and in
the morning another of the apples was missing.",0.8504435541043861,0.847720258270398,-0.0027232958339881153
4,"Then the second son was
ordered to watch; and at midnight he too fell asleep, and in the morning
another apple was gone.",0.8733098099635382,0.8709149096385541,-0.0023949003249841283
5,"Then the third son offered to keep watch; but
the gardener at first would not let him, for fear some harm should come
to him: however, at last he consented, and the young man laid himself
under the tree to watch.",0.8627593882642918,0.8602607508974386,-0.0024986373668531847
6,"As the clock struck twelve he heard a rustling
noise in the air, and a bird came flying that was of pure gold; and as
it was snapping at one of the apples with its beak, the gardener’s son
jumped up and shot an arrow at it.",0.8616710462068256,0.856593804610403,-0.005077241596422533
7,"But the arrow did the bird no harm;
only it dropped a golden feather from its tail, and then flew away.",0.920430713862329,0.9171804349023114,-0.0032502789600176163
8,"The golden feather was brought to the king in the morning, and all the
council was called together.",0.9331357324682951,0.9313499373619002,-0.0017857951063948718
9,"Everyone agreed that it was worth more than
all the wealth of the kingdom: but the king said, ‘One feather is of no
use to me, I must have the whole bird.’

Then the gardener’s eldest son set out and thought to find the golden
bird very easily; and when he had gone but a little way, he came to a
wood, and by the side of the wood he saw a fox sitting; so he took his
bow and made ready to shoot at it.",0.8697543142240634,0.8511458090491629,-0.018608505174900425
10,"Then the fox said, ‘Do not shoot me,
for I will give you good counsel; I know what your business is, and
that you want to find the golden bird.",0.9889955367849264,0.9801673077989599,-0.008828228985966469
11,"You will reach a village in the
evening; and when you get there, you will see two inns opposite to each
other, one of which is very pleasant and beautiful to look at: go not in
there, but rest for the night in the other, though it may appear to you
to be very poor and mean.’ But the son thought to himself, ‘What can
such a beast as this know about the matter?’ So he shot his arrow at
the fox; but he missed it, and it set up its tail above its back and
ran into the wood.",0.8427632612285513,0.8294401210959074,-0.013323140132643907
12,"Then he went his way, and in the evening came to
the village where the two inns were; and in one of these were people
singing, and dancing, and feasting; but the other looked very dirty,
and poor.",1.0130315845878735,1.0080374870900384,-0.004994097497835082
