,label,sentence
0,1,"Bil je človek, ki je imel tri sinove."
1,1,Najmlajšemu izmed njih so rekli Tepček.
2,1,Vsi v hiši so ga zaničevali in zasmehovali ter ga ob vsaki priložnosti zapostavljali.
3,1,"Zgodilo se je, da je hotel iti najstarejši sin v gozd sekat drva."
4,1,"Pred odhodom mu je mati dala kos lepega slastnega kolača iz jajc in masla ter steklenico vina, da ne bi bil lačen in žejen."
5,1,"Ko je prišel v gozd, je srečal starega sivega možička, ki mu je voščil dober dan in dejal: »Daj mi košček kolača iz svojega žepa in dovoli mi požirek vina."
6,1,"Tako hudo sem lačen in žejen.« »Če ti dam kolača in vina, mi samemu ne ostane nič."
7,1,"Pojdi svojo pot!« je rekel pametni sin, pustil moža na poti in šel dalje."
8,1,"Ko se je nato lotil drevesa, ni dolgo trajalo, da je sekira zgrešila in ga zadela v roko, tako da je moral oditi domov in si obvezati rano."
9,1,Nato je šel drugi sin v gozd.
10,1,"Mati mu je dala, kakor najstarejšemu sinu, jajčni kolač in steklenico vina."
11,1,"Ta je prav tako srečal starega sivega možička, ki ga je poprosil za košček kolača in požirek vina."
12,1,"Toda tudi drugi sin je rekel kar pametno: »Kar dam tebi, bom sam pogrešal, pojdi svojo pot!« Pustil je možička na poti in odšel."
13,1,Kazen pa ni izostala.
14,1,"Ko je nekajkrat zasekal v deblo, se je usekal v nogo, da so ga morali prenesti domov."
15,1,"Tedaj je dejal Tepček: »Oče, Pustite mene v gozd sekat drva.« »Tvoja dva brata sta se že poškodovala, nik vtikaj v to, saj ne znaš,« je odgovoril oče."
16,1,"ar se še ti ne Tepček pa je le prosil in prosil, da je oče nazadnje dejal: »Fa pojdi, nesreča te bo že spametovala.« Mati mu je dala kos v pepelu pečenega kolača iz vode in moke in steklenico kislega piva."
17,1,"Ko je prišel v gozd, je srečal starega sivega možička, ki ga je pozdravil in mu je rekel: »Daj mi košček svojega kolača in požirek iz steklenice, tako zelo sem lačen in žejen.« »Toda jaz imam samo pepelnat kolač in kislo pivo, če ti je to prav, lahko sedeva in pojeva,« je odgovoril Tepček."
18,1,"Pa sta sedla in glej, ko je Tepček vzel v roke svoj pepelnati kolač, je bil to slasten jajčni kolač, kislo pivo pa dobro vino."
19,1,"Najedla sta se in napila, nato pa je rekel možiček: »Ker imaš dobro srce in rad deliš z drugimi, kar imaš, ti bom daroval srečo."
20,1,Glej tamle ono staro drevo.
21,1,Posekaj ga in pod njegovimi koreninami boš nekaj našel.« Rekel je sivček in izginil.
22,1,Tepček je šel in posekal drevo.
23,1,"Ko je padlo, pa je sedela med koreninami goska, ki je imela perje iz suhega zlata."
24,1,"Dvignil jo je, jo vzel s seboj ter šel v krčmo, kjer je hotel prenočiti."
25,1,"Krčmar je imel tri hčere, ki so videle gosko in bile radovedne, kakšna ptica je to."
26,1,Vsaka bi hotela imeti kakšno njeno zlato pero.
27,1,"Najstarejša hči je pomislila: »Se bo že našla priložnost, da izpulim goski kakšno pero.« In ko je Tepček stopil malo ven, je prijela gosko za perut, prsti in roka pa so se ji še isti trenutek prilepili nanjo."
28,1,"Kmalu zatem je prišla druga hči, ki tudi ni imela druge misli, kakor da bi si izpulila kakšno zlato pero."
29,1,"Komaj pa se je dotaknila sestre, je bila prilepljena k njej."
30,1,Nazadnje je prišla še tretja hči z istim namenom.
31,1,Onidve sta zavpili: »Ne dotikaj se!
32,1,"Ne, ne, nikar se ne dotikaj!« Ona pa ni razumela, zakaj se ne bi dotaknila in je mislila: »Če sta se onidve lahko dotaknili, se tudi jaz lahko!« Priskočila je in toliko da se je dotaknila sestre, je že obvisela na njej."
33,1,Tako so morale vse tri sestre prebiti noč pri goski.
34,1,"Drugo jutro je vzel Tepček gosko pod pazduho, odšel in se ni menil za tri dekleta, ki so bile prilepljene zraven."
35,1,"Morale so lepo tekati za njim, zdaj levo, zdaj desno, kamor so njega noge nosile."
36,1,Sredi polja jih je srečal župnik.
37,1,"Ko je videl sprevod, je dejal: »Sram vas bodi, dekline grde, da se ženete po polju za mladim fantom."
38,1,Ali se to spodobi?« S temi besedami je prijel najmlajšo za roko in jo hotel potegniti nazaj.
39,1,"Ko pa se je je dotaknil, je še sam obvisel na njej in moral je teči v sprevodu."
40,1,Kmalu zatem je prišel po poti cerkovnik.
41,1,"Videl je gospoda župnika, ki je stopal dekletom za krilom: »Ej, ej, gospod župnik, kam pa tako naglo?"
42,1,"Ne pozabite, da imate danes še opravke!« je vzkliknil začudeno."
43,1,Pohitel je k njemu in ga prijel za rokav.
44,1,"Ko pa se ga je dotaknil, je tudi sam obvisel na njem."
45,1,"Ko je vseh petero tako dirjalo drug za drugim, sta prišla s polja dva kmeta s svojimi motikami."
46,1,"Župnik ju je poprosil, naj osvobodita njega in cerkovnika."
47,1,"Komaj pa sta se dotaknila cerkovnika, sta obvisela."
