,sentence,with_sentence,without_sentence,difference
0,"It happened that the cat met the fox in a forest, and as she thought to
herself: ‘He is clever and full of experience, and much esteemed in the
world,’ she spoke to him in a friendly way.",3.0604886517615175,3.058378059366531,-0.0021105923949864547
1,"‘Good day, dear Mr Fox,
how are you?",3.152530094764752,3.1524726398830305,-5.745488172159696e-05
2,How is all with you?,3.1640902970188347,3.1658671770909037,0.0017768800720689981
3,"How are you getting on in these hard
times?’ The fox, full of all kinds of arrogance, looked at the cat from
head to foot, and for a long time did not know whether he would give
any answer or not.",3.1588667547423706,3.1573694541701505,-0.0014973005722200838
4,"At last he said: ‘Oh, you wretched beard-cleaner, you
piebald fool, you hungry mouse-hunter, what can you be thinking of?",3.0832383792833014,3.0772657475416265,-0.005972631741674839
5,"Have
you the cheek to ask how I am getting on?",3.150688262574701,3.1461323893877613,-0.0045558731869395075
6,What have you learnt?,3.1261299930128303,3.1299178362751348,0.0037878432623044134
7,"How
many arts do you understand?’ ‘I understand but one,’ replied the
cat, modestly.",3.117018782384864,3.1118150475907,-0.005203734794164028
8,‘What art is that?’ asked the fox.,3.185828709936708,3.183820343840598,-0.0020083660961098815
9,"‘When the hounds are
following me, I can spring into a tree and save myself.’ ‘Is that all?’
said the fox.",3.276760623816288,3.2723905066287875,-0.004370117187500355
10,"‘I am master of a hundred arts, and have into the bargain
a sackful of cunning.",3.1434152678857235,3.1368035818336866,-0.00661168605203688
11,"You make me sorry for you; come with me, I will
teach you how people get away from the hounds.’ Just then came a hunter
with four dogs.",3.057628919493478,3.0550552943967424,-0.0025736250967356433
12,"The cat sprang nimbly up a tree, and sat down at the top
of it, where the branches and foliage quite concealed her.",2.9385029576285473,2.946013316428236,0.007510358799688532
13,"‘Open your
sack, Mr Fox, open your sack,’ cried the cat to him, but the dogs had
already seized him, and were holding him fast.",3.287864503406343,3.275261763687972,-0.012602739718371225
14,"‘Ah, Mr Fox,’ cried the
cat.",3.280234236944289,3.265724163963681,-0.014510072980608246
15,‘You with your hundred arts are left in the lurch!,2.6196447781154086,2.6178707906178067,-0.0017739874976019365
16,"Had you been
able to climb like me, you would not have lost your life.’",1.0198648138081325,0.47710724131149407,-0.5427575724966385
