,label,sentence
0,1,"Bil je nekoč kraljevič, ki se je mudil pri svoji nevesti, ki jo je imel močno rad."
1,1,"Ko je sedel tako pri nji in bil dobre volje, pa je prišlo poročilo, da mu je oče na smrt obolel in da ga želi videti pred smrtjo."
2,1,Kraljevič je dejal svoji ljubljenki: »Kličejo me in zapustiti te moram.
3,1,Vzemi tu prstan v spomin name.
4,1,"Ko bom kralj, pridem in te popeljem na svoj dom.« Odjezdil je."
5,1,"Ko je prišel k očetu, je bil ta res na smrt bolan in blizu smrti."
6,1,"»Ljubi moj sin,« mu je rekel, »hotel sem te še enkrat videti pred smrtjo."
7,1,"Obljubi mi, da se boš oženil po moji volji.« Imenoval mu je neko kraljično, s katero se še poznala nista, ki naj bi mu postala žena."
8,1,"Sin pa je bil tako zmeden in potrt, da ni nič pomislil in dejal: »Naj se zgodi, dragi oče, kakor želite.« Nato je kralj zaprl oči in umrl."
9,1,"Ko so oklicali sina za kralja in je minil čas žalovanja, je moral izpolniti obljubo, dano očetu, ter je dal zasnubiti kraljično."
10,1,Obljubili so mu jo.
11,1,"To pa je zvedela njegova prva nevesta in ta nezvestoba jo je tako strašno razžalostila, da je skoraj umrla od žalosti."
12,1,"To videč ji je oče dejal: »Zakaj si tako žalostna, ljuba hčerka moja?"
13,1,"Saj ti dam vse, karkoli si poželiš.« Kraljična je za trenutek pomišljala, nato pa je rekla: »Dragi oče, želim si enajst deklet, ki mi bojo po licu, po postavi in po rasti na las podobne.« 

»Naj se ti izpolni želja, če je mogoče,« je odgovoril kralj."
14,1,"In dal je po vsem kraljestvu tako dolgo iskati, da so našli enajst devic, ki so bile njegovi hčeri po licu, po postavi in po rasti na las podobne."
15,1,"Ko so prišle h kraljični, je ukazala napraviti enajst lovskih oblek, čisto enakih."
16,1,In dekleta so morala obleči lovske obleke in sama je oblekla dvanajsto.
17,1,Nato se je poslovila od očeta.
18,1,"Odjahala je s svojim spremstvom in prijahala na dvor svojega prejšnjega ženina, ki ga je tako močno ljubila."
19,1,"Vprašala ga je, ali potrebuje kaj lovcev in ali ne bi kar vseh skupaj sprejel v svojo službo."
20,1,"Mladi kralj si jo je ogledal, a je ni spoznal."
21,1,"Ker pa so bili vsi tako zali ljudje, je pristal, češ da jih rad sprejme."
22,1,Tako je vseh dvanajst prišlo v kraljevo službo.
23,1,"Kralj pa je imel leva, ki je bil kaj prečudna žival."
24,1,"Znano mu je bilo vse, kar je bilo skritega in tajnega."
