,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč reven je mlinar v kraljestvu živel, zelo lepo hčerko on je imel.",16.91534660979039,16.87986883307771,-0.03547777671268193,0
1,"Zgodilo se je, da mu šlo je za preživetje, zato stopil je pred kralja in si skušal rešit življenje.",16.895648153640185,17.021907516777386,0.12625936313720132,0
2,"Rekel je kralju, pobahal se mu, “hči moja je predilja, iz slame sprede vam zlato.",16.93723172593391,17.101689340876437,0.16445761494252764,1
3,"Kralju zasvetile so se oči “pripelji mi hčerko, tu ostane preko noči, da dokaže, če res vredno je znanje moje krvi.",17.09438120020498,17.23388399936185,0.13950279915686892,0
4,"Dekle so privedli pred kralja in jo odpeljali v sobo precej polno slame, dali so ji kolovrat in vreteno in rekli “Loti se dela, če do jutra ne spredeš te slame v zlato, boš morala plačati s svojim življenjem.",17.33664984967201,17.27829696610787,-0.05835288356414026,1
5,Tako je sam kralj sobo zaklenil in pustil dekle v samoti.,16.842805989583336,16.83594637784091,-0.006859611742427774,0
6,"Uboga mlinarjeva hči ni vedela, kaj naj stori, ni vedela, kako se slamo lahko v zlato spremeni in vedno bolj jo je skrbelo, da ne bo več dočakala kaj dosti dni, tako ji je od vsega hudega po licu spolzela solzica.",16.83422994183152,16.838743755808547,0.0045138139770273256,0
7,"In tako na lepem vrata se odpro in skoznje pristopical je mali možiček, postavil se pred njo: “Dober večer, mlinarjeva gospodična, zakaj jočete tako?”",16.819842502988617,16.9431372017696,0.1232946987809811,1
8,"“Vidiš” rekla je gospodična “spresti moram slamo v zlato in ne vem, kako.”",16.843293705692997,16.94202801739728,0.09873431170428404,0
9,“Kaj mi daš” je rekel možic “če jaz to zate storil bi?”,16.892431741928167,17.0932642513291,0.20083250940093222,0
10,“Dala bi ti svojo ogrlico” rekla je mlinarjeva hči.,16.990735220962858,17.130531867046628,0.13979664608377007,1
11,"Možic ogrlico je vzel, se posedel pred kolovrat in ga zavrtel, vroom, vroom, vroom, trije obrati in vreteno svetlikalo se je v barvi zlati, potem lotil se dela je spet, vroom, vroom, vroom, ga trikrat zavrtel in dosegel zlati lesk.",17.4944608711902,17.63932075029538,0.14485987910518006,0
12,"Vrtel ga je vse tja do jutra, dokler vse slame spredel ni in vsa vretena napolnil z zlatom, ki svetilo se je v jutranji temi.",17.538648150331674,17.501968259975452,-0.03667989035622199,0
13,"Ko vzšlo je sonce, je kralj že prišel in presenečeno zrl nad zlatom, ki ga je našel, njegovo pohlepno srce pa ni imelo dovolj.",17.56778798204788,17.42830524850399,-0.13948273354388974,0
14,"Mlinarjevo hči odpeljal je v drugo sobo polno slame, bilo je slame še veliko več in če ji je bilo kaj do življenja spet do jutra morala je kolovrat vrtet.",17.338421342710568,17.077175306440644,-0.2612460362699238,0
15,"Dekle ni vedelo, kaj ji je storiti, zato je jokala in vrata so zopet se odprla z malim možicem med njimi “Kaj dala mi boš tokrat, da slamo spremenim v zlate niti?”",17.304095481341573,17.03041310902639,-0.2736823723151822,0
16,"“Prstan, ki se bohoti mi na prstu,” reklo je dekle.",17.01455784352771,16.907977218944506,-0.10658062458320572,1
17,"Mali mož vzel je prstan in zavrtel je staro kolo, do jutra spremenil vso slamo je zopet v svetlikajoče se zlato.",16.917414630585085,16.814517928670742,-0.10289670191434297,0
18,"Kralj navdušen nad obsegom zlata, še vedno ni zadovoljil željo svojega srca in zopet odpeljal je mlinarjevo hči v sobo kjer slame je bilo za tri noči: “Tudi to slamo v zlato čez noč spremeni, če uspe ti, pa takrat s tabo kralj se oženi.”",17.125489973146223,17.2179728274699,0.09248285432367709,0
19,"Čeravno bila je le mlinarjeva hči, menil je, da je bogatejše nikoli ne dobi.",16.776411360523355,16.927616268009334,0.1512049074859796,0
20,"Ko ostala je sama, je možic spet prišel in rekel ji je:”Kaj daš mi, dekle, da bom kolovrat zavrtel?”",17.107352194428156,17.09851502794908,-0.00883716647907562,0
21,"“Ničesar več nimam, kar dala bi ti,” odgovori dekle in zajoče v dlani.",16.94402831355896,17.010991933566736,0.06696362000777611,0
22,"“Potem pa mi obljubi, če postala boš kraljica, da prvorojenec bo moja pravica.”",16.952616305881076,17.069469536675346,0.11685323079426979,1
23,"Mlinarjeva hči niti vedela ni, če res s kraljem se na koncu omoži, zato zavoljo lastnega življenja, obljubila je možicu pravico do otroka in odstopila pot mu do prvega vretena, tako spet slamo preko noči mali možic v zlato spremeni.",17.391942942040597,17.331278044871798,-0.06066489716879886,0
24,"In ko tako se kralj vrnil je zjutraj in našel tisto, kar si želelo je njegovo srce, poročil je dekle in kraljico napravil iz nje.",16.854542825155036,16.860826272274732,0.006283447119695751,1
25,"Po letu dni se čudovit otrok ji rodi, pozabila je, kaj mali možic si želi.",16.744928037122772,16.788443005722737,0.04351496859996473,0
26,"In tako, kar iz nič je stopil pred njo: “Izpolni obljubo, ki si jo dala za zlato.”",16.598424863748242,16.62995560829817,0.031530744549929324,0
27,"Kraljica se stresla je od silne groze, možicu ponudila bogastvo je in pol.",16.40551323671221,16.511202441099798,0.10568920438758767,1
28,"Če le pustil bi otroka v njenem naročju, bi odnesel vse, kar v lasti kralj je imel.",16.52854480743408,16.562343788146975,0.03379898071289489,0
29,A možic se ni dal: “Nekaj živega je vredno več kot bogastvo vsega sveta.”,16.47213304591478,16.49529690922055,0.023163863305768473,0
30,"Kraljica je jokala in na kolenih prosila, smilila se je možicu, tako ga je ganila.",16.36576700705558,16.28135239907084,-0.08441460798474054,0
31,"“Dam ti nič več kot tri dni časa,” je rekel možic “da moje ime v teh dneh ugotoviš, ako to ti do takrat ne uspe, otrok je moj in nikar ne trudi se.”",16.304918826956296,16.456932207150103,0.15201338019380728,1
32,"Tako kraljica je razmišljala vso noč o imenih, kar jih je čula in trudila se na vso moč, poslala je sla preko širne dežele, da vrnil bi se z imenom, ki bilo bi njegovo.",16.23786000081025,16.348176048312126,0.1103160475018754,0
33,"Ko prišel je dan in z njim mali možic,  naštevala je vse od Gašperja, Matjaža, Baltazarja do zadnjega kar jih pozna, a vsakemu sledil je odgovor: “Glej, imena mojega ona ne ve” in možic zadovoljno nasmihal se je.",16.672647724237144,16.768293166908983,0.09564544267183805,0
34,"Drugi dan je imela seznam imen vseh čudnih sosednjih kraljevin, bolj bila so nenavadna, bolj verjetno se ji je zdelo, da pravi končno med njimi tiči.",16.529360507396945,16.72732433562583,0.19796382822888603,0
35,"Tako možicu malemu je brala Malireberc, Ovčjerepec, Bolhonogec in odgovor, ki sledi ostajal je enak: “Ne, tako pa ime meni ni.”",16.681453592051632,16.81923417685688,0.1377805848052489,0
36,"Tretji dan se vrnil je vdan vitez na konju in rekel ji je: “Imena vam novega žal ne prinašam, a ko sem se bližal visokim goram, ob koncu gozda zagledal sem konja, poleg pa ogenj in hišico malo, okoli ognja je plesal prav smešno majhen možic in pel si je pesem, nekako takole:",17.363422478228745,16.81495999106619,-0.5484624871625563,0
37,"Danes bom pekel, jutri varil,naslednji dan kraljevega otroka dobil,oh, kako v zadovoljstvo mi je,ko nihče ne ve, da mi Špicparkeljc je ime.”",17.140812924033717,16.575788225446427,-0.5650246985872904,1
38,"Lahko si le mislite kako vesela bila je kraljica ob imenu novem, ki ga slišala je.",16.477709861994995,16.357125294848654,-0.12058456714634147,0
39,"In kmalu mali možic pojavi se v sobi in zopet jo vpraša: “Draga kraljica, kako mi je ime?”",16.273470838530724,16.073973803388547,-0.19949703514217632,0
40,Sprva mu reče “Je Cene tvoje ime?”,16.022901878220203,16.080201157874104,0.05729927965390047,0
41,“Ne.”,15.97823645998154,16.076347821070677,0.09811136108913665,0
42,“Mogoče si Jani?”,16.13388103328339,16.261799642484483,0.12791860920109244,0
43,“Ne.”,16.241591288708992,16.31322833445277,0.0716370457437776,0
44,“Mogoče pa je tvoje ime Špicparkeljc?”,16.302346804800443,16.315611028243396,0.013264223442952527,1
45,“To ti povedal sam je hudič!“,16.35391381774286,16.480622493859492,0.12670867611663184,0
46,"Zajokal mali je možic in v svojem besu z desno nogo ob tla udaril tako močno, da potegnilo mu nogo je v zemljo.",16.618218659871008,16.43423957128312,-0.1839790885878898,0
47,"Ko jo je hotel izvleči, se razklal je na pol in končal coprnijo, otrok zdaj nikoli ne bo njegov.",11.622398376464844,11.767737843631918,0.1453394671670747,1
