,sentence,with_sentence,without_sentence,difference,label
0,Na robu nekega velikega gozda je živel reven drvar s svojo ženo in z dvema otrokoma.,41.923769434282725,42.1226401228116,0.1988706885288778,1
1,Fantku je bilo ime Janko in dekletcu Metka.,42.08156529164477,42.46463642932212,0.3830711376773479,1
2,"Drvarjeva družina že tako ni imela kdo ve kaj jesti, ko pa je nastopilo nerodovitno leto, ni mogel drvar zaslužiti niti vsakdanjega kruha.",42.468390472097326,42.49965286961121,0.03126239751388482,1
3,"Ko je tako ponoči premišljeval v svoji postelji in se od skrbi premetaval, je vzdihnil in dejal svoji ženi: »Kaj bo z nami?",41.540229789220916,41.702124466382074,0.16189467716115757,1
4,"Kako naj preživiva svoja uboga otroka, ko še zase nimava ničesar več?« »Veš kaj, mož,« je odgovorila žena, »jutri navsezgodaj od- peljiva otroka v gozd v najgostejšo goščo.",41.44103502969762,42.38968007559395,0.9486450458963276,1
5,"Tam zakuriva ogenj in dajva vsakemu še košček kruha, nato pa se odpraviva na svoje delo in ju pustiva sama.",42.93401314895352,42.81500577602609,-0.11900737292742747,1
6,"Tako ne bosta več našla poti domov in se jih bova odkrižala.« »Ne, žena,« je rekel mož, »tega ne bom storil.",44.99659916392544,44.956483004385966,-0.04011615953947256,1
7,"Srce mi ne da, da bi puščal otroka sama v gozdu.",42.643891535487434,42.38050607566971,-0.26338545981772654,1
8,"Saj pridejo divje zveri in ju raztrgajo.« »O, ti bedak,« je rekla na to žena, »po tvojem naj potemtakem vsi štirje od lakote umremo.",42.35149074589479,42.33883158224325,-0.012659163651541405,1
9,"Ostane nam samo to, da izoblaš deske za mrtvaške krste.« In mu ni dala miru, dokler ni pristal.",42.458307050742924,42.4306227221755,-0.027684328567424643,1
10,»Uboga otroka pa se mi vseeno smilita!« je dejal mož.,42.50681440785755,42.46621060627473,-0.04060380158281873,1
11,"Tudi lačna otroka nista mogla zaspati in sta slišala, kaj je mačeha rekla očetu.",42.28708996023857,42.35769312695257,0.07060316671400102,1
12,"Metka je bridko zajokala in rekla Janku: »To je najin konec!«
»Tiho, Metka,« je rekel Janko, »nič ne skrbi, jaz si bom že kaj izmislil za naju.« In ko sta stara dva zaspala, je vstal, oblekel svoj suknjič, odprl zunanja vrata in se splazil ven.",42.24644515380151,42.36300239408009,0.11655724027858128,1
13,"Mesec je jasno svetil in belo kamenje, ki je ležalo pred kočo, je sijalo kakor sami srebrniki.",42.63890967153284,42.62601733576642,-0.012892335766423457,1
14,Janko se je sklonil in si vse žepe natlačil s kamenčki.,42.50269840394233,42.44649621212121,-0.05620219182112152,1
15,"Nato je šel nazaj v hišo in dejal Metki: »Nič ne skrbi, draga sestrica, kar mirno zaspi, vse bo še dobro.« In je legel nazaj v svojo posteljo.",42.367398523300686,42.46683919560701,0.09944067230632214,1
16,"Zgodaj zjutraj, še preden je vzšlo sonce, je že prišla mačeha in zbudila otroka: »Vstanita, lenuha, v gozd grerilo po drva.« Nato je dala vsakemu košček kruha in rekla: »Tu imata nekaj za kosilo, a ne pojejta takoj, ker ne dobita nič drugega.« Metka je dala kruh pod prepasnik, ker je imel Janko vse žepe natlačene s kamenčki.",42.38984231826512,42.349763286499694,-0.04007903176542271,1
17,Nato so se vsi štirje odpravili na pot proti gozdu.,42.61873267097967,42.59422173444239,-0.02451093653727554,1
18,"Ko so že nekaj časa hodili, se je Janko ustavil in se oziral nazaj proti hiši.",42.55224277210884,42.55028602350031,-0.001956748608527903,1
19,Tako se je ustavljal in oziral venomer.,42.52808027380212,42.56161519912881,0.03353492532669122,1
20,"»Kaj pa se kar naprej ustavljaš in zijaš nazaj, Janko?",42.493078334895344,42.63112113402062,0.13804279912527306,1
21,"Pazi in ne pozabi na svoje noge,« je rekel oče.",42.78519550879397,42.719692211055275,-0.06550329773869379,1
22,"»Oh, oče,« je dejal deček, »po svoji beli mucki se oziram.",42.38342862776025,42.45082807570978,0.06739944794952635,1
23,"Ta sedi na strehi in se poslavlja od mene.« »Bedak,« je rekla mati, »to ni tvoja bela mačka, to je jutranje sonce, ki sije na dimnik.« Janko pa se ni oziral po mački, temveč je vsakič vrgel na pot po en svetal kamenček iz žepa.",45.190312600450014,45.02884924461588,-0.16146335583413673,1
24,"Ko so prišli v sredo gozda, je dejal oče: »Naberita drv, otroka, zakuril bom ogenj, da vaju ne bo zeblo.« Janko in Metka sta nanosila celo goro dračja.",42.257940196959794,42.254226769369076,-0.0037134275907177994,1
25,"Prižgali so ga in ko je ogenj visoko vzplapolal, je rekla ženska: »Zdaj pa lezita k ognju, otroka, in se odpočijta, midva z očetom greva v gozd sekat les.",42.369632633587784,42.41653615582476,0.04690352223697403,1
