,label,sentence
0,1,"There was a man who had three sons, the youngest of whom was called
Dummling,[*] and was despised, mocked, and sneered at on every occasion."
1,1,"It happened that the eldest wanted to go into the forest to hew wood,
and before he went his mother gave him a beautiful sweet cake and a
bottle of wine in order that he might not suffer from hunger or thirst."
2,1,"When he entered the forest he met a little grey-haired old man who bade
him good day, and said: ‘Do give me a piece of cake out of your pocket,
and let me have a draught of your wine; I am so hungry and thirsty.’ But
the clever son answered: ‘If I give you my cake and wine, I shall have
none for myself; be off with you,’ and he left the little man standing
and went on."
3,1,"But when he began to hew down a tree, it was not long before he made a
false stroke, and the axe cut him in the arm, so that he had to go home
and have it bound up."
4,1,And this was the little grey man’s doing.
5,1,"After this the second son went into the forest, and his mother gave him,
like the eldest, a cake and a bottle of wine."
6,1,"The little old grey man
met him likewise, and asked him for a piece of cake and a drink of wine."
7,1,"But the second son, too, said sensibly enough: ‘What I give you will be
taken away from myself; be off!’ and he left the little man standing and
went on."
8,1,"His punishment, however, was not delayed; when he had made a
few blows at the tree he struck himself in the leg, so that he had to be
carried home."
9,1,"Then Dummling said: ‘Father, do let me go and cut wood.’ The father
answered: ‘Your brothers have hurt themselves with it, leave it alone,
you do not understand anything about it.’ But Dummling begged so long
that at last he said: ‘Just go then, you will get wiser by hurting
yourself.’ His mother gave him a cake made with water and baked in the
cinders, and with it a bottle of sour beer."
10,1,"When he came to the forest the little old grey man met him likewise,
and greeting him, said: ‘Give me a piece of your cake and a drink out
of your bottle; I am so hungry and thirsty.’ Dummling answered: ‘I have
only cinder-cake and sour beer; if that pleases you, we will sit
down and eat.’ So they sat down, and when Dummling pulled out his
cinder-cake, it was a fine sweet cake, and the sour beer had become good
wine."
11,1,"So they ate and drank, and after that the little man said: ‘Since
you have a good heart, and are willing to divide what you have, I will
give you good luck."
12,1,"There stands an old tree, cut it down, and you will
find something at the roots.’ Then the little man took leave of him."
13,1,"Dummling went and cut down the tree, and when it fell there was a goose
sitting in the roots with feathers of pure gold."
14,1,"He lifted her up, and
taking her with him, went to an inn where he thought he would stay the
night."
15,1,"Now the host had three daughters, who saw the goose and were
curious to know what such a wonderful bird might be, and would have
liked to have one of its golden feathers."
16,1,"The eldest thought: ‘I shall soon find an opportunity of pulling out a
feather,’ and as soon as Dummling had gone out she seized the goose by
the wing, but her finger and hand remained sticking fast to it."
17,1,"The second came soon afterwards, thinking only of how she might get a
feather for herself, but she had scarcely touched her sister than she
was held fast."
18,1,"At last the third also came with the like intent, and the others
screamed out: ‘Keep away; for goodness’ sake keep away!’ But she did
not understand why she was to keep away."
19,1,"‘The others are there,’ she
thought, ‘I may as well be there too,’ and ran to them; but as soon as
she had touched her sister, she remained sticking fast to her."
20,1,"So they
had to spend the night with the goose."
21,1,"The next morning Dummling took the goose under his arm and set out,
without troubling himself about the three girls who were hanging on to
it."
22,1,"They were obliged to run after him continually, now left, now right,
wherever his legs took him."
23,1,"In the middle of the fields the parson met them, and when he saw the
procession he said: ‘For shame, you good-for-nothing girls, why are you
running across the fields after this young man?"
24,1,"Is that seemly?’ At the
same time he seized the youngest by the hand in order to pull her away,
but as soon as he touched her he likewise stuck fast, and was himself
obliged to run behind."
25,1,"Before long the sexton came by and saw his master, the parson, running
behind three girls."
26,1,He was astonished at this and called out: ‘Hi!
27,1,"your reverence, whither away so quickly?"
28,1,"Do not forget that we have a
christening today!’ and running after him he took him by the sleeve, but
was also held fast to it."
29,1,"Whilst the five were trotting thus one behind the other, two labourers
came with their hoes from the fields; the parson called out to them
and begged that they would set him and the sexton free."
30,1,"But they had
scarcely touched the sexton when they were held fast, and now there were
seven of them running behind Dummling and the goose."
31,1,"Soon afterwards he came to a city, where a king ruled who had a daughter
who was so serious that no one could make her laugh."
32,1,"So he had put forth
a decree that whosoever should be able to make her laugh should marry
her."
33,1,"When Dummling heard this, he went with his goose and all her train
before the king’s daughter, and as soon as she saw the seven people
running on and on, one behind the other, she began to laugh quite
loudly, and as if she would never stop."
34,1,"Thereupon Dummling asked to have
her for his wife; but the king did not like the son-in-law, and made all
manner of excuses and said he must first produce a man who could drink
a cellarful of wine."
35,1,"Dummling thought of the little grey man, who could
certainly help him; so he went into the forest, and in the same place
where he had felled the tree, he saw a man sitting, who had a very
sorrowful face."
