,sentence,with_sentence,without_sentence,difference,label
0,"Imel je človek osla, ki je že leta in leta potrpežljivo vlačil vreče žita v mlin.",48.113304981774,47.5507954890644,-0.5625094927096015,1
1,"A moči so mu začele pešati, tako da je bil čedalje manj sposoben za delo.",47.39626655884165,47.59143946395564,0.195172905113985,1
2,"In je prišlo gospodarju na misel, da bi ga nehal hraniti.",48.13645086502494,47.814974283042396,-0.3214765819825445,1
3,"Osel pa je zaduhal, da piha slab veter, pobegnil je in se odpravil v mesto Bremen.",47.00361334278513,47.24310314272212,0.23948979993699027,1
4,"Upal je, da bo tam lahko dobil službo mestnega godca.",47.8391544117647,47.94213554987212,0.10298113810741683,1
5,"Ko je nekaj časa tako koračil, je naletel na lovskega psa, ki je ležal na poti in sopel, kakor kdo, ki se je do smrti utrudil od tekanja.",47.96225906798959,47.59056807091737,-0.3716909970722213,1
6,"»Kaj pa tako sopeš, Grabavs?« ga vpraša osel.",46.90547289456234,47.14309101458886,0.23761812002652505,1
7,"»Oh,« odvrne pes.",48.292254537953795,48.258611798679866,-0.03364273927392958,1
8,"»Star sem in vsak dan slabši, niti za lov nisem več.",47.842546452702706,48.07614548141892,0.2335990287162133,1
9,"Ker me je gospodar hotel ubiti, sem jo ucvrl, zdaj pa ne vem, kako naj si zaslužim skorjico kruha?« »Veš kaj?« mu odvrne osel.",49.67775184962147,47.67620332931865,-2.001548520302819,1
10,"»Jaz sem namenjen v Bremen, da postanem tam mestni godec.",47.955229210618846,47.986616561181435,0.031387350562589234,1
11,"Jaz bom igral lutnjo, ti bi pa udarjal na boben.« Pes je bil zadovoljen in je šel z njim.",47.96006450177936,48.04851534697509,0.08845084519573021,1
12,"Ni dolgo trajalo, kar sta srečala mačko, ki je čepela na poti in se nadvse kislo in čemerno držala.",47.78026208212209,48.25875499636628,0.4784929142441854,1
13,"»Kaj pa ti gre tako narobe, Čohačka stara?« jo je vprašal osel.",46.82704282407408,47.299814814814816,0.47277199074073906,1
14,"»Joj, joj, kdo pa bi bil vesel, če se mu grlo stiska?« je rekla mačka.",47.5476210056391,48.28243068609022,0.7348096804511215,1
15,"»Ker sem prišla v leta in so se mi zobje skrhali ter rajši za pečjo sedim in predem, kakor pa bi lovila miši, me je hotela gospodinja utopiti.",48.42793663060278,48.72128574188562,0.29334911128284347,1
16,"Jaz sem se ji sicer iztrgala, a zdaj mi je potreben dober svet: kam naj grem?« 

»Pojdi z nama v Bremen.",48.05937870846519,48.1634042474288,0.10402553896361155,1
17,"Saj si mojster v nočni muziki tam lahko postaneš mestni godec.« Mački se je zdelo to pametno, pa je šla z njima.",47.99036268248175,48.21075375101379,0.22039106853203805,1
18,"Nato so begunci prišli mimo nekega dvorišča; pred vrati je stal domači petelin in na vse pretege »Kaj pa se dereš, da reže v mozeg in v kosti?« mu je rekel osel.",47.92969405411074,48.0383087772651,0.1086147231543606,1
19,"»Kaj hočeš s tem?« »Prerokoval sem lepo vreme,« je dejal petelin, »ker je jutri praznik in se mora perilo posušiti.",48.51165116782007,48.72160196799308,0.2099508001730115,1
20,"Ker pa pridejo jutri gostje, nima gospodinja usmiljenja z menoj in je naročila kuharici, da me bo jutri v juhi pojedla in zato si moram že danes dati odrezati glavo.",48.26147285296763,48.25193204811151,-0.009540804856115415,1
21,"Zdaj se derem na vse grlo, dokler se še lahko.« »Eh, kaj, Rdečeglavček,« mu reče osel, »pojdi rajši z nami!",48.17598530783582,48.10726883162314,-0.0687164762126855,1
22,"V Bremen smo namenjeni, kaj boljšega kakor smrt povsod lahko najdeš.",47.94653483851675,48.19202302631579,0.24548818779904025,1
23,"Lep glas imaš in če skupaj zaigramo, bo to odlična muzika.« Petelinu je bil predlog všeč in vsi štirje so odšli na pot.",48.30265473300971,48.427624393203885,0.12496966019417499,1
24,"Vendar pa v enem dnevu niso mogli priti do mesta Bremen in tako so prišli zvečer v neki gozd, kjer so hoteli prenočiti.",48.56992539414414,48.609562687687685,0.039637293543542285,1
25,"Osel in pes sta legla pod visoko drevo, mačka in petelin pa sta se spravila na veje, a petelin je zletel prav do vrha, kjer je bilo zanj najbolj varno.",46.990478515625,48.21805013020833,1.2275716145833329,1
26,"Preden je zaspal, se je še enkrat ozrl na vse štiri strani in zazdelo se mu je, da vidi v daljavi majhno iskrico, zaklical je tovarišem, da mora biti nedaleč od tod neka hiša, v kateri se nekaj svetlika.",48.998982657967034,49.07950721153846,0.08052455357142918,1
27,"»Potemtakem se moramo dvigniti,« je rekel osel, »in oditi tja, ker imamo tukaj slabo prenočišče.« Pes je menil, da bi mu malo kosti z mesom ne delo slabo.",47.515063731170336,48.30664288818077,0.7915791570104318,1
28,"Tako so se odpravili na pot proti kraju, od koder je prihajal svetloba.",48.47852737665463,48.4400712620337,-0.03845611462093501,1
29,"Videli so, da je luč čedalje večja, dokler niso prišli 

pred dobro razsvetljeno razbojniko hišo.",48.45236678439804,48.380225929054056,-0.07214085534398151,1
30,Osel se je kot največji približal oknu in pogledal v hišo.,48.1962420886076,48.4468651107595,0.250623022151899,1
31,"»Kaj pa vidiš, Sivko?« je vprašal petelin.",48.32287471810567,48.51839360502577,0.1955188869200981,1
32,»Kaj vidim?« je odvrnil osel.,48.55456357074873,48.50840736040609,-0.0461562103426445,1
33,»Lepo pogrnjeno mizo vidim • z dobrimi jedmi in pijačami.,48.36321372174202,48.523453083444146,0.16023936170212494,1
34,"Okrog mize pa sede razbojniki in se mastijo.« »To bi bilo nekaj za nas,« je dejal petelin.",46.49230990292916,48.71492889986376,2.2226189969345995,1
35,"»Saj, saj, oh, če bi bili mi tam notri,« je zavzdihnil osel.",48.444465961402265,48.741861057011334,0.29739509560906896,1
36,"Nato so se začele živali posvetovati, kaj naj napravijo, da bi pregnale razbojnike iz hiše.",49.05925146412884,49.10625228770132,0.047000823572474815,1
37,Končno so se domislile.,48.47722593338214,48.59693562408492,0.11970969070278414,1
38,"Osel se je moral s prednjimi parklji postaviti na okno, pes skočiti oslu na hrbet, mačka zlesti na psa in nazadnje je zletel petelin kvišku ter sedel mački na glavo.",48.05112358176839,48.577871307707355,0.5267477259389679,1
39,"Potem so začeli na dano znamenje vsak svojo pesem: osel je rigal, pes lajal, mačka mijavkala in petelin zakikirikal.",48.67891270661157,48.909581611570246,0.23066890495867653,1
40,"Nato so planili skozi okno v izbo, da so zažvenketale šipe.",49.981599506578945,49.71891104714912,-0.26268845942982466,1
41,"Razbojniki so ob strahovitem vrišču planili na noge, ker so mislili, da je prišla neka prikazen, ter so v silnem strahu pobegnili v gozd.",48.735159154275095,48.79816014172862,0.06300098745352756,1
42,"Naši štirje prijatelji pa so sedli za mizo, se zadovoljili s tem, kar je ostalo, ter se tako natlačili, kakor da najmanj štiri tedne ne bojo imeli kaj dati v usta.",47.88927855711423,48.454721943887776,0.5654433867735449,1
43,"Ko so se naši štirje godci nasitili, so utrnili luč in si poiskali vsak svoje ležišče, kakor se je komu prileglo in mu bilo pogodu.",48.551430903518124,48.837453358208954,0.2860224546908299,1
44,"Osel je legel na gnoj, pes za vrata, mačka na ognjišče k toplemu pepelu in petelin na kurjo gredo.",48.068748191550924,48.7503978587963,0.6816496672453738,1
45,"In ker so bili utrujeni od dolge poti, so kmalu tudi zaspali.",48.83889411027569,48.90034656954887,0.06145245927318399,1
46,"Ko je minila polnoč in so roparji od daleč videli, da ni več luči v hiši in da je videti vse mirno, je rekel njihov kolovodja: »Ne bi se smeli pustiti tako hitro ugnati v kozji rog.« Poslal je enega razbojnika, naj pogleda in preišče hišo.",47.79536830357143,47.95548549107143,0.16011718749999915,1
47,Vse je bilo tiho.,48.29483646137026,48.21236675473761,-0.08246970663265074,1
48,"Stopil je v kuhinjo, da bi prižgal svečo.",48.63577986836817,48.52580511454984,-0.109974753818328,1
49,"In ker je imel žareče, ognjene mačkine oči za tleče oglje, je primaknil k njim žveplenko, da bi jo prižgal.",48.29761153198653,48.39637257996633,0.09876104797979934,1
50,"Mačka pa ni 

poznala šale.",48.74183921547203,48.7726248361014,0.03078562062937351,1
51,Skočila mu je v obraz ter ga začela praskati.,48.960867467629484,49.062737331922314,0.10186986429282996,1
52,"Zelo se je razbojnik prestrašil, stekel je in hotel skozi dvoriščna vrata na dvorišče, pes pa, ki je ležal tam, je skočili in ga ugriznil v nogo.",48.979098969856196,49.057962873340706,0.07886390348451044,1
53,"In ko je razbojnik oddirjal po dvorišču mimo gnoja, mu je dal še osel pošteno brco z zadnjo nogo.",48.829470264668366,49.09051139987245,0.26104113520408134,1
54,"Petelin pa, ki ga je ves hrup prebudil iz spanja, se je zdramil, in na vse grlo zapel z grede: »Kikiriki!« Razbojnik je tekel, kolikor so ga nesle noge, k svojemu poglavarju in mu sporočil: »Hu, v tisti hiši gospodari neka grozovita čarovnica.",47.56067346643518,48.195895724826386,0.6352222583912024,1
55,Puhnila je vame in mi s svojimi dolgimi nohti razpraskala ves obraz.,48.8882318853022,48.86797626201923,-0.020255623282963597,1
56,"In pred vrati stoji nekdo z nožem, ki me je usekal v nogo, na dvorišču leži neka črna pošast, ki me je oplazila z lesenim betom, na strehi pa je sedel sodnik in vpil: ,Pripeljite mi lopova!'",45.98033142089844,46.53130594889323,0.5509745279947893,1
57,"Zato sem pobegnil.« Od takrat si roparji niso več upali v hišo, štirim bremenskim godcem pa je bilo tako všeč v njej, da niso hoteli več ven.",47.52967418323863,46.50711337002841,-1.0225608132102266,1
