,sentence,with_sentence,without_sentence,difference,label
0,"There was once upon a time an old goat who had seven little kids, and
loved them with all the love of a mother for her children.",3.9779004597446916,4.0658777312152425,0.0879772714705509,1
1,"One day she
wanted to go into the forest and fetch some food.",4.033236589758567,4.098300193081516,0.06506360332294925,1
2,"So she called all
seven to her and said: ‘Dear children, I have to go into the forest,
be on your guard against the wolf; if he comes in, he will devour you
all--skin, hair, and everything.",3.8553485494734683,4.057558957022702,0.20221040754923392,1
3,"The wretch often disguises himself, but
you will know him at once by his rough voice and his black feet.’ The
kids said: ‘Dear mother, we will take good care of ourselves; you may go
away without any anxiety.’ Then the old one bleated, and went on her way
with an easy mind.",3.6971210680509867,4.046290931519139,0.3491698634681524,1
4,"It was not long before someone knocked at the house-door and called:
‘Open the door, dear children; your mother is here, and has brought
something back with her for each of you.’ But the little kids knew that
it was the wolf, by the rough voice.",3.7399120084383073,3.992707323966408,0.25279531552810086,1
5,"‘We will not open the door,’ cried
they, ‘you are not our mother.",3.953617203187751,4.027414344879518,0.0737971416917671,1
6,"She has a soft, pleasant voice, but
your voice is rough; you are the wolf!’ Then the wolf went away to a
shopkeeper and bought himself a great lump of chalk, ate this and made
his voice soft with it.",3.702573828690304,3.944078724222142,0.24150489553183796,1
7,"Then he came back, knocked at the door of the
house, and called: ‘Open the door, dear children, your mother is here
and has brought something back with her for each of you.’ But the wolf
had laid his black paws against the window, and the children saw them
and cried: ‘We will not open the door, our mother has not black feet
like you: you are the wolf!’ Then the wolf ran to a baker and said: ‘I
have hurt my feet, rub some dough over them for me.’ And when the baker
had rubbed his feet over, he ran to the miller and said: ‘Strew some
white meal over my feet for me.’ The miller thought to himself: ‘The
wolf wants to deceive someone,’ and refused; but the wolf said: ‘If you
will not do it, I will devour you.’ Then the miller was afraid, and made
his paws white for him.",2.3510972212928265,3.6822261442719486,1.331128922979122,1
8,"Truly, this is the way of mankind.",3.945657995975379,3.9834430733112374,0.03778507733585856,1
9,"So now the wretch went for the third time to the house-door, knocked at
it and said: ‘Open the door for me, children, your dear little mother
has come home, and has brought every one of you something back from the
forest with her.’ The little kids cried: ‘First show us your paws that
we may know if you are our dear little mother.’ Then he put his paws
in through the window and when the kids saw that they were white, they
believed that all he said was true, and opened the door.",3.2645181745490772,4.041849362503496,0.7773311879544185,1
10,"But who should
come in but the wolf!",4.2389670271214435,4.304297470464939,0.06533044334349558,1
