,sentence,with_sentence,without_sentence,difference,label
0,"By the side of a wood, in a country a long way off, ran a fine stream of water; and upon the stream there stood a mill.",2.5131049262152776,2.5093513257575757,-0.0037536004577019,0
1,"The miller’s house was close by, and the miller, you must know, had a very beautiful daughter.",2.6484506421454452,2.698713535601061,0.05026289345561574,0
2,"She was, moreover, very shrewd and clever; and the miller was so proud of her, that he one day told the king of the land, who used to come and hunt in the wood, that his daughter could spin gold out of straw.",2.496192581544037,2.6332345374042667,0.1370419558602296,1
3,"Now this king was very fond of money; and when he heard the miller’s boast his greediness was raised, and he sent for the girl to be brought before him.",2.5899231726088203,2.6383210452015318,0.048397872592711444,1
4,"Then he led her to a chamber in his palace where there was a great heap of straw, and gave her a spinning-wheel, and said, ‘All this must be spun into gold before morning, as you love your life.’",2.531301517809852,2.6055800024591407,0.07427848464928877,0
5,"It was in vain that the poor maiden said that it was only a silly boast of her father, for that she could do no such thing as spin straw into gold: the chamber door was locked, and she was left alone.",2.590841994662465,2.635678451905136,0.044836457242670935,0
6,"She sat down in one corner of the room, and began to bewail her hard fate; when on a sudden the door opened, and a droll-looking little man hobbled in, and said, ‘Good morrow to you, my good lass; what are you weeping for?’",2.4849664272542773,2.5859766151081156,0.1010101878538383,1
7,"‘Alas!’ said she, ‘I must spin this straw into gold, and I know not how.’",2.723570414552926,2.743202980231401,0.019632565678475267,0
8,"‘What will you give me,’ said the hobgoblin, ‘to do it for you?’",2.7680838419391467,2.786207042231821,0.018123200292674113,0
9,"‘My necklace,’ replied the maiden.",2.8148285996969187,2.824266672502898,0.009438072805979303,1
10,"He took her at her word, and sat himself down to the wheel, and whistled and sang: ‘Round about, round about, Lo and behold! Reel away, reel away, Straw into gold!’",2.703369011371908,2.7348312449480505,0.03146223357614231,0
11,"And round about the wheel went merrily; the work was quickly done, and the straw was all spun into gold.",2.8102361473737947,2.8225712927168787,0.012335145343083997,1
12,"When the king came and saw this, he was greatly astonished and pleased; but his heart grew still more greedy of gain, and he shut up the poor miller’s daughter again with a fresh task.",2.7569591053477773,2.7927418215155386,0.0357827161677613,0
13,"Then she knew not what to do, and sat down once more to weep; but the dwarf soon opened the door, and said, ‘What will you give me to do your task?’",2.8084239603356744,2.8363566232776125,0.02793266294193808,0
14,"‘The ring on my finger,’ said she.",2.8672131372119236,2.87773453808659,0.010521400874666575,0
15,"So her little friend took the ring, and began to work at the wheel again, and whistled and sang: ‘Round about, round about, Lo and behold! Reel away, reel away, Straw into gold!’ till, long before morning, all was done again.",2.725743473324317,2.808432559089182,0.08268908576486478,1
16,"The king was greatly delighted to see all this glittering treasure; but still he had not enough: so he took the miller’s daughter to a yet larger heap, and said, ‘All this must be spun tonight; and if it is, you shall be my queen.’",2.6778144813100004,2.777732174539677,0.09991769322967636,0
17,"As soon as she was alone that dwarf came in, and said, ‘What will you give me to spin gold for you this third time?’",2.805903585514941,2.8682976699456937,0.062394084430752894,0
18,"‘I have nothing left,’ said she.",2.905537119024827,2.9198048835438555,0.014267764519028336,0
19,"‘Then say you will give me,’ said the little man, ‘the first little child that you may have when you are queen.’",2.8231237176452018,2.882175539575442,0.059051821930240056,0
20,"‘That may never be,’ thought the miller’s daughter: and as she knew no other way to get her task done, she said she would do what he asked.",2.805127563000098,2.869576995396968,0.06444943239687007,1
21,"Round went the wheel again to the old song, and the manikin once more spun the heap into gold.",2.856724232066761,2.8905574951171875,0.03383326305042633,0
22,"The king came in the morning, and, finding all he wanted, was forced to keep his word; so he married the miller’s daughter, and she really became queen.",2.733532392492165,2.7776009583458365,0.04406856585367169,0
23,"At the birth of her first little child she was very glad, and forgot the dwarf, and what she had said.",2.7902772420247395,2.816968078613281,0.026690836588541433,1
24,"But one day he came into her room, where she was sitting playing with her baby, and put her in mind of it.",2.7777131012947325,2.8040209370274702,0.02630783573273776,0
25,"Then she grieved sorely at her misfortune, and said she would give him all the wealth of the kingdom if he would let her off, but in vain; till at last her tears softened him, and he said, ‘I will give you three days’ grace, and if during that time you tell me my name, you shall keep your child.’",2.4026551042172795,2.614757781333112,0.21210267711583253,1
26,"Now the queen lay awake all night, thinking of all the odd names that she had ever heard; and she sent messengers all over the land to find out new ones.",2.6469313281960067,2.7411991308053807,0.09426780260937395,0
27,"The next day the little man came, and she began with TIMOTHY, ICHABOD, BENJAMIN, JEREMIAH, and all the names she could remember; but to all and each of them he said, ‘Madam, that is not my name.’",2.490501001737386,2.7222943112246845,0.2317933094872986,0
