,sentence,with_sentence,without_sentence,difference,label
0,"Bil je nekdaj reven kmet, Rak po imenu.",44.06755443859198,43.704566257708116,-0.36298818088386753,1
1,Nekega dne je z dvema voloma odpeljal drva v mesto in jih prodal nekemu doktorju.,42.96147154079382,43.229723676957,0.2682521361631771,1
2,"Doktor je ravno sedel pri kosilu, ko je prišel kmet po denar.",43.42492753864605,43.66230926839019,0.2373817297441363,1
3,"Kmet je videl, kako doktor lepo je in pije in srce mu je prevzela želja, da bi bil tudi sam doktor.",44.705381544879174,44.54139546173763,-0.16398608314154473,1
4,"Ko je tako še malo počakal, je nazadnje vprašal, ali bi tudi on lahko postal doktor.",44.4835409252669,44.331382525207594,-0.1521584000593066,1
5,»Zakaj pa ne?« je rekel doktor.,43.8395,43.96138392857143,0.12188392857142816,1
6,»To se kaj kmalu lahko zgodi.« »Kaj pa moram storiti?« je vprašal kmet.,44.27842304913295,44.386438764450865,0.10801571531791865,1
7,"»Najprej si kupi abecednik, knjigo, ki ima spredaj petelina naslikanega,« ga je doktor začel poučevati.",44.09196189312736,43.90011231084489,-0.1918495822824724,1
8,"»Drugič: prodaj voz in oba vola in si z denarjem nakupi oblek in vse drugo, kar je potrebno za doktorsko umetnost; tretjič: naroči si tablo z napisom: ,Jaz sem doktor Vseznalec', ter si jo pribij nad hišna vrata.« Kmet je storil vse, kakor mu je bilo naročeno.",44.11769169654498,43.76825293350717,-0.34943876303780996,1
9,"Ko je tako nekaj časa doktaril, toda ne preveč, se je zgodilo, da so nekemu bogatemu, visokemu gospodu ukradli denar.",44.34056111011478,44.132134370516496,-0.20842673959828062,1
10,"Ta gospod je zvedel, da živi v tej in tej vasi doktor Vseznalec, ki mora za gotovo vedeti, kam je denar izginil.",44.500569783834585,44.31542528195489,-0.185144501879698,1
11,"Zato je dal napreči voz in se odpeljal v tisto vas ter vprašal kmeta, če je on doktor Vseznalec.",44.55654219980315,44.37882627952756,-0.17771592027558825,1
12,"»Res, to sem jaz,« je rekel krnet.",44.80001826451735,44.468953266402714,-0.3310649981146341,1
13,"»Pojdite torej z menoj in poiščite ukradeni denar!« 

»Dobro,« je rekel Vseznalec, »a Jera, moja žena, mora tudi z menoj.« Gospod je bil zadovoljen, posadil ju je na voz in vsi trije so se odpeljali.",44.50289036283557,44.6285982067953,0.12570784395973078,1
14,"Ko so prišli v plemiški dvorec, je bila miza že pogrnjena in doktor Vseznalec je moral kositi z drugimi vred »Prav, a Jeta, moja žena, tudi,« je rekel in sedel za mizo.",45.48564814814815,43.60911458333333,-1.876533564814821,1
15,"Ko je prišel prvi služabnik s skledo dobre jedi, je dregnil krnet svojo ženo in dejal: »Jera, ta je bil prvi!« — misleč pri tem tistega, ki je prinesel prvo jed.",44.394360202393074,44.400502004837065,0.006141802443991651,1
16,"Služabnik pa je mislil, .da je hotel reči s tem: »To je bil prvi tat.« In ker je bilo to res, se je ustrašil in je zunaj rekel svojim tovarišem: »Doktor vse ve, slabo jo bomo skupili.",44.36755701013514,44.826365427927925,0.45880841779278825,1
17,"Dejal je, da sem bil jaz prvi.« Drugi služabnik se kar ni upal noter, a moral je.",44.74861423521851,44.55127329691517,-0.19734093830334132,1
18,"Ko je vstopil s svojo skledo v sobo, je kmet dregnil svojo ženo: »Jera, ta je drugi!« Tudi ta služabnik se je hudo prestrašil in se je potrudil, da je bil čimprej zunaj.",44.60454569777397,45.1359321489726,0.5313864511986282,1
19,"Tretjemu se ni godilo nič drugače, kajti kmet je rekel svoji ženi: »Jera, ta je tretji!« Četrti je moral prinesti v sobo pokrito skledo in gospod je rekel doktorju, da bi preskusil njegovo umetnost, naj ugane, kaj je v skledi.",45.31057460074921,45.240955244479494,-0.06961935626971893,1
20,V njej so bili raki.,44.303328529530745,44.077726790048544,-0.22560173948220097,1
21,"Kmet je ogledoval skledo in ni vedel, kako bi si pomagal, zato je zamrmral: »Oh, jaz ubogi Rak!« Ko je gospod to slišal, je kriknil: »Glejte ga, res ve, gotovo tudi ve, kdo ima denar.« Služabnik je kar prebledel od groze in je pomežiknil doktorju, naj stopi malo ven.",43.83840888843202,43.80663205866228,-0.031776829769739834,1
22,"Zunaj so mu vsi štirje priznali, da so ukradli denar, in obljubili, da ga bojo vrnili in mu dali še lepo nagrado povrhu, če jih ne izda, ker bi jim drugače trda predla.",46.49074041193182,46.64874822443182,0.15800781250000284,1
23,"Pokazali so mu tudi, kje je denar skrit.",43.7201273482659,43.78534253070809,0.06521518244219493,1
24,"Doktor je bil zadovoljen s tem, vrnil se je v sobo, sedel za mizo in rekel: »Gospod, zdaj naj še poiščem v tej moji knjigi, kje tiči denar.« Peti služabnik pa se je medtem splazil v peč, da bi slišal, ali ve doktor še kaj več.",44.38846652307243,45.564412054614486,1.1759455315420553,1
25,"Ta pa je sedel, odprl svoj abecednik in listal po njem, da bi poiskal petelina.",47.81117142078488,48.09055913880814,0.27938771802325846,1
26,"Ko ga pa ni mogel najti, je rekel jezno: »Saj si notri, zato moraš tudi ven.« Tisti v peči pa je mislil, da leti to nanj in je ves prestrašen skočil iz peči ter dejal: »Ta človek vse ve.« Nato je doktor Vseznalec pokazal gospodu, kje je denar, ni pa povedal, kdo ga je ukradel.",50.068032836914064,50.60615234375,0.5381195068359332,1
