,sentence,with_sentence,without_sentence,difference
0,"There was once an old castle, that stood in the middle of a deep gloomy
wood, and in the castle lived an old fairy.",3.1387425797016903,3.1292962344696016,-0.00944634523208876
1,"Now this fairy could take
any shape she pleased.",3.273868373182953,3.2825452460617317,0.008676872878778497
2,"All the day long she flew about in the form of
an owl, or crept about the country like a cat; but at night she always
became an old woman again.",3.109135794132314,3.220509111120345,0.11137331698803132
3,"When any young man came within a hundred
paces of her castle, he became quite fixed, and could not move a step
till she came and set him free; which she would not do till he had given
her his word never to come there again: but when any pretty maiden came
within that space she was changed into a bird, and the fairy put her
into a cage, and hung her up in a chamber in the castle.",2.7528427694445456,3.0187188264365505,0.2658760569920049
4,"There were
seven hundred of these cages hanging in the castle, and all with
beautiful birds in them.",3.2555564389049207,3.2838012250341735,0.02824478612925274
5,Now there was once a maiden whose name was Jorinda.,3.2903368059559504,3.2986284281788127,0.008291622222862394
6,"She was prettier
than all the pretty girls that ever were seen before, and a shepherd
lad, whose name was Jorindel, was very fond of her, and they were soon
to be married.",3.15013676375288,3.2206782834101375,0.07054151965725763
7,"One day they went to walk in the wood, that they might be
alone; and Jorindel said, ‘We must take care that we don’t go too near
to the fairy’s castle.’ It was a beautiful evening; the last rays of the
setting sun shone bright through the long stems of the trees upon
the green underwood beneath, and the turtle-doves sang from the tall
birches.",2.9233428775298576,3.0819318319104383,0.15858895438058074
8,"Jorinda sat down to gaze upon the sun; Jorindel sat by her side; and
both felt sad, they knew not why; but it seemed as if they were to be
parted from one another for ever.",3.1544543100558116,3.2256904667259274,0.07123615667011585
9,"They had wandered a long way; and when
they looked to see which way they should go home, they found themselves
at a loss to know what path to take.",3.232389740251068,3.261952540731838,0.02956280048076998
10,"The sun was setting fast, and already half of its circle had sunk behind
the hill: Jorindel on a sudden looked behind him, and saw through the
bushes that they had, without knowing it, sat down close under the old
walls of the castle.",3.153895186327049,3.213952455967254,0.0600572696402053
11,"Then he shrank for fear, turned pale, and trembled.",3.184409716450576,3.1942445421741517,0.009834825723575857
12,"Jorinda was just singing,

 ‘The ring-dove sang from the willow spray,
  Well-a-day!",3.1128721515649533,3.143526249141483,0.030654097576529704
13,Well-a-day!,3.111345220336227,3.11837061398209,0.007025393645863076
14,"He mourn’d for the fate of his darling mate,
  Well-a-day!’

when her song stopped suddenly.",3.0655386806262728,3.101804999761329,0.03626631913505607
