,sentence,with_sentence,without_sentence,difference
0,"The wife of a rich man fell sick; and when she felt that her end drew
nigh, she called her only daughter to her bed-side, and said, ‘Always be
a good girl, and I will look down from heaven and watch over you.’ Soon
afterwards she shut her eyes and died, and was buried in the garden;
and the little girl went every day to her grave and wept, and was always
good and kind to all about her.",2.5052638841711956,2.8692136018172554,0.36394971764605977
1,"And the snow fell and spread a beautiful
white covering over the grave; but by the time the spring came, and the
sun had melted it away again, her father had married another wife.",3.039037808504972,3.1062701138583098,0.0672323053533379
2,"This
new wife had two daughters of her own, that she brought home with her;
they were fair in face but foul at heart, and it was now a sorry time
for the poor little girl.",3.0808983441606927,3.1343762250784053,0.05347788091771255
3,"‘What does the good-for-nothing want in the
parlour?’ said they; ‘they who would eat bread should first earn it;
away with the kitchen-maid!’ Then they took away her fine clothes, and
gave her an old grey frock to put on, and laughed at her, and turned her
into the kitchen.",2.7940271899123803,2.9506126413887053,0.15658545147632497
4,"There she was forced to do hard work; to rise early before daylight, to
bring the water, to make the fire, to cook and to wash.",3.128062634698276,3.152954808728448,0.024892174030171965
5,"Besides that,
the sisters plagued her in all sorts of ways, and laughed at her.",3.194027164644478,3.2005230203544905,0.006495855710012766
6,"In the
evening when she was tired, she had no bed to lie down on, but was made
to lie by the hearth among the ashes; and as this, of course, made her
always dusty and dirty, they called her Ashputtel.",3.076973676315284,3.1144904881055244,0.03751681179024047
7,"It happened once that the father was going to the fair, and asked his
wife’s daughters what he should bring them.",3.1330329699394035,3.149926479046161,0.016893509106757687
8,"‘Fine clothes,’ said the
first; ‘Pearls and diamonds,’ cried the second.",3.1253081307387314,3.1377278283539694,0.012419697615237979
9,"‘Now, child,’ said he
to his own daughter, ‘what will you have?’ ‘The first twig, dear
father, that brushes against your hat when you turn your face to come
homewards,’ said she.",3.1223100757422597,3.150694514643022,0.028384438900762365
10,"Then he bought for the first two the fine clothes
and pearls and diamonds they had asked for: and on his way home, as he
rode through a green copse, a hazel twig brushed against him, and almost
pushed off his hat: so he broke it off and brought it away; and when he
got home he gave it to his daughter.",2.999924622992705,3.0884241183476377,0.08849949535493273
11,"Then she took it, and went to
her mother’s grave and planted it there; and cried so much that it was
watered with her tears; and there it grew and became a fine tree.",2.9993125448421556,3.0392245753281784,0.039912030486022765
12,"Three
times every day she went to it and cried; and soon a little bird came
and built its nest upon the tree, and talked with her, and watched over
her, and brought her whatever she wished for.",2.9138406414402387,2.974461539846952,0.06062089840671314
13,"Now it happened that the king of that land held a feast, which was to
last three days; and out of those who came to it his son was to choose
a bride for himself.",2.829989138334894,2.9003897726032877,0.0704006342683936
14,"Ashputtel’s two sisters were asked to come; so they
called her up, and said, ‘Now, comb our hair, brush our shoes, and tie
our sashes for us, for we are going to dance at the king’s feast.’
Then she did as she was told; but when all was done she could not help
crying, for she thought to herself, she should so have liked to have
gone with them to the ball; and at last she begged her mother very hard
to let her go.",2.4045174369222546,2.7335584672783297,0.3290410303560751
15,"‘You, Ashputtel!’ said she; ‘you who have nothing to
wear, no clothes at all, and who cannot even dance--you want to go to
the ball?",2.6593524332183027,2.771370511357282,0.11201807813897924
16,"And when she kept on begging, she said at last, to get rid of
her, ‘I will throw this dishful of peas into the ash-heap, and if in
two hours’ time you have picked them all out, you shall go to the feast
too.’

Then she threw the peas down among the ashes, but the little maiden ran
out at the back door into the garden, and cried out:

 ‘Hither, hither, through the sky,
  Turtle-doves and linnets, fly!",2.1237821547882767,2.596945019671359,0.47316286488308235
17,"Blackbird, thrush, and chaffinch gay,
  Hither, hither, haste away!",2.596574483411649,2.643147204397628,0.0465727209859792
18,"One and all come help me, quick!",2.614761419199052,2.636876143758451,0.02211472455939889
