,sentence,with_sentence,without_sentence,difference,label
0,"Bila je nekoč majhna, srčkana deklica, ki jo je vsakdo vzljubil, če ga je le pogledala.",17.037487464415115,16.755460055965322,-0.28202740844979246,0
1,Najrajši pa jo je imela njena babica.,16.644971855720225,16.754356809951716,0.10938495423149064,0
2,"Ta sploh ni vedela, kaj vse bi ji dala.",16.727357618768398,16.810168178578,0.08281055980960161,0
3,Nekoč ji je podarila kapico iz rdečega žameta.,16.75478182705966,16.865838623046873,0.11105679598721352,0
4,"Ker ji je tako ljubko pristajala in ker tudi sama ni hotela nositi nič drugega več, so ji rekli kar Rdeča kapica.",16.88561334893255,16.906785659034654,0.021172310102102188,1
5,"Nekega dne ji je rekla mama: »Rdeča kapica, na kos pogače in steklenico vina in nesi to naši babici.",16.822067396738525,16.889730035302474,0.06766263856394872,1
6,Babica je bolna in slaba in to ji bo dobro delo.,16.69946019293854,16.800418989246253,0.1009587963077152,1
7,Pokrepčalo jo bo.,16.619076658776926,16.705769511939444,0.08669285316251774,0
8,"Le hitro se odpravi, da ne bo prevroče.",16.619602181987716,16.692578092802094,0.07297591081437815,0
9,"In ko prideš v gozd, hodi lepo naravnost in ne tekaj po stranskih stezah, da ne boš padla in razbila steklenice, tako bi babica ničesar ne dobila.",16.818905784970234,16.866369379783162,0.04746359481292828,0
10,"In ko vstopiš v sobo, ne pozabi voščiti dobro jutro in ne kukaj prej po vseh kotih in kotičkih.« »Vse bom napravila lepo v redu, kakor je treba,« je rekla Rdeča kapica in dala mami roko.",16.876334937384044,16.867595155960114,-0.008739781423930282,0
11,"Babica pa je imela hišico dve uri daleč od vasi, sredi nekega gozda.",16.587660386827256,16.588367462158203,0.000707075330947049,0
12,"Ko je Rdeča kapica prišla v hosto, je srečala volka.",16.605132472159536,16.621520708644034,0.01638823648449872,1
13,"Ker ni vedela, kakšna huda zver je to, se ga ni bala.",16.57735827976808,16.611046719282566,0.03368843951448497,0
14,"»Dobro jutro, Rdeča kapica,« jo je nagovoril volk.",16.622747368593096,16.66890370303783,0.04615633444473488,0
15,"»Dobro jutro, volk.« »Kam pa že tako zgodaj, Rdeča kapica?« »K babici sem namenjena.« »Kaj pa imaš v košarici?« »Kos pogače in steklenico vina.",16.704882906194317,16.802815353661252,0.09793244746693475,1
16,"Včeraj smo pekli, pa naj se babica, ki je bolna in slaba, malo posladka in Pokrepča s tem.« »Rdeča kapica, kje pa stanuje tvoja babica?« »Kakšne četrt ure je še.",17.067863913143384,17.121316861705623,0.05345294856223859,1
17,čisto vgozdt' pod tremi visokimi hrasti je njena hišica.,16.861888195624854,17.018954835232886,0.1570666396080327,1
18,"Okrog je leskovanileja z lešniki, saj jo gotovo poznaš,« mu je razložila Rdeča kapica.",17.190701943284697,17.2205526649657,0.029850721681004444,1
19,"»Mhm, ta mlada, rahla stvarcam je pomislil volk sam pri sebi, »to bo masten prigrizek, ki bo še veliko bolje teknil kakor stara.",17.374834573679955,17.46245969575027,0.08762512207031392,1
20,"Lepo zvito se je treba lotiti, pa bom obe pohrustal.« Stopal je nekaj časa vštric Rdeče kapice, nato pa je glasno dejal: »Poglej no, Rdeča kapica, tele lepe cvetke, ki rastejo vsepovsod ob poti.",17.613919234075468,17.300495051536238,-0.31342418253922943,0
21,Zakaj si jih malo ne ogledaš?,17.147818507259462,17.160219691560258,0.01240118430079562,0
22,"Mislim, da niti ne slišiš, kako milo prepevajo ptičke?",17.200314515759093,17.14705535971375,-0.05325915604534259,0
23,"Tako zamišljeno hodiš po stezi, kakor bi šla v šolo.",17.229866929667278,17.13072887878155,-0.09913805088572758,0
