,sentence,with_sentence,without_sentence,difference
0,"
1.",3.396329664927155,3.39653769856452,0.0002080336373651015
1,"HOW THEY WENT TO THE MOUNTAINS TO EAT NUTS

‘The nuts are quite ripe now,’ said Chanticleer to his wife Partlet,
‘suppose we go together to the mountains, and eat as many as we can,
before the squirrel takes them all away.’ ‘With all my heart,’ said
Partlet, ‘let us go and make a holiday of it together.’

So they went to the mountains; and as it was a lovely day, they stayed
there till the evening.",3.100814256721369,3.4975067650139664,0.3966925082925976
2,"Now, whether it was that they had eaten so many
nuts that they could not walk, or whether they were lazy and would not,
I do not know: however, they took it into their heads that it did not
become them to go home on foot.",3.228812789006563,3.449184080865901,0.22037129185933768
3,"So Chanticleer began to build a little
carriage of nutshells: and when it was finished, Partlet jumped into
it and sat down, and bid Chanticleer harness himself to it and draw her
home.",3.199503065664557,3.3920561585245252,0.19255309285996836
4,"‘That’s a good joke!’ said Chanticleer; ‘no, that will never do;
I had rather by half walk home; I’ll sit on the box and be coachman,
if you like, but I’ll not draw.’ While this was passing, a duck came
quacking up and cried out, ‘You thieving vagabonds, what business have
you in my grounds?",2.9527261546581465,3.4104674234555636,0.45774126879741717
5,"I’ll give it you well for your insolence!’ and upon
that she fell upon Chanticleer most lustily.",3.224680290279879,3.3704411078148637,0.1457608175349847
6,"But Chanticleer was no
coward, and returned the duck’s blows with his sharp spurs so fiercely
that she soon began to cry out for mercy; which was only granted her
upon condition that she would draw the carriage home for them.",3.1054887251420453,3.376468475594008,0.2709797504519629
7,"This she
agreed to do; and Chanticleer got upon the box, and drove, crying, ‘Now,
duck, get on as fast as you can.’ And away they went at a pretty good
pace.",3.038625813216614,3.274614732042491,0.23598891882587703
8,"After they had travelled along a little way, they met a needle and a pin
walking together along the road: and the needle cried out, ‘Stop, stop!’
and said it was so dark that they could hardly find their way, and such
dirty walking they could not get on at all: he told them that he and his
friend, the pin, had been at a public-house a few miles off, and had sat
drinking till they had forgotten how late it was; he begged therefore
that the travellers would be so kind as to give them a lift in their
carriage.",2.5580759752516777,3.377502577950224,0.8194266026985462
9,"Chanticleer observing that they were but thin fellows, and not
likely to take up much room, told them they might ride, but made them
promise not to dirty the wheels of the carriage in getting in, nor to
tread on Partlet’s toes.",3.01247143250778,3.377950961164419,0.365479528656639
