,sentence,with_sentence,without_sentence,difference,label
0,"There was once upon a time an old goat who had seven little kids, and loved them with all the love of a mother for her children.",2.68154296875,2.7611636383364897,0.07962066958648961,0
1,One day she wanted to go into the forest and fetch some food.,2.7776296646868595,2.805659309762423,0.028029645075563714,0
2,"So she called all seven to her and said: ‘Dear children, I have to go into the forest, be on your guard against the wolf; if he comes in, he will devour you all--skin, hair, and everything.The wretch often disguises himself, but you will know him at once by his rough voice and his black feet.’",2.4449605147925917,2.7236702058476694,0.2787096910550777,1
3,"The kids said: ‘Dear mother, we will take good care of ourselves; you may go away without any anxiety.’",2.64336184163318,2.751837081120838,0.10847523948765803,0
4,"Then the old one bleated, and went on her way with an easy mind.",2.6727455503310535,2.7191388060244472,0.0463932556933937,0
5,"It was not long before someone knocked at the house-door and called: ‘Open the door, dear children; your mother is here, and has brought something back with her for each of you.’",2.5146348068199442,2.6251417590725805,0.11050695225263629,1
6,"But the little kids knew that it was the wolf, by the rough voice.",2.7552494817740927,2.7879484365222154,0.03269895474812268,0
7,"‘We will not open the door,’ cried they, ‘you are not our mother. She has a soft, pleasant voice, but your voice is rough; you are the wolf!’",2.4958554922816263,2.6437499673171856,0.1478944750355593,1
8,"Then the wolf went away to a shopkeeper and bought himself a great lump of chalk, ate this and made his voice soft with it.",2.5326980064655173,2.6650996767241377,0.13240167025862037,1
9,"Then he came back, knocked at the door of the house, and called: ‘Open the door, dear children, your mother is here and has brought something back with her for each of you.’",2.516888319387944,2.5745302459897372,0.05764192660179335,0
10,"But the wolf had laid his black paws against the window, and the children saw them and cried: ‘We will not open the door, our mother has not black feet like you: you are the wolf!’",2.5122457929132107,2.667165361497828,0.1549195685846172,1
11,"Then the wolf ran to a baker and said: ‘I have hurt my feet, rub some dough over them for me.’",2.6043801393806447,2.7059296105295565,0.10154947114891177,0
12,"And when the baker had rubbed his feet over, he ran to the miller and said: ‘Strew some white meal over my feet for me.’",2.5841764098805937,2.747710919010865,0.16353450913027112,0
13,"The miller thought to himself: ‘The wolf wants to deceive someone,’ and refused; but the wolf said: ‘If you will not do it, I will devour you.’",2.5287371153160647,2.686880829669677,0.15814371435361219,0
14,"Then the miller was afraid, and made his paws white for him.",2.7612615155346822,2.80991276794316,0.048651252408477674,0
15,"Truly, this is the way of mankind.",2.7793501596602184,2.8140975709945435,0.03474741133432513,0
16,"So now the wretch went for the third time to the house-door, knocked at it and said: ‘Open the door for me, children, your dear little mother has come home, and has brought every one of you something back from the forest with her.’",2.5707732580897704,2.7656792817882305,0.1949060236984601,1
17,The little kids cried: ‘First show us your paws that we may know if you are our dear little mother.’,2.8550242762411795,2.9711741785849295,0.11614990234375,0
18,"Then he put his paws in through the window and when the kids saw that they were white, they believed that all he said was true, and opened the door.",2.7904248649691357,2.9289334772055042,0.13850861223636857,1
19,But who should come in but the wolf!,3.1232147521363522,3.159901388628992,0.036686636492639924,0
20,They were terrified and wanted to hide themselves.,3.1314997479198423,3.1551478936420225,0.023648145722180214,0
21,"One sprang under the table, the second into the bed, the third into the stove, the fourth into the kitchen, the fifth into the cupboard, the sixth under the washing-bowl, and the seventh into the clock-case.",2.9993590676759836,3.1645760546066253,0.16521698693064168,1
22,"But the wolf found them all, and used no great ceremony; one after the other he swallowed them down his throat.",3.12164441728496,3.2628706811179575,0.14122626383299774,0
23,"The youngest, who was in the clock-case, was the only one he did not find.",3.1749078244579083,3.2418967733577806,0.06698894889987228,1
24,"When the wolf had satisfied his appetite he took himself off, laid himself down under a tree in the green meadow outside, and began to sleep.",3.1188417545034866,3.2632643013946283,0.14442254689114176,0
25,Soon afterwards the old goat came home again from the forest.,3.2184500134425607,3.26415027201417,0.04570025857160953,0
26,Ah! What a sight she saw there!,3.1966816212871287,3.2416600595606435,0.044978438273514776,0
27,The house-door stood wide open.,3.2163583078692035,3.2373162546465473,0.02095794677734375,0
28,"The table, chairs, and benches were thrown down, the washing-bowl lay broken to pieces, and the quilts and pillows were pulled off the bed.",3.076145359727203,3.239647286837218,0.1635019271100151,0
29,"She sought her children, but they were nowhere to be found.",3.28946607940051,3.3228338747608417,0.03336779536033152,0
30,"She called them one after another by name, but no one answered.",3.2609054352233033,3.3137687028287175,0.052863267605414155,0
31,"At last, when she came to the youngest, a soft voice cried: ‘Dear mother, I am in the clock-case.’",3.2434329638374746,3.3226078180463996,0.079174854208925,1
32,"She took the kid out, and it told her that the wolf had come and had eaten all the others.",3.344261580977697,3.4254297280212658,0.08116814704356878,0
33,Then you may imagine how she wept over her poor children.,3.3190146169354837,3.382222362231183,0.06320774529569917,0
34,"At length in her grief she went out, and the youngest kid ran with her.",3.30227796166344,3.3741382160017976,0.07186025433835752,0
35,"When they came to the meadow, there lay the wolf by the tree and snored so loud that the branches shook.",3.311775894350669,3.437804433261101,0.1260285389104321,0
36,She looked at him on every side and saw that something was moving and struggling in his gorged belly.,3.3553662712191357,3.4934657720871916,0.1380995008680559,1
37,"‘Ah, heavens,’ she said, ‘is it possible that my poor children whom he has swallowed down for his supper, can be still alive?’",3.2284570981378424,3.4675433433219176,0.23908624518407517,0
38,"Then the kid had to run home and fetch scissors, and a needle and thread, and the goat cut open the monster’s stomach, and hardly had she made one cut, than one little kid thrust its head out, and when she had cut farther, all six sprang out one after another, and were all still alive, and had suffered no injury whatever, for in his greediness the monster had swallowed them down whole.",2.422565365848609,3.5696833849795717,1.147118019130963,1
39,What rejoicing there was!,3.2136634310385337,3.2666043159656954,0.05294088492716176,0
40,"They embraced their dear mother, and jumped like a tailor at his wedding.",3.0044884314903846,3.225860595703125,0.22137216421274042,0
41,"The mother, however, said: ‘Now go and look for some big stones, and we will fill the wicked beast’s stomach with them while he is still asleep.’",2.812059773578903,3.2053739107572117,0.3933141371783089,1
42,"Then the seven kids dragged the stones thither with all speed, and put as many of them into this stomach as they could get in; and the mother sewed him up again in the greatest haste, so that he was not aware of anything and never once stirred.",2.5089236253883405,3.5267983598318713,1.0178747344435308,0
43,"When the wolf at length had had his fill of sleep, he got on his legs, and as the stones in his stomach made him very thirsty, he wanted to go to a well to drink.",2.4795055389404297,3.2756521701812744,0.7961466312408447,1
44,"But when he began to walk and to move about, the stones in his stomach knocked against each other and rattled.",3.115769716066735,3.603458012375876,0.4876882963091411,0
45,"Then cried he: ‘What rumbles and tumbles Against my poor bones? I thought ‘twas six kids, but it feels like big stones.’",1.576492896446815,3.556683349609375,1.9801904531625598,0
46,"And when he got to the well and stooped over the water to drink, the heavy stones made him fall in, and he drowned miserably.",0.6231163024902344,2.556322224934896,1.9332059224446614,1
47,"When the seven kids saw that, they came running to the spot and cried aloud: ‘The wolf is dead!",3.2407881084241366,3.9384348016036186,0.697646693179482,0
48,The wolf is dead!’ and danced for joy round about the well with their mother.,3.474912643432617,4.749566078186035,1.274653434753418,1
