,sentence,with_sentence,without_sentence,difference,label
0,"Bila je nekoč majhna, srčkana deklica, ki jo je vsakdo vzljubil, če ga je le pogledala.",2.571861112648659,2.58551198364752,0.013650870998861198,0
1,Najrajši pa jo je imela njena babica.,2.6475968341438136,2.6512915786431757,0.0036947444993620238,0
2,"Ta sploh ni vedela, kaj vse bi ji dala.",2.66072902850565,2.6612127605514577,0.0004837320458075389,0
3,Nekoč ji je podarila kapico iz rdečega žameta.,2.6639248958195254,2.6727181006843184,0.008793204864792958,0
4,"Ker ji je tako ljubko pristajala in ker tudi sama ni hotela nositi nič drugega več, so ji rekli kar Rdeča kapica.",2.65547356328724,2.6709702089608434,0.015496645673603204,1
5,"Nekega dne ji je rekla mama: »Rdeča kapica, na kos pogače in steklenico vina in nesi to naši babici.",2.640665875691871,2.655253208440232,0.014587332748360993,1
6,Babica je bolna in slaba in to ji bo dobro delo.,2.6648666320719294,2.6717464105786886,0.006879778506759138,1
7,Pokrepčalo jo bo.,2.6465097407243734,2.6490301778419916,0.0025204371176181795,0
8,"Le hitro se odpravi, da ne bo prevroče.",2.651113455636161,2.6514922934234457,0.00037883778728486917,0
9,"In ko prideš v gozd, hodi lepo naravnost in ne tekaj po stranskih stezah, da ne boš padla in razbila steklenice, tako bi babica ničesar ne dobila.",2.6225909562194976,2.6433395424177424,0.020748586198244823,0
10,"In ko vstopiš v sobo, ne pozabi voščiti dobro jutro in ne kukaj prej po vseh kotih in kotičkih.« »Vse bom napravila lepo v redu, kakor je treba,« je rekla Rdeča kapica in dala mami roko.",2.5916450872517074,2.6201940759435876,0.02854898869188016,0
11,"Babica pa je imela hišico dve uri daleč od vasi, sredi nekega gozda.",2.6504246605767143,2.652515044035735,0.0020903834590204617,0
12,"Ko je Rdeča kapica prišla v hosto, je srečala volka.",2.644127814324347,2.6462438696557347,0.0021160553313874786,1
13,"Ker ni vedela, kakšna huda zver je to, se ga ni bala.",2.593219639729509,2.59460564961777,0.0013860098882609861,0
14,"»Dobro jutro, Rdeča kapica,« jo je nagovoril volk.",2.565664432410038,2.56844039762863,0.0027759652185919137,0
15,"»Dobro jutro, volk.« »Kam pa že tako zgodaj, Rdeča kapica?« »K babici sem namenjena.« »Kaj pa imaš v košarici?« »Kos pogače in steklenico vina.",2.5770410190929063,2.5854692459106445,0.008428226817738249,1
16,"Včeraj smo pekli, pa naj se babica, ki je bolna in slaba, malo posladka in Pokrepča s tem.« »Rdeča kapica, kje pa stanuje tvoja babica?« »Kakšne četrt ure je še.",2.530269307062565,2.540196502065981,0.009927195003416323,1
17,čisto vgozdt' pod tremi visokimi hrasti je njena hišica.,2.4441908244489525,2.450073891630538,0.0058830671815854885,1
18,"Okrog je leskovanileja z lešniki, saj jo gotovo poznaš,« mu je razložila Rdeča kapica.",2.427952035563403,2.4287739882651254,0.0008219527017221395,1
19,"»Mhm, ta mlada, rahla stvarcam je pomislil volk sam pri sebi, »to bo masten prigrizek, ki bo še veliko bolje teknil kakor stara.",2.3708885751119473,2.386538683883543,0.015650108771595672,1
20,"Lepo zvito se je treba lotiti, pa bom obe pohrustal.« Stopal je nekaj časa vštric Rdeče kapice, nato pa je glasno dejal: »Poglej no, Rdeča kapica, tele lepe cvetke, ki rastejo vsepovsod ob poti.",2.286680213438026,2.347457585128484,0.060777371690457827,0
21,Zakaj si jih malo ne ogledaš?,2.3606917179451696,2.368096706515171,0.007404988570001159,0
22,"Mislim, da niti ne slišiš, kako milo prepevajo ptičke?",2.371355036813764,2.3698662200539964,-0.0014888167597675306,0
23,"Tako zamišljeno hodiš po stezi, kakor bi šla v šolo.",2.338786816470838,2.351071100386362,0.012284283915524163,0
24,Pa je vendar vse tako veselo in zanimivo tu v gozdu.« Rdeča kapica je pogledala okrog sebe.,2.3487763711015783,2.369399257499374,0.020622886397795526,0
25,"Ko je videla, kako poplesavajo sončni žarki skozi drevje in kako je vseokrog polno lepih cvetic, je pomislila: »Če natrgam šopek cvetlic za babico, jih bo gotovo zelo vesela.",2.2620635660690644,2.3339913737756808,0.07192780770661633,1
26,Zgodaj je pa še tudi in bom še pravi čas prišla k njej.« Stekla je s poti v gozd in začela trgati cvetlice.,2.3466446876169096,2.3974101821893705,0.050765494572460934,1
27,"In ko je katero odtrgala, se ji je zazdelo, da je malo bolj stran še ena lepša.",2.3631627329827465,2.4016271717456985,0.038464438762952025,0
28,Stekla je k njej in je bila tako čedalje globlje v gozdu.,2.4004007912246634,2.408310013190214,0.00790922196555055,0
29,Volk pa jo je medtem ubral naravnost proti babičini hišici.,2.3978176134709748,2.4095856139283938,0.011768000457418992,1
30,"Ko je prišel tja, je potrkal na vrata.",2.4174357180024857,2.4269469030380493,0.009511185035563585,0
31,»Kdo pa je zunaj?« je vprašala babica s šibkim glasom.,2.408361477151483,2.430463410958917,0.022101933807434193,0
32,»Rdeča kapica.,2.440724197298142,2.4441762767247575,0.0034520794266152954,0
33,"Prinesla sem ti pogače in vina, odpri mi.« »Kar na kljuko pritisni,« je odgovorila babica.",2.4141993848837906,2.448571983548543,0.034372598664752285,1
