,sentence,with_sentence,without_sentence,difference,label
0,"A certain father had two sons, the elder of who was smart and sensible,
and could do everything, but the younger was stupid and could neither
learn nor understand anything, and when people saw him they said:
‘There’s a fellow who will give his father some trouble!’ When anything
had to be done, it was always the elder who was forced to do it; but
if his father bade him fetch anything when it was late, or in the
night-time, and the way led through the churchyard, or any other dismal
place, he answered: ‘Oh, no father, I’ll not go there, it makes me
shudder!’ for he was afraid.",14.397505809365136,13.96004417309716,-0.43746163626797596,1
1,"Or when stories were told by the fire at
night which made the flesh creep, the listeners sometimes said: ‘Oh,
it makes us shudder!’ The younger sat in a corner and listened with
the rest of them, and could not imagine what they could mean.",14.070185228696742,13.861047708557107,-0.2091375201396346,1
2,"‘They are
always saying: “It makes me shudder, it makes me shudder!” It does not
make me shudder,’ thought he.",14.083570805384337,14.097336158448151,0.01376535306381399,1
3,"‘That, too, must be an art of which I
understand nothing!’

Now it came to pass that his father said to him one day: ‘Hearken to me,
you fellow in the corner there, you are growing tall and strong, and you
too must learn something by which you can earn your bread.",14.211161046079525,14.157579663693793,-0.0535813823857314,1
4,"Look how your
brother works, but you do not even earn your salt.’ ‘Well, father,’ he
replied, ‘I am quite willing to learn something--indeed, if it could but
be managed, I should like to learn how to shudder.",14.209112704139764,14.228108383972655,0.018995679832890744,1
5,"I don’t understand
that at all yet.’ The elder brother smiled when he heard that, and
thought to himself: ‘Goodness, what a blockhead that brother of mine is!",14.25024432915058,14.248543074324324,-0.0017012548262549387,1
6,He will never be good for anything as long as he lives!,14.211374902799378,14.212820762052877,0.0014458592534989378,1
7,"He who wants to
be a sickle must bend himself betimes.’

The father sighed, and answered him: ‘You shall soon learn what it is to
shudder, but you will not earn your bread by that.’

Soon after this the sexton came to the house on a visit, and the father
bewailed his trouble, and told him how his younger son was so backward
in every respect that he knew nothing and learnt nothing.",14.236013257575758,14.171633522727273,-0.06437973484848492,1
8,"‘Just think,’
said he, ‘when I asked him how he was going to earn his bread, he
actually wanted to learn to shudder.’ ‘If that be all,’ replied the
sexton, ‘he can learn that with me.",14.01688935740894,14.091014331539736,0.074124974130795,1
9,"Send him to me, and I will soon
polish him.’ The father was glad to do it, for he thought: ‘It will
train the boy a little.’ The sexton therefore took him into his house,
and he had to ring the church bell.",14.229642809851695,14.236430746822034,0.006787936970338748,1
10,"After a day or two, the sexton awoke
him at midnight, and bade him arise and go up into the church tower and
ring the bell.",14.154996702734712,14.150698481912144,-0.0042982208225677,1
11,"‘You shall soon learn what shuddering is,’ thought he,
and secretly went there before him; and when the boy was at the top of
the tower and turned round, and was just going to take hold of the bell
rope, he saw a white figure standing on the stairs opposite the sounding
hole.",14.09255541222814,14.046197084442966,-0.04635832778517468,1
12,"‘Who is there?’ cried he, but the figure made no reply, and did
not move or stir.",13.926365083595153,13.981354143289947,0.05498905969479395,1
13,"‘Give an answer,’ cried the boy, ‘or take yourself
off, you have no business here at night.’

The sexton, however, remained standing motionless that the boy might
think he was a ghost.",13.927083931442352,14.019044987367938,0.09196105592558546,1
14,"The boy cried a second time: ‘What do you want
here?--speak if you are an honest fellow, or I will throw you down the
steps!’ The sexton thought: ‘He can’t mean to be as bad as his words,’
uttered no sound and stood as if he were made of stone.",13.863314716206569,13.867973026237506,0.004658310030936974,1
15,"Then the boy
called to him for the third time, and as that was also to no purpose,
he ran against him and pushed the ghost down the stairs, so that it fell
down the ten steps and remained lying there in a corner.",13.98747174364614,13.980161366691105,-0.00731037695503467,1
16,"Thereupon he
rang the bell, went home, and without saying a word went to bed, and
fell asleep.",13.911038837735616,13.922903878348214,0.011865040612597966,1
17,"The sexton’s wife waited a long time for her husband, but
he did not come back.",13.791079388498241,13.839066816298342,0.047987427800100235,1
18,"At length she became uneasy, and wakened the boy,
and asked: ‘Do you know where my husband is?",13.828329650940997,13.87303892739064,0.04470927644964284,1
19,"He climbed up the tower
before you did.’ ‘No, I don’t know,’ replied the boy, ‘but someone was
standing by the sounding hole on the other side of the steps, and as he
would neither give an answer nor go away, I took him for a scoundrel,
and threw him downstairs.",13.672217236302277,13.677223605412918,0.005006369110640563,1
20,Just go there and you will see if it was he.,13.7527537914217,13.784992358698556,0.032238567276856145,1
21,"I should be sorry if it were.’ The woman ran away and found her husband,
who was lying moaning in the corner, and had broken his leg.",13.848568488023952,13.90811700462711,0.059548516603157964,1
