,sentence,with_sentence,without_sentence,difference,label
0,"Bil je nekoč mlinar, ki je bil reven, a je imel zalo hčer.",16.86203220468432,16.897295856670063,0.035263651985744104,1
1,"Zgodilo se je, da se je nekega dne zapletel s kraljem v pogovor in da bi se pokazal imenitnega, mu je rekel: »Hčer imam, ki zna iz slame presti zlato.« »Oho!« se je začudil kralj.",16.9609375,16.943997380935354,-0.016940119064646098,1
2,"»To je pa umetnost, ki mi je všeč!",16.875287901680423,16.883101553287148,0.007813651606724648,1
3,"Če je tvoja hči res tako spretna, kakor praviš, jo pripelji jutri na moj grad.",16.914398734177215,16.880109028876582,-0.034289705300633244,1
4,Preskusil jo bom.« Kmet je privedel dekle na grad.,16.82890315798153,16.786934160620053,-0.04196899736147586,1
5,"Tam so jo odpeljali v izbo, ki je bila polna slame.",16.824328308950832,16.95324132184903,0.1289130128981988,1
6,"Kralj ji je dal kolo in vreteno in ji rekel: »Sedi zdaj lepo k delu in če do jutri zjutraj ne spredeš iz te slame zlata, moraš umreti.« Nato je zaklenil izbo, dekle pa je ostalo samo v njej.",16.7260986328125,16.673209635416665,-0.05288899739583641,1
7,Tako je sedela tam uboga mlinarjeva hči in si ni znala pomagati.,16.46327512521777,16.491731543989548,0.028456418771778402,1
8,"Saj niti pojma ni imela, kako naj bi spredla iz slame zlato.",16.515149520131086,16.509279172518728,-0.005870347612358273,1
9,"Vedno bolj strah jo je postajalo, tako da je začela nazadnje bridko jokati.",16.438773649284638,16.48706937123494,0.048295721950303516,1
10,"Tedaj so se naenkrat odprla vrata in v izbo je stopil čuden majhen možic ter dejal: »Dober večer, mlinarica mlada, kaj pa tako bridko jokaš?« »Oh, oh!« je zajokalo dekle.",16.43979470771656,16.30565763774671,-0.13413706996984942,1
11,"»Iz slame bi morala spresti zlato, pa ne znam tega.« »Kaj mi daš, če ti ga jaz spredem?« je vprašal možic.",16.420125498670213,16.422266663896277,0.0021411652260638903,1
12,"»Tole svojo ogrlico,« je reklo dekle.",16.26565860640182,16.449247414283906,0.1835888078820851,1
13,"Možiček je vzel ogrlico, sedel h kolesu in drrr drrr drrr, trikrat potegnil, pa je bil vitel poln.",16.536049722623424,16.55677808232668,0.020728359703255705,1
14,"Nato je nataknil drugega, in drrr drrr drrr, trikrat potegnil, pa je bil tudi drugi vitel poln.",16.684521280073223,16.827163760133367,0.14264248006014313,1
15,"Tako je šlo tja do jutra, in že je bila spredena vsa slama in vsi vitli so bili polni zlata.",17.095932904411764,16.99476636357668,-0.10116654083508436,1
16,Ob sončnem vzhodu je že prišel kralj.,17.162012900075606,17.152881253150202,-0.009131646925403913,1
17,"Ko je zagledal zlato, se je močno začudil, srce pa mu je bilo le še pohlepnejše po zlatu.",17.185013834635416,17.230375162760417,0.04536132812500071,1
18,"Dal je odpeljati mlinarjevo hčer v drugo izbo s slamo, ki je bila še veliko večja.",17.07904103176653,17.11582152311467,0.03678049134813932,1
19,"Ukazal ji je, naj slamo tudi v tej noči sprede v zlato, če ji je življenje drago.",17.01567925347222,17.13162093299897,0.11594167952674894,1
20,Dekle si ni vedelo pomagati in je bridko jokalo.,17.164950843618698,17.241198627888654,0.07624778426995604,1
21,Tedaj so se spet odprla vrata.,16.851249299676294,16.876731355826692,0.025482056150398336,1
22,"Prišel je mali možic in dejal: »Kaj mi daš, če ti spredem slamo v zlato?« »Tale svoj prstanček s prsta,« je odgovorilo dekle.",16.935689991918103,16.997598582300647,0.061908590382543593,1
23,"Možic je vzel prstan, pognal je kolovrat in je do jutra spredel vso slamo v bleščeče zlato.",16.748138427734375,16.91829833984375,0.17015991210937642,1
24,Kralj se je ob pogledu nanj nadvse razveselil.,16.8702890625,16.872583984375,0.0022949218750021316,1
25,Njegovo srce pa še ni bilo sito zlata.,16.9041953125,16.90545703125,0.0012617187499976978,1
26,"Velel je odvesti mlinarjevo hčer v še večjo izbo, polno slame.",16.743911431760203,16.80269252232143,0.058781090561225824,1
27,"»Še tole moraš spresti nocojšnjo noč,« ji je rekel.",16.784120970134495,16.99940870582806,0.21528773569356474,1
28,"»Če se ti posreči, postaneš moja soproga.« Kaj zato, je pomislil, če je mlinarjeva hči, bogatejše žene zlepa ne dobim na vsem svetu.",16.76917574698465,16.918399208470394,0.14922346148574306,1
29,"Ko je bilo dekle samo, je še tretjič prišel možic in jo vprašal: »Kaj mi daš, če ti še tokrat spredem siamo?« »Ničesar več nimam, kar bi ti lahko dala,« je odgovorilo dekle.",16.86658203125,16.650924479166665,-0.2156575520833357,1
30,"»Pa mi obljubi svojega prvega otroka, ko boš kraljica.« Kdo ve, kaj bo še iz tega, je pomislila mlinarjeva hči, in si tudi iz te stiske ni znala drugače pomagati, kot da je obljubila možicu, kar je zahteval.",16.93599373953683,16.925981794084823,-0.010011945452006898,1
31,In zato ji je še enkrat spredel vso slamo v zlato.,17.37763048537234,17.420494306848404,0.0428638214760646,1
32,"Zjutraj je prišel kralj in je našel vse tako, kakor je želel.",17.00465868340164,17.333003810194672,0.32834512679303174,1
33,Bil je mož-beseda in se je res oženil z dekletom.,17.090284499446902,17.256524820243364,0.16624032079646156,1
34,In zala mlinarjeva hči je postala kraljica.,17.13056356976141,17.247840216545644,0.11727664678423366,1
35,Čez leto dni je povila lepega otročička in ni več mislila na tistega tujega možička.,17.38736122532895,17.374438904879387,-0.012922320449561653,1
36,"Ta pa je vstopil in dejal: »Zdaj mi daj, kar si mi obljubila.« Kraljica se je prestrašila in je ponudila možicu bogastvo vse dežele, če ji hoče pustiti otroka.",17.35841771175987,17.27404999314693,-0.08436771861293835,1
37,"Možic pa je dejal: »Ne, živa stvar mi je ljubša kakor vsi zakladi sveta.« Tedaj je začela kraljica tako presunljivo tarnati in jokati, da se je možicu zasmilila: »Tri dni ti dam časa,« ji je rekel, »če zveš moje ime, lahko obdržiš otroka.« Kraljica je vso noč premišljevala o vseh mogočih imenih, ki jih je kdaj slišala.",17.419727287670174,17.270105343053835,-0.1496219446163387,1
38,"Po vsej deželi je razposlala sle, da bi poizvedeli daleč naokrog, kakšna imena še obstajajo.",16.691490974600455,16.659926601740867,-0.03156437285958802,1
39,"Ko je možic drugo jutro prišel, je začela z Gašperjem, Mihom in Boltežarjem ter mu imenovala vsa imena po vrsti.",16.896782629268685,16.814279457957475,-0.08250317131120966,1
40,"Možic pa je ob vsakem dejal: »Ne, tako mi ni ime.« Drugi dan je poslala sle še dlje v deželo, da bi poizvedeli kako se ljudje imenujejo.",17.054166288154068,17.112853152252907,0.0586868640988385,1
41,"In možicu je naštevala najbolj nenavadna in najbolj čudna imena: »Ali se pišeš nemara Rebrce ali Koštrunovo bedrce ali Zadrga?« Možic pa je odgovarjal samo: »Ne, tako mi ni ime.« Tretji dan pa je eden od slov pripovedoval takole: »Za nobeno novo ime nisem več zvedel.",17.772151463468308,17.463023584213616,-0.3091278792546923,1
42,"Pač pa sem prišel na visokem hribu v neko gozdno zakotje, tja, kjer si lisica in zajec voščita lahko noč.",16.986417717889907,16.93983053504874,-0.046587182841168584,1
43,Zagledal sem majhno hišico.,17.010651961616848,17.130994713824727,0.12034275220787904,1
44,"Pred hišico je gorel ogenj in okrog ognja je plesal prečuden smešen možic, poskakoval na eni nogi in pel: Danes pečem, jutri smodim, pojutrišnjem pa kraljička dobim; 

to je dobro, to je dobro, da nihče ne ve, da mi je Špicparkeljc ime.« Lahko si mislite, kako je bila kraljica vesela, ko je to slišala.",18.064816682235055,17.379697053328805,-0.68511962890625,1
45,"Drugo jutro je prišel možic in vprašal: »No, gospa kraljica, kako mi je ime?« Kraljica pa ga je za šalo najprej vprašala: »Ali si morebiti Urh?« »Nisem.« »Ali pa morda Jur?« »Nak.« »Kaj pa če si nemara Špicparkeljc?« je nazadnje vprašala s posebnim poudarkom.",17.60660884065448,17.680924325619102,0.0743154849646217,1
46,"Možic je kar pozelenel od jeze: »To ti je povedal sam hudič, to ti je povedal sam hudič!« In od jeze je udaril z levo nogo tako globoko v zemljo, da se je do pol života pogreznil vanjo.",16.84638390174279,16.52143977238582,-0.3249441293569717,1
