,label,sentence
0,0,"Živel je oče, ki je imel dva otroka, Janka in Metko."
1,1,"Ker so bili zelo revni in niso imeli kaj za pod zob, se je nekega dne odločil, da ju bo odpeljal v gozd in pustil tam."
2,0,"Upal je, da se jima bo uspelo rešiti in da bosta našla kakšnega dobrotnika, ki ju bo vzel s seboj in ju nahranil."
3,0,"Rekel je: »Moram v gozd po drva. Pridita z mano in v gozdu naberita sladkih borovnic in jagod.«"
4,1,"Otroka sta se razveselila, da ju bo oče vzel s seboj, saj nista pričakovala, da ju bo kar pustil v gozdu."
5,0,"Kmalu je oče izginil in ostala sta sama sredi temačnega gozda."
6,1,"Začela sta iskati očeta in zašla globoko v gozd."
7,0,"Zdelo se jim je da slišita zvok sekire, zato sta nadaljevala s hojo."
8,0,"Na travniku sta zagledala sladkih borovnic in jagod in jih začela nabirati."
9,1,"Kmalu je zvok sekire utihnil, otroka pa nista več našla poti nazaj."
10,0,"Oče se ni oglašal na njune klice in počasi se je sonce skrilo za krošnje dreves in nastopila je trdna noč."
11,0,"Otroka je bilo strah, še posebej mlajšo Metko."
12,0,"Janko se je domislil in splezal na vrh najvišjega drevesa."
13,0,"Od tam je v bližini zagledal luč, se razveselil in z Metko sta se odpravila proti svetlobi."
14,0,"Bila sta lačna in izčrpana, ko sta le prišla do hiške."
15,0,"Tam pa ju je čakalo presenečenje."
16,0,"Nista mogla verjeti svojim očem."
17,1,"Pred njima je stala hiša iz medenjakov in sladkorja, streha pa je bila iz čokolade, bombonov in sladkega marcipana."
18,0,"Janko se ni obotavljal – hitro je odlomil del strehe in jo dal sestrici."
19,1,"Odlomil je še zase kos sladke strehe, ko se je pred njima prikazala strašna čarovnica in vprašala: »Kdo mi uničuje mojo lepo hiško«."
20,1,"Otroka sta se prestrašila, ona pa ju je hitro vtaknila v kletko."
21,0,"Metko je imela za sužnjo."
22,0,"Morala je skrbeti zanjo in opravljati vsa gospodinjska dela, ji kuhati, čistiti in prati."
23,0,"Janka je čarovnica vtaknila v kletko in ga pitala s sladkarijami, da bi se čim prej poredil."
24,0,"Vsak dan je preverjala če je že dovolj debel, da bi ga skuhala in požrla."
25,1,"Toda Janko je bil prebrisan in ji namesto prsta vedno pomolil palčko."
26,0,"Čarovnica se je čudila, da je fant kljub vsem sladkarijam še vedno tako koščen."
27,1,"Nekega dne pa ji je prekipelo in ukazala je Metki naj zakuri ogenj, da bo požrla njenega brata za kosilo."
28,0,"Nič ni pomagalo, da je Metka neutolažljivo jokala."
29,0,"Metka je morala nalagati drva v peč, čarovnica pa jo je spraševala ali dobro gori."
30,0,"Metka ji je odgovorila, da ne more sama pogledati tako visoko."
31,1,"Čarovnica se je razjezila in sama pogledala v peč – takrat pa je Metka izkoristila priložnost in jo porinila v gorečo peč."
32,1,"Čarovnica je zavreščala in kmalu zgorela do smrti."
33,1,"Metka je hitro osvobodila Janka in bila sta presrečna, da sta končno rešena."
34,0,"Čarovnici sta vzela bisere, ki sta jih našla v skrinjici."
35,0,"Tekla sta kar so ju nesle noge, da bi našla očeta in dom."
36,0,"Medtem je bilo njunemu očetu strašno žal, da ju je pustil sama v strašnem gozdu."
37,0,"Vsak dan ju je iskal in upal, da sta otroka še živa in zdrava."
38,1,"Nekje na poti so se srečali in si presrečni padli v objem."
39,0,"Oče je otroka prosil za odpuščanje in skupaj so se vrnili domov ter srečno živeli do konca svojih dni."
