,sentence,with_sentence,without_sentence,difference
0,"There was once an old castle, that stood in the middle of a deep gloomy
wood, and in the castle lived an old fairy.",3.2047517008545663,3.3063018829622854,0.10155018210771916
1,"Now this fairy could take
any shape she pleased.",3.285913436139216,3.3481337750544315,0.06222033891521539
2,"All the day long she flew about in the form of
an owl, or crept about the country like a cat; but at night she always
became an old woman again.",3.184793675199468,3.3054988779920214,0.12070520279255348
3,"When any young man came within a hundred
paces of her castle, he became quite fixed, and could not move a step
till she came and set him free; which she would not do till he had given
her his word never to come there again: but when any pretty maiden came
within that space she was changed into a bird, and the fairy put her
into a cage, and hung her up in a chamber in the castle.",2.974045512832214,3.2976946964442173,0.32364918361200345
4,"There were
seven hundred of these cages hanging in the castle, and all with
beautiful birds in them.",3.2518819296780075,3.3268322116114826,0.07495028193347508
5,Now there was once a maiden whose name was Jorinda.,3.272773245310578,3.3036899167819804,0.030916671471402424
6,"She was prettier
than all the pretty girls that ever were seen before, and a shepherd
lad, whose name was Jorindel, was very fond of her, and they were soon
to be married.",3.160519783266129,3.3288860887096776,0.16836630544354847
7,"One day they went to walk in the wood, that they might be
alone; and Jorindel said, ‘We must take care that we don’t go too near
to the fairy’s castle.’ It was a beautiful evening; the last rays of the
setting sun shone bright through the long stems of the trees upon
the green underwood beneath, and the turtle-doves sang from the tall
birches.",2.8927262633468334,3.3397477477218334,0.447021484375
8,"Jorinda sat down to gaze upon the sun; Jorindel sat by her side; and
both felt sad, they knew not why; but it seemed as if they were to be
parted from one another for ever.",3.204335726224459,3.3963450896434293,0.19200936341897012
9,"They had wandered a long way; and when
they looked to see which way they should go home, they found themselves
at a loss to know what path to take.",3.2584435096153848,3.3982530381944445,0.1398095285790597
10,"The sun was setting fast, and already half of its circle had sunk behind
the hill: Jorindel on a sudden looked behind him, and saw through the
bushes that they had, without knowing it, sat down close under the old
walls of the castle.",3.110866662227746,3.4326960245768228,0.32182936234907666
11,"Then he shrank for fear, turned pale, and trembled.",3.3606207310807545,3.435997378203578,0.07537664712282366
12,"Jorinda was just singing,

 ‘The ring-dove sang from the willow spray,
  Well-a-day!",3.177569206393495,3.4130580357142857,0.23548882932079085
13,Well-a-day!,3.4301440621924213,3.477658249261811,0.04751418706938981
14,"He mourn’d for the fate of his darling mate,
  Well-a-day!’

when her song stopped suddenly.",3.224976331784623,3.3576230051075613,0.1326466733229381
15,"Jorindel turned to see the reason, and
beheld his Jorinda changed into a nightingale, so that her song ended
with a mournful _jug, jug_.",3.0193359375,3.2778891651900772,0.25855322769007705
16,"An owl with fiery eyes flew three times
round them, and three times screamed:

 ‘Tu whu!",3.0785133607925905,3.219092092206401,0.1405787314138105
17,Tu whu!,3.2635351466381644,3.268628938930241,0.005093792292076849
18,"Tu whu!’

Jorindel could not move; he stood fixed as a stone, and could neither
weep, nor speak, nor stir hand or foot.",3.0565647032202743,3.1924567493965954,0.1358920461763211
19,"And now the sun went quite down;
the gloomy night came; the owl flew into a bush; and a moment after the
old fairy came forth pale and meagre, with staring eyes, and a nose and
chin that almost met one another.",2.8502394318330713,3.28176003382141,0.43152060198833864
20,"She mumbled something to herself, seized the nightingale, and went away
with it in her hand.",3.016125757374123,3.114323373309118,0.09819761593499488
21,"Poor Jorindel saw the nightingale was gone--but
what could he do?",3.042222628851453,3.1057591256732215,0.06353649682176865
22,"He could not speak, he could not move from the spot
where he stood.",3.026590942625497,3.087987698807157,0.061396756181660184
23,"At last the fairy came back and sang with a hoarse
voice:

 ‘Till the prisoner is fast,
  And her doom is cast,
  There stay!",2.9164252889499744,3.137253749517747,0.2208284605677724
24,"Oh, stay!",3.0919945810355394,3.1221354166666666,0.03014083563112724
25,"When the charm is around her,
  And the spell has bound her,
  Hie away!",2.9358781363459543,3.0344000218814835,0.09852188553552921
26,"away!’

On a sudden Jorindel found himself free.",2.9387355595524847,2.9339507994738843,-0.004784760078600403
27,"Then he fell on his knees
before the fairy, and prayed her to give him back his dear Jorinda: but
she laughed at him, and said he should never see her again; then she
went her way.",2.7616270092723307,2.989799734503337,0.22817272523100618
28,"He prayed, he wept, he sorrowed, but all in vain.",2.9374368854897295,3.0076985024736973,0.07026161698396782
