,sentence,with_sentence,without_sentence,difference
0,"Once upon a time there was a dear little girl who was loved by everyone
who looked at her, but most of all by her grandmother, and there was
nothing that she would not have given to the child.",2.983916644056435,3.0305532391151684,0.0466365950587333
1,"Once she gave her a
little cap of red velvet, which suited her so well that she would never
wear anything else; so she was always called ‘Little Red-Cap.’

One day her mother said to her: ‘Come, Little Red-Cap, here is a piece
of cake and a bottle of wine; take them to your grandmother, she is ill
and weak, and they will do her good.",2.780290856366789,2.9877347676157275,0.20744391124893857
2,"Set out before it gets hot, and
when you are going, walk nicely and quietly and do not run off the path,
or you may fall and break the bottle, and then your grandmother will
get nothing; and when you go into her room, don’t forget to say, “Good
morning”, and don’t peep into every corner before you do it.’

‘I will take great care,’ said Little Red-Cap to her mother, and gave
her hand on it.",2.591796769585222,2.838793502570434,0.24699673298521185
3,"The grandmother lived out in the wood, half a league from the village,
and just as Little Red-Cap entered the wood, a wolf met her.",2.969912063123731,3.0089707639123815,0.03905870078865048
4,"Red-Cap
did not know what a wicked creature he was, and was not at all afraid of
him.",2.9514577953386505,3.0053171580805436,0.05385936274189307
5,"‘Good day, Little Red-Cap,’ said he.",2.9987263185912276,3.006912854548759,0.008186535957531493
6,"‘Thank you kindly, wolf.’

‘Whither away so early, Little Red-Cap?’

‘To my grandmother’s.’

‘What have you got in your apron?’

‘Cake and wine; yesterday was baking-day, so poor sick grandmother is to
have something good, to make her stronger.’

‘Where does your grandmother live, Little Red-Cap?’

‘A good quarter of a league farther on in the wood; her house stands
under the three large oak-trees, the nut-trees are just below; you
surely must know it,’ replied Little Red-Cap.",2.3646492125496033,2.6145519438244054,0.24990273127480211
7,The wolf thought to himself: ‘What a tender young creature!,2.772897200150924,2.7901139114842266,0.017216711333302825
8,"what a nice
plump mouthful--she will be better to eat than the old woman.",2.744564151239343,2.766259335894527,0.021695184655184274
9,"I must
act craftily, so as to catch both.’ So he walked for a short time by
the side of Little Red-Cap, and then he said: ‘See, Little Red-Cap, how
pretty the flowers are about here--why do you not look round?",2.6750925083996604,2.732058671222599,0.05696616282293876
