,label,sentence
0,1,"Neki kmet je imel zvestega psa, ki mu je bilo ime Sultan."
1,1,"Pes pa se je postaral in zgubil je vse svoje zobe, tako da ni mogel več krepko zgrabiti."
2,1,"Nekega dne je stal kmet s svojo ženo pred hišnimi vrati in dejal: »Starega Sultana bom jutri ustrelil, ker ni več za rabo.« Ženi pa se je zvesta žival smilila in je rekla: »Toliko let nam je služil in zvesto držal z nami, lahko bi ga iz usmiljenja obdržala.« »Kje neki,« je rekel kmet, »saj si ob pamet."
3,1,"Niti enega zoba nima več, tatovi se ga ne bojijo, lahko ga pogrešamo."
4,1,"Če nam je služil, se je zato vsak dan dobro nažrl.« Ubogi pes, ki je ležal nedaleč od tod zleknjen na soncu, pa je vse to slišal."
5,1,"Žalosten je bil, ker je bil zanj naslednji dan njegov zadnji."
6,1,"Imel pa je dobrega starega znanca, volka, in k temu se je zvečer splazil ter mu potožil usodo, ki ga čaka."
7,1,"»Kar dobre volje bodi, Sultan,« je rekel volk, »jaz ti že pomagam iz stiske."
8,1,Nekaj sem si izmislil.
9,1,Jutri odide tvoj gospodar z ženo po seno.
10,1,"S seboj bosta vzela svojega malega otroka, ker ne bo nikogar doma."
11,1,Navadno položita med delom otroka za seč v senco.
12,1,"Lezi ti zraven otroka, kakor da ga hočeš stražiti."
13,1,Jaz pa se bom medtem priplazil iz gozda in ugrabil otroka.
14,1,"Ti moraš steči za menoj, kakor da mi ga hočeš iztrgati."
15,1,"Jaz ga bom spustil na tla, ti pa ga boš prinesel staršem nazaj."
16,1,"Mislila bosta, da si ga rešil in ti bosta veliko preveč 

hvaležna, da bi ti storila kaj žalega."
17,1,"Narobe, še v posebni milosti boš in ničesar več ne boš pogrešal.« Ta naklep je bil psu všeč."
18,1,"In kakor sta ga zasnovala, tako sta ga izvedla."
19,1,"Oče je zakričal, ko je zagledal volka, ki je tekel z otrokom, ko ga je pa stari Sultan prinesel nazaj, je bil neznansko vesel."
20,1,"Pobožal je psa in rekel: »Niti lasu ti ne bomo skrivili, obdržali te bomo in jedel boš, dokler boš živ.« Svoji ženi pa je dejal : »Pojdi precej domov in skuhaj staremu Sultanu mlečne kaše, ki je ni treba gristi."
21,1,"In prinesi še blazino z moje postelje, naj jo ima za svoje ležišče.« Od takrat naprej se je staremu Sultanu tako dobro godilo, kot si je le mogel želeti."
22,1,Kmalu zatem ga je obiskal volk.
23,1,"Bil je vesel, da se je tako lepo posrečilo."
24,1,"»Ampak, Sultan,« je rekel, »saj boš menda zatisnil oko, če vzamem ob priložnosti tvojemu gospodarju kakšno rejeno ovco."
25,1,"Dandanes se je težko prebijati skozi življenje.« »S tem pa rajši ne računaj,« je odgovoril Sultan, »svojemu gospodarju ostanem zvest, v to ne smem privoliti.« Volk je menil, da ni resno govoril; priplazil se je ponoči in hotel ugrabiti ovco."
26,1,"Kmet pa, ki mu je zvesti Sultan izdal, kaj volk namerava, ga je pričakal in mu s cepcem kaj grdo počesal dlako."
27,1,Volk je moral pobegniti.
28,1,"Spotoma pa je zaklical psu: »Le čakaj, mrcina pasja, to mi boš plačal!« Drugo jutro je volk poslal merjasca, da je pozval Sultana, naj pride v gozd, da bosta z volkom v dvoboju poravnala spor."
29,1,"Stari Sultan ni mogel najti druge priče kakor mačka, ki je imel samo še tri noge."
30,1,"In ko sta šla skupaj v gozd, je ubogi maček šantal, obenem pa zaradi bolečine visoko dvigal svoj rep."
31,1,Volk in njegova priča sta bila že na mestu.
32,1,"Ko pa sta zagledala svojega nasprotnika, ki je prihajal, sta mislila, da prinaša sabljo s seboj, tak je bil videti mačkin dvignjeni rep."
33,1,"In ker je uboga žival poskakovala po treh nogah, sta bila prepričana, da Sultan vsakokrat pobere kak kamen, da ju bo obsul z njim."
34,1,"Tedaj je obema šinil strah v kosti: merjasec se je zaril v listje, volk pa je skočil na drevo."
35,1,"Ko sta pes in maček prišla tja, sta se začudila, da ni nikogar nikjer."
36,1,"Merjasec pa se ni mogel čisto skriti v listje, temveč so mu uhlji še moleli iz njega."
37,1,"Ko se je maček lagodno oziral okrog sebe, je zmignil merjasec z uhlji."
38,1,"Maček pa je mislil, da je švignila miška, skočil je in krepko ugriznil v uho."
39,1,"Merjasec je zarjul od bolečine, planil, stekel in zavpil: »Tamle na drevesu se skriva pravi krivec!« Pes in maček sta pogledala na drevo in opazila volka, ki ga je bilo sram, da se je pokazal takega strahopetca."
40,1,"In volk je sprejel mir, ki mu ga je ponudil Sultan."
