,sentence,with_sentence,without_sentence,difference,label
0,"Imel je človek osla, ki je že leta in leta potrpežljivo vlačil vreče žita v mlin.",17.137566711676953,17.103214216820987,-0.03435249485596614,1
1,"A moči so mu začele pešati, tako da je bil čedalje manj sposoben za delo.",17.162828557144795,17.07607231222885,-0.08675624491594647,1
2,"In je prišlo gospodarju na misel, da bi ga nehal hraniti.",16.988589695521764,17.025476728166854,0.0368870326450903,1
3,"Osel pa je zaduhal, da piha slab veter, pobegnil je in se odpravil v mesto Bremen.",16.987006870567377,17.111662880466902,0.12465600989952463,1
4,"Upal je, da bo tam lahko dobil službo mestnega godca.",16.96286788641238,16.9190673828125,-0.04380050359987919,1
5,"Ko je nekaj časa tako koračil, je naletel na lovskega psa, ki je ležal na poti in sopel, kakor kdo, ki se je do smrti utrudil od tekanja.",17.078904371995193,17.125193166208792,0.04628879421359855,1
6,"»Kaj pa tako sopeš, Grabavs?« ga vpraša osel.",16.668928475215516,16.669413950251435,0.00048547503591933605,1
7,"»Oh,« odvrne pes.",16.722124630177515,16.726488824426774,0.004364194249259157,1
8,"»Star sem in vsak dan slabši, niti za lov nisem več.",16.606657608695652,16.7728279066382,0.16617029794254634,1
9,"Ker me je gospodar hotel ubiti, sem jo ucvrl, zdaj pa ne vem, kako naj si zaslužim skorjico kruha?« »Veš kaj?« mu odvrne osel.",17.08601126910971,17.0697223471223,-0.016288921987410276,1
10,"»Jaz sem namenjen v Bremen, da postanem tam mestni godec.",16.788553560697114,16.742882361778847,-0.04567119891826721,1
11,"Jaz bom igral lutnjo, ti bi pa udarjal na boben.« Pes je bil zadovoljen in je šel z njim.",16.84967091457903,16.857242300490704,0.007571385911674611,1
12,"Ni dolgo trajalo, kar sta srečala mačko, ki je čepela na poti in se nadvse kislo in čemerno držala.",16.974446614583332,16.93159014866825,-0.042856465915082964,1
13,"»Kaj pa ti gre tako narobe, Čohačka stara?« jo je vprašal osel.",16.755476721938777,16.93041095344388,0.17493423150510168,1
14,"»Joj, joj, kdo pa bi bil vesel, če se mu grlo stiska?« je rekla mačka.",17.00621798820021,17.142519369164937,0.13630138096472777,1
15,"»Ker sem prišla v leta in so se mi zobje skrhali ter rajši za pečjo sedim in predem, kakor pa bi lovila miši, me je hotela gospodinja utopiti.",17.244562609442347,17.107721789129847,-0.1368408203125,1
16,"Jaz sem se ji sicer iztrgala, a zdaj mi je potreben dober svet: kam naj grem?« 

»Pojdi z nama v Bremen.",17.03830454040272,17.07920984244247,0.04090530203975007,1
17,"Saj si mojster v nočni muziki tam lahko postaneš mestni godec.« Mački se je zdelo to pametno, pa je šla z njima.",16.91035850876046,17.048547210054917,0.1381887012944567,1
18,"Nato so begunci prišli mimo nekega dvorišča; pred vrati je stal domači petelin in na vse pretege »Kaj pa se dereš, da reže v mozeg in v kosti?« mu je rekel osel.",17.058689512055494,16.812141155374462,-0.24654835668103203,1
19,"»Kaj hočeš s tem?« »Prerokoval sem lepo vreme,« je dejal petelin, »ker je jutri praznik in se mora perilo posušiti.",17.11483056434599,17.022886380867615,-0.09194418347837541,1
20,"Ker pa pridejo jutri gostje, nima gospodinja usmiljenja z menoj in je naročila kuharici, da me bo jutri v juhi pojedla in zato si moram že danes dati odrezati glavo.",17.633930855963428,17.66976835425764,0.03583749829421379,1
21,"Zdaj se derem na vse grlo, dokler se še lahko.« »Eh, kaj, Rdečeglavček,« mu reče osel, »pojdi rajši z nami!",17.452572031917736,17.496006109775642,0.04343407785790632,1
22,"V Bremen smo namenjeni, kaj boljšega kakor smrt povsod lahko najdeš.",17.811678890306123,17.65811941964286,-0.15355947066326436,1
23,"Lep glas imaš in če skupaj zaigramo, bo to odlična muzika.« Petelinu je bil predlog všeč in vsi štirje so odšli na pot.",18.088552562761507,17.911737545763597,-0.17681501699791013,1
24,"Vendar pa v enem dnevu niso mogli priti do mesta Bremen in tako so prišli zvečer v neki gozd, kjer so hoteli prenočiti.",17.75900242909664,17.856328371192227,0.09732594209558698,1
25,"Osel in pes sta legla pod visoko drevo, mačka in petelin pa sta se spravila na veje, a petelin je zletel prav do vrha, kjer je bilo zanj najbolj varno.",17.85199185075431,17.61668448612608,-0.23530736462823043,1
26,"Preden je zaspal, se je še enkrat ozrl na vse štiri strani in zazdelo se mu je, da vidi v daljavi majhno iskrico, zaklical je tovarišem, da mora biti nedaleč od tod neka hiša, v kateri se nekaj svetlika.",17.274780825791854,17.32073781285351,0.045956987061654075,1
27,"»Potemtakem se moramo dvigniti,« je rekel osel, »in oditi tja, ker imamo tukaj slabo prenočišče.« Pes je menil, da bi mu malo kosti z mesom ne delo slabo.",16.91162109375,16.968047043372845,0.056425949622845195,1
28,"Tako so se odpravili na pot proti kraju, od koder je prihajal svetloba.",17.01801394628099,17.28003938533058,0.2620254390495873,1
29,"Videli so, da je luč čedalje večja, dokler niso prišli 

pred dobro razsvetljeno razbojniko hišo.",17.199793791967974,17.129705255681817,-0.07008853628615697,1
30,Osel se je kot največji približal oknu in pogledal v hišo.,16.902701956326844,16.9469494428791,0.044247486552254855,1
31,"»Kaj pa vidiš, Sivko?« je vprašal petelin.",17.002516060821282,17.111021435950413,0.1085053751291305,1
32,»Kaj vidim?« je odvrnil osel.,17.046230628842213,17.152569880251026,0.10633925140881217,1
33,»Lepo pogrnjeno mizo vidim • z dobrimi jedmi in pijačami.,17.524170918367346,17.413356983418367,-0.11081393494897895,1
34,"Okrog mize pa sede razbojniki in se mastijo.« »To bi bilo nekaj za nas,« je dejal petelin.",17.402734780212654,17.440549225233404,0.03781444502075004,1
