,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč je živela koza, ki je imela sedem živahnih kozličkov.",16.862053118661258,16.97786194219067,0.11580882352941302,0
1,"Imela jih je rada, kot imajo mame rade svoje otroke.",16.954485212053573,17.030778131565125,0.07629291951155182,0
2,"Nekega dne se je odpravljala v gozd po krmo, zato je sklicala vseh sedem in rekla: ""Dragi otročički, pozorno me poslušajte! Šla bom v gozd, zato boste nekaj časa sami doma. Pazite se volka! Če mu uspe priti v hišo, vas bo pojedel s kostmi in kožo vred. Nepridiprav se pogosto zamaskira, zato morate biti še posebej previdni. Če drugega ne, ga bo izdal raskav glas in črne šape.""",17.33125,16.99974926097973,-0.3315007390202709,1
3,"""Previdni bomo, mami,"" so rekli kozlički.",16.842925163312145,16.868776483050848,0.025851319738702472,0
4,"""Lahko si brez skrbi.""",16.864829355581648,16.93328610458815,0.06845674900650067,0
5,Mama koza je v slovo nežno zameketala in se pomirjena odpravila v gozd.,17.05829586772799,17.1521687057783,0.09387283805031288,0
6,Nedolgo zatem je potrkalo na vratih.,16.914449320211038,17.027852640523538,0.1134033203125,0
7,"Hripav glas je rekel: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega.""",17.015011058134192,17.051265940946692,0.0362548828125,1
8,"Toda kozlički so takoj vedeli, da hripav glas ni od njihove mame.",16.783879499027236,16.8910866822714,0.10720718324416367,0
9,Bil je volk.,16.73179296875,16.836533203125,0.1047402343750008,0
10,"""Ne bomo odprli,"" so zaklicali.",16.85644933127572,17.038381317515434,0.1819319862397144,0
11,"""Ti že nisi naša mamica. Ona ima nežen in mehak glas, tvoj pa je globok in hripav. Vemo da si ti, volk!""",17.311741041100543,17.21112007472826,-0.1006209663722828,1
12,"Volk je odšel in začel tuhtati, kako bi si zmehčal glas.",17.03323581328452,17.271267815115063,0.2380320018305433,0
13,Potem se mu je posvetilo – kreda!,17.0978125,16.971984375,-0.12582812499999818,0
14,"Takoj jo je mahnil k trgovcu, kupil kos krede in jo pojedel.",17.091774862320698,17.204789959016395,0.11301509669569754,1
15,"Še sam ni mogel verjeti, kako nežen in mehak je postal njegov glas.",17.086654042809958,17.106723196138212,0.02006915332825443,0
16,"Potem se je vrnil in potrkal: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila in za vsakega ima nekaj lepega.""",17.017894071691178,17.06730074842437,0.049406676733191546,0
17,"Toda kozlički so videli njegovo črno šapo, ki jo je položil na okensko polico, zato so zaklicali:""Ne bomo odprli! Naša mamica že nima črne šape. Vemo da si ti, volk!""",17.281816107737445,17.16988136258188,-0.11193474515556545,1
18,"Spet mu ni uspelo, toda ni se predal.",17.104263797883064,17.00140183971774,-0.10286195816532384,0
19,"Skočil je do peka in rekel:""Dobri pek, poškodoval sem si taco.",17.019969706632654,17.16459263392857,0.14462292729591653,0
20,"Ker testo blaži bolečine, te prosim, da mi z njim obložiš šapo.",16.90999415663422,16.985007364241802,0.0750132076075829,0
21,"Ko mu je pek s testom obložil taco, se je odpravil do mlinarja: ""Mlinar, posuj mi šapo z malo moke!""",17.401496438419116,17.510459066439076,0.1089626280199596,0
22,"Mlinar si je mislil, da premeteni volk gotovo hoče koga ukaniti, zato je odklonil.",16.81127827536611,17.043874828386507,0.2325965530203966,0
23,"Toda volk je zagrozil:""Če tega ne storiš, te bom požrl!""",16.962713249362245,16.987844786352042,0.025131536989796643,0
24,"Mlinar se ga je zelo prestrašil, zato mu je pomokal šapo.",17.151003011067708,17.229970296223957,0.07896728515624929,0
25,"Kaj hočemo, ljudje so pač takšni.",17.262504763719512,17.253773262830286,-0.00873150088922614,0
26,"Kmalu potem se je malopridnež že tretjič prikazal pred vrati in potrkal: ""Odprite vrata, dragi otročički! Vaša mamica se je vrnila iz gozda in za vsakega ima nekaj lepega.""",17.469391679341815,17.35806139380531,-0.11133028553650348,1
27,"Kozlički so zaklicali: ""Najprej nam pokaži svojo nogo, da se prepričamo, ali si res naša mamica.""",17.418792331679185,17.356196980619636,-0.06259535105954939,0
28,"Volk je položil šapo na okensko polico in ko so kozlički videli, da je bela, so odprli vrata, misleč, da je njihova mama.",17.39411317227736,17.43035181397532,0.03623864169795965,1
29,A ni bila njihova mama – bil je volk!,16.72709392256526,17.173694779116467,0.44660085655120696,0
30,"Na smrt so se prestrašili in se razbežali na vse konce, da bi se poskrili.",17.42202887014181,17.38731371454832,-0.03471515559348859,0
