,sentence,with_sentence,without_sentence,difference,label
0,"Nekoč reven je mlinar v kraljestvu živel, zelo lepo hčerko on je imel.",3.330920166015625,3.401166259765625,0.0702460937499998,0
1,"Zgodilo se je, da mu šlo je za preživetje, zato stopil je pred kralja in si skušal rešit življenje.",3.3549153645833334,3.411308092948718,0.05639272836538467,0
2,"Rekel je kralju, pobahal se mu, “hči moja je predilja, iz slame sprede vam zlato.",3.317082431412553,3.4162727242569004,0.09919029284434755,1
3,"Kralju zasvetile so se oči “pripelji mi hčerko, tu ostane preko noči, da dokaže, če res vredno je znanje moje krvi.",3.2612966125757157,3.37602012062913,0.11472350805341414,0
4,"Dekle so privedli pred kralja in jo odpeljali v sobo precej polno slame, dali so ji kolovrat in vreteno in rekli “Loti se dela, če do jutra ne spredeš te slame v zlato, boš morala plačati s svojim življenjem.",3.154396961085604,3.335780428484153,0.1813834673985486,1
5,Tako je sam kralj sobo zaklenil in pustil dekle v samoti.,3.3050653718258767,3.3488379850929566,0.04377261326707993,0
6,"Uboga mlinarjeva hči ni vedela, kaj naj stori, ni vedela, kako se slamo lahko v zlato spremeni in vedno bolj jo je skrbelo, da ne bo več dočakala kaj dosti dni, tako ji je od vsega hudega po licu spolzela solzica.",3.208991423679462,3.3347674192093177,0.12577599552985586,0
7,"In tako na lepem vrata se odpro in skoznje pristopical je mali možiček, postavil se pred njo: “Dober večer, mlinarjeva gospodična, zakaj jočete tako?”",3.2762747459041264,3.383000430716886,0.10672568481275979,1
8,"“Vidiš” rekla je gospodična “spresti moram slamo v zlato in ne vem, kako.”",3.291943429530352,3.3851472701149423,0.0932038405845903,0
9,“Kaj mi daš” je rekel možic “če jaz to zate storil bi?”,3.2990231485761834,3.373289571005917,0.07426642242973358,0
10,“Dala bi ti svojo ogrlico” rekla je mlinarjeva hči.,3.308061012187026,3.3404276128603945,0.032366600673368495,1
11,"Možic ogrlico je vzel, se posedel pred kolovrat in ga zavrtel, vroom, vroom, vroom, trije obrati in vreteno svetlikalo se je v barvi zlati, potem lotil se dela je spet, vroom, vroom, vroom, ga trikrat zavrtel in dosegel zlati lesk.",3.0994252172009698,3.4085966965247847,0.30917147932381495,0
12,"Vrtel ga je vse tja do jutra, dokler vse slame spredel ni in vsa vretena napolnil z zlatom, ki svetilo se je v jutranji temi.",3.235402066543947,3.378573783916976,0.14317171737302914,0
13,"Ko vzšlo je sonce, je kralj že prišel in presenečeno zrl nad zlatom, ki ga je našel, njegovo pohlepno srce pa ni imelo dovolj.",3.302127898685516,3.418574499705481,0.11644660101996518,0
14,"Mlinarjevo hči odpeljal je v drugo sobo polno slame, bilo je slame še veliko več in če ji je bilo kaj do življenja spet do jutra morala je kolovrat vrtet.",3.29263299423249,3.4512030790676125,0.15857008483512258,0
15,"Dekle ni vedelo, kaj ji je storiti, zato je jokala in vrata so zopet se odprla z malim možicem med njimi “Kaj dala mi boš tokrat, da slamo spremenim v zlate niti?”",3.2965456119253616,3.492450052056431,0.19590444013106945,0
16,"“Prstan, ki se bohoti mi na prstu,” reklo je dekle.",3.4237759831898704,3.5239842580464074,0.10020827485653694,1
17,"Mali mož vzel je prstan in zavrtel je staro kolo, do jutra spremenil vso slamo je zopet v svetlikajoče se zlato.",3.3869398028797786,3.5002244914801306,0.11328468860035201,0
18,"Kralj navdušen nad obsegom zlata, še vedno ni zadovoljil željo svojega srca in zopet odpeljal je mlinarjevo hči v sobo kjer slame je bilo za tri noči: “Tudi to slamo v zlato čez noč spremeni, če uspe ti, pa takrat s tabo kralj se oženi.”",3.1817540124869246,3.53712214386114,0.3553681313742154,0
19,"Čeravno bila je le mlinarjeva hči, menil je, da je bogatejše nikoli ne dobi.",3.4576009114583335,3.532943390562625,0.07534247910429137,0
20,"Ko ostala je sama, je možic spet prišel in rekel ji je:”Kaj daš mi, dekle, da bom kolovrat zavrtel?”",3.3759265013415405,3.4810186829229797,0.10509218158143918,0
21,"“Ničesar več nimam, kar dala bi ti,” odgovori dekle in zajoče v dlani.",3.4738017578125,3.53956884765625,0.06576708984375035,0
22,"“Potem pa mi obljubi, če postala boš kraljica, da prvorojenec bo moja pravica.”",3.469515625,3.54839453125,0.07887890624999994,1
23,"Mlinarjeva hči niti vedela ni, če res s kraljem se na koncu omoži, zato zavoljo lastnega življenja, obljubila je možicu pravico do otroka in odstopila pot mu do prvega vretena, tako spet slamo preko noči mali možic v zlato spremeni.",3.2411675403618765,3.573351314806393,0.33218377444451663,0
24,"In ko tako se kralj vrnil je zjutraj in našel tisto, kar si želelo je njegovo srce, poročil je dekle in kraljico napravil iz nje.",3.572907606117156,3.666728031297444,0.09382042518028832,1
25,"Po letu dni se čudovit otrok ji rodi, pozabila je, kaj mali možic si želi.",3.556213988039546,3.6365815731817617,0.08036758514221587,0
26,"In tako, kar iz nič je stopil pred njo: “Izpolni obljubo, ki si jo dala za zlato.”",3.494435750815763,3.5960465396743224,0.10161078885855934,0
27,"Kraljica se stresla je od silne groze, možicu ponudila bogastvo je in pol.",3.5164413299254758,3.6214978785696395,0.1050565486441637,1
28,"Če le pustil bi otroka v njenem naročju, bi odnesel vse, kar v lasti kralj je imel.",3.4426029793962925,3.548834730006889,0.10623175061059653,0
29,A možic se ni dal: “Nekaj živega je vredno več kot bogastvo vsega sveta.”,3.52340611755124,3.6017226246204452,0.07831650706920534,0
30,"Kraljica je jokala in na kolenih prosila, smilila se je možicu, tako ga je ganila.",3.5097493817729335,3.585326163999496,0.0755767822265625,0
31,"“Dam ti nič več kot tri dni časa,” je rekel možic “da moje ime v teh dneh ugotoviš, ako to ti do takrat ne uspe, otrok je moj in nikar ne trudi se.”",3.3925122747034915,3.6566893490138592,0.26417707431036774,1
32,"Tako kraljica je razmišljala vso noč o imenih, kar jih je čula in trudila se na vso moč, poslala je sla preko širne dežele, da vrnil bi se z imenom, ki bilo bi njegovo.",3.431878371465774,3.6599783761160714,0.22810000465029745,0
33,"Ko prišel je dan in z njim mali možic,  naštevala je vse od Gašperja, Matjaža, Baltazarja do zadnjega kar jih pozna, a vsakemu sledil je odgovor: “Glej, imena mojega ona ne ve” in možic zadovoljno nasmihal se je.",3.3712565104166665,3.720840240393032,0.34958372997636555,0
34,"Drugi dan je imela seznam imen vseh čudnih sosednjih kraljevin, bolj bila so nenavadna, bolj verjetno se ji je zdelo, da pravi končno med njimi tiči.",3.5012972488655114,3.776252368889233,0.27495512002372147,0
